,date,open,high,low,close,volume,Name
0,2013-02,102.38,103.13,98.95,101.29,29460761,COST
1,2013-03,100.82,107.0621,100.26,106.11,43783221,COST
2,2013-04,106.0,109.75,103.2,108.43,40327653,COST
3,2013-05,108.13,115.77,107.72,109.631,40043757,COST
4,2013-06,109.92,112.59,107.38,110.57,34142106,COST
5,2013-07,111.55,119.3899,110.06,117.42,30470987,COST
6,2013-08,118.07,120.2,110.19,111.87,31732686,COST
7,2013-09,112.81,119.47,111.35,115.17,33040462,COST
8,2013-10,115.11,118.99,110.15,118.0,42919148,COST
9,2013-11,118.71,126.12299999999999,118.55,125.43,31804609,COST
10,2013-12,125.66,125.69,115.85,119.02,43409684,COST
11,2014-01,118.71,119.3,111.13,112.36,54745097,COST
12,2014-02,112.96,117.47,109.5,116.8,41465250,COST
13,2014-03,116.22,117.07,111.15,111.68,54899253,COST
14,2014-04,112.21,116.61,110.36,115.68,51995723,COST
15,2014-05,115.68,116.91,111.61,116.02,40549499,COST
16,2014-06,115.84,118.85,114.51,115.16,33729639,COST
17,2014-07,115.54,119.6,114.9,117.54,39129399,COST
18,2014-08,117.8,122.06,117.11,121.08,32884971,COST
19,2014-09,121.0,127.78,120.9,125.32,39529964,COST
20,2014-10,125.25,134.5,122.05,133.37,56728434,COST
21,2014-11,133.82,142.9699,133.37,142.12,33461760,COST
22,2014-12,143.32,146.82,136.55,141.75,46579192,COST
23,2015-01,141.87,146.1,138.22,142.99,42054812,COST
24,2015-02,144.0,156.85,140.13,146.96,62315989,COST
25,2015-03,147.32,154.23,145.78,151.495,48747429,COST
26,2015-04,151.83,152.95,142.54,143.05,39583151,COST
27,2015-05,143.46,147.56,141.53,142.59,40761297,COST
28,2015-06,143.05,143.25,134.73,135.06,43419233,COST
29,2015-07,135.79,147.0,135.06,145.3,40338762,COST
30,2015-08,145.78,147.59,117.03,140.05,43381071,COST
31,2015-09,137.58,146.9,137.5001,144.57,39107390,COST
32,2015-10,144.85,159.4,142.19,158.12,46408315,COST
33,2015-11,158.99,164.47,153.23,161.42,39893360,COST
34,2015-12,162.02,169.73,157.33,161.5,54519987,COST
35,2016-01,159.81,161.22799999999998,144.91,151.12,48510990,COST
36,2016-02,150.84,154.88,141.62,150.03,54390452,COST
37,2016-03,150.4,159.8,147.1,157.58,51298617,COST
38,2016-04,157.87,159.08700000000002,147.46,148.13,42836973,COST
39,2016-05,148.76,153.88,138.57,148.77,69447314,COST
40,2016-06,150.5,158.79,148.55,157.04,55955760,COST
41,2016-07,157.19,168.82,154.67,167.22,43090237,COST
42,2016-08,167.15,169.59,161.15,162.09,34036599,COST
43,2016-09,159.0,159.28,147.2,152.51,60815804,COST
44,2016-10,152.22,152.317,147.1,147.87,46458573,COST
45,2016-11,148.48,153.42,142.11,150.11,51226078,COST
46,2016-12,150.11,164.95,150.11,160.11,48205841,COST
47,2017-01,160.65,164.8,158.51,163.95,36713639,COST
48,2017-02,163.84,177.87,161.81,177.18,48181612,COST
49,2017-03,177.37,178.71,164.1,167.69,58816599,COST
50,2017-04,167.74,178.27,166.11,177.52,36642676,COST
51,2017-05,178.5,183.18,169.06,180.43,53734138,COST
52,2017-06,180.81,182.715,156.56,159.93,110663461,COST
53,2017-07,160.21,161.35,150.0,158.51,93218856,COST
54,2017-08,156.5,162.35,150.06,156.74,76547359,COST
55,2017-09,157.59,165.315,155.03,164.29,50201438,COST
56,2017-10,164.92,167.29,154.11,161.08,89109246,COST
57,2017-11,161.97,184.9,161.29,184.43,57902039,COST
58,2017-12,183.26,195.35,181.13,186.12,60837317,COST
59,2018-01,187.23,199.88,183.88099999999997,194.87,57502115,COST
60,2018-02,193.41,195.4,176.2,183.19,14553089,COST
