,date,open,high,low,close,volume,Name
0,2013-06,17.5,17.65,16.31,17.18,89355361,COTY
1,2013-07,17.18,17.55,16.85,17.19,14672894,COTY
2,2013-08,17.27,17.74,15.31,16.3,12817556,COTY
3,2013-09,16.3,16.4767,14.46,16.21,27411551,COTY
4,2013-10,16.3,16.53,15.13,15.38,20878916,COTY
5,2013-11,15.35,16.68,14.63,16.42,17456383,COTY
6,2013-12,16.38,16.48,14.8,15.25,13871969,COTY
7,2014-01,15.27,15.78,13.3502,13.49,17756784,COTY
8,2014-02,13.45,15.5,12.83,14.85,22666131,COTY
9,2014-03,14.8,15.92,14.73,14.98,22573430,COTY
10,2014-04,14.98,16.16,14.85,16.05,19856806,COTY
11,2014-05,15.99,16.71,15.23,16.68,18274572,COTY
12,2014-06,16.63,18.95,16.51,17.13,16235027,COTY
13,2014-07,17.24,18.15,16.86,17.11,13887825,COTY
14,2014-08,17.1,18.47,16.75,17.19,11225119,COTY
15,2014-09,17.19,17.73,16.3903,16.55,18208694,COTY
16,2014-10,16.49,19.4,15.74,16.6,20187582,COTY
17,2014-11,16.62,20.415,16.5,20.24,24698412,COTY
18,2014-12,20.27,21.0,19.1,20.66,21932361,COTY
19,2015-01,20.76,21.06,18.33,19.02,22070372,COTY
20,2015-02,19.02,22.64,18.85,22.6,25186366,COTY
21,2015-03,22.64,24.71,21.7,24.27,20046251,COTY
22,2015-04,24.29,25.7597,23.26,23.91,17696234,COTY
23,2015-05,24.01,25.642,23.27,24.93,24391714,COTY
24,2015-06,25.42,32.62,24.69,31.97,45455273,COTY
25,2015-07,32.04,32.72,26.33,26.73,38783188,COTY
26,2015-08,26.72,31.25,26.54,30.31,32907579,COTY
27,2015-09,28.43,29.71,24.9,27.06,34936622,COTY
28,2015-10,27.19,29.34,26.29,28.95,32462475,COTY
29,2015-11,29.0,30.76,26.08,27.78,37617307,COTY
30,2015-12,27.93,28.48,25.17,25.63,25837323,COTY
31,2016-01,25.22,25.49,21.4797,24.61,27120398,COTY
32,2016-02,24.52,29.59,23.89,28.48,30615943,COTY
33,2016-03,28.76,29.14,26.18,27.83,21658680,COTY
34,2016-04,27.83,30.66,27.59,30.4,21068284,COTY
35,2016-05,30.79,31.6025,24.82,26.34,27871150,COTY
36,2016-06,26.32,27.07,24.74,25.99,23144250,COTY
37,2016-07,26.34,27.98,25.73,26.87,12918352,COTY
38,2016-08,27.09,30.129,26.27,26.95,27380826,COTY
39,2016-09,26.64,26.8,23.06,23.5,314943714,COTY
40,2016-10,23.79,25.34,22.51,22.99,405761444,COTY
41,2016-11,23.11,23.11,17.965,18.71,190189444,COTY
42,2016-12,18.87,19.37,17.94,18.31,129389226,COTY
43,2017-01,18.45,19.81,18.38,19.2,116559959,COTY
44,2017-02,19.12,20.09,18.12,18.78,128911095,COTY
45,2017-03,18.88,19.57,18.13,18.13,97360695,COTY
46,2017-04,18.22,18.645,16.95,17.85,96716413,COTY
47,2017-05,17.92,20.51,17.77,18.94,118973678,COTY
48,2017-06,19.08,19.66,18.43,18.76,89083123,COTY
49,2017-07,18.81,20.88,18.04,20.48,86723451,COTY
50,2017-08,20.43,20.47,15.83,16.58,200220625,COTY
51,2017-09,16.6,17.26,15.95,16.53,110151794,COTY
52,2017-10,16.54,17.21,14.81,15.4,96456209,COTY
53,2017-11,15.48,17.89,14.24,17.23,145099703,COTY
54,2017-12,17.23,20.305,16.69,19.89,92537477,COTY
55,2018-01,19.95,21.175,19.41,19.61,81714189,COTY
56,2018-02,19.55,19.56,16.5,17.48,39775200,COTY
