,date,open,high,low,close,volume,Name
0,2013-02,37.37,41.53,37.37,41.16,39527814,CPB
1,2013-03,41.18,45.405,41.0725,45.36,38632896,CPB
2,2013-04,45.34,46.85,44.61,46.41,40425983,CPB
3,2013-05,46.41,48.83,42.8,42.81,41518876,CPB
4,2013-06,42.86,45.95,42.32,44.79,31755524,CPB
5,2013-07,44.92,47.52,44.1,46.8,21424859,CPB
6,2013-08,47.16,48.08,42.65,43.18,23234881,CPB
7,2013-09,43.3,43.39,40.51,40.71,39378114,CPB
8,2013-10,40.56,43.38,39.87,42.57,36368780,CPB
9,2013-11,42.49,42.92,38.3,38.73,42055972,CPB
10,2013-12,38.66,43.7,38.37,43.28,77788283,CPB
11,2014-01,43.08,43.23,40.54,41.21,42652874,CPB
12,2014-02,41.38,44.44,39.6001,43.31,40343983,CPB
13,2014-03,42.93,44.99,42.85,44.88,26232247,CPB
14,2014-04,43.93,46.02,43.88,45.49,20178050,CPB
15,2014-05,45.39,46.055,43.54,45.9,22957044,CPB
16,2014-06,45.86,46.67,45.01,45.81,19466110,CPB
17,2014-07,45.84,46.23,41.51,41.59,26226499,CPB
18,2014-08,42.01,44.835,41.66,44.82,16130113,CPB
19,2014-09,44.75,45.12,42.21,42.73,19638436,CPB
20,2014-10,42.51,44.52,41.15,44.17,23224870,CPB
21,2014-11,44.01,45.71,43.56,45.28,28105502,CPB
22,2014-12,44.99,45.29,42.7,44.0,39006884,CPB
23,2015-01,44.1,47.45,42.9,45.74,34166763,CPB
24,2015-02,45.68,48.305,45.13,46.59,37434474,CPB
25,2015-03,46.54,47.02,44.45,46.55,35832222,CPB
26,2015-04,46.52,47.09,44.6,44.71,23827065,CPB
27,2015-05,44.85,48.395,44.76,48.34,30441137,CPB
28,2015-06,48.33,49.16,46.08,47.65,31652441,CPB
29,2015-07,47.78,49.54,47.06,49.31,24175926,CPB
30,2015-08,49.42,50.8,45.23,47.99,27749578,CPB
31,2015-09,47.18,52.37,46.07,50.68,41233839,CPB
32,2015-10,50.6,51.77,48.93,50.79,36393655,CPB
33,2015-11,50.88,53.3492,47.77,52.24,36135447,CPB
34,2015-12,53.06,55.08,52.01,52.55,42008403,CPB
35,2016-01,51.93,56.63,50.54,56.41,46232768,CPB
36,2016-02,56.4,63.94,54.9701,61.75,44545499,CPB
37,2016-03,62.2,64.81,60.04,63.79,43752890,CPB
38,2016-04,63.4,65.48,59.74,61.71,36002053,CPB
39,2016-05,61.7,66.7486,59.51,60.57,51524094,CPB
40,2016-06,60.64,66.54,60.26,66.53,41750841,CPB
41,2016-07,66.64,67.89,61.04,62.27,36319588,CPB
42,2016-08,62.16,62.3,59.88,60.72,32864581,CPB
43,2016-09,57.67,58.45,54.11,54.7,50702034,CPB
44,2016-10,54.39,55.2,52.74,54.34,40594543,CPB
45,2016-11,54.4,57.85,52.585,56.89,51852378,CPB
46,2016-12,56.62,61.085,56.08,60.47,35435138,CPB
47,2017-01,60.6,63.5,59.43,62.23,29032256,CPB
48,2017-02,62.11,64.23,57.55,59.35,38613768,CPB
49,2017-03,59.53,59.94,56.54,57.24,35283232,CPB
50,2017-04,57.27,58.2,56.05,57.54,27007218,CPB
51,2017-05,57.63,59.14,54.1,57.65,38505823,CPB
52,2017-06,57.75,58.33,51.64,52.15,36977629,CPB
53,2017-07,52.3,53.07,50.62,52.83,30395003,CPB
54,2017-08,52.5,54.37,46.2,46.2,47138770,CPB
55,2017-09,46.43,48.74,44.995,46.82,60757798,CPB
56,2017-10,46.8,48.25,45.185,47.37,54288139,CPB
57,2017-11,47.57,50.48,45.07,49.3,62603385,CPB
58,2017-12,49.31,51.07,47.91,48.11,54712827,CPB
59,2018-01,48.2,48.42,45.26,46.55,47074638,CPB
60,2018-02,46.46,47.13,43.5,44.8,14261953,CPB
