,date,open,high,low,close,volume,Name
0,2015-11,30.5,33.44,29.05,31.51,16650745,CSRA
1,2015-12,31.52,31.52,26.26,30.0,58724728,CSRA
2,2016-01,29.57,29.748,24.74,26.78,37121654,CSRA
3,2016-02,26.74,27.49,20.98,25.95,33815592,CSRA
4,2016-03,26.37,27.7,23.66,26.91,26771963,CSRA
5,2016-04,26.56,27.36,25.5,25.96,19628441,CSRA
6,2016-05,25.94,26.32,23.68,24.77,23349853,CSRA
7,2016-06,24.77,25.675,21.95,23.43,39527660,CSRA
8,2016-07,23.26,27.23,22.97,26.92,21566928,CSRA
9,2016-08,26.93,27.49,24.96,25.39,31632395,CSRA
10,2016-09,25.58,27.315,25.56,26.9,25777791,CSRA
11,2016-10,26.76,27.21,24.475,25.09,16337872,CSRA
12,2016-11,25.17,32.825,25.08,32.01,42659175,CSRA
13,2016-12,32.04,32.84,31.29,31.84,25070826,CSRA
14,2017-01,32.02,33.54,30.71,31.02,16462929,CSRA
15,2017-02,31.02,32.59,29.1,29.82,33107072,CSRA
16,2017-03,30.14,30.5,28.14,29.29,23231029,CSRA
17,2017-04,29.14,29.555,27.65,29.08,15676749,CSRA
18,2017-05,29.26,31.85,28.24,30.16,20622871,CSRA
19,2017-06,30.16,32.78,30.05,31.75,24947915,CSRA
20,2017-07,31.94,33.67,31.33,32.61,13839218,CSRA
21,2017-08,32.78,33.04,31.04,31.51,18126950,CSRA
22,2017-09,31.6,32.99,31.39,32.27,29826058,CSRA
23,2017-10,32.32,32.77,30.79,31.99,19384964,CSRA
24,2017-11,32.1,32.34,27.38,28.93,27348006,CSRA
25,2017-12,28.92,30.69,28.2,29.92,21219260,CSRA
26,2018-01,30.01,33.41,29.93,33.28,17507874,CSRA
27,2018-02,33.17,33.79,29.88,31.35,6077018,CSRA
