,date,open,high,low,close,volume,Name
0,2013-02,21.72,23.1,21.66,22.94,114506589,CSX
1,2013-03,22.86,24.67,22.62,24.63,162957229,CSX
2,2013-04,24.64,24.69,23.26,24.59,156147063,CSX
3,2013-05,24.55,26.36,24.03,25.21,130445167,CSX
4,2013-06,25.3,25.44,22.4,23.19,171414469,CSX
5,2013-07,23.33,25.79,22.89,24.81,143404482,CSX
6,2013-08,25.05,26.68,24.46,24.61,146001519,CSX
7,2013-09,24.92,26.9,24.68,25.74,112591854,CSX
8,2013-10,25.75,26.85,25.04,26.06,153170999,CSX
9,2013-11,26.09,27.53,26.06,27.27,100926276,CSX
10,2013-12,27.27,28.8,27.02,28.77,106755385,CSX
11,2014-01,28.61,29.245,25.885,26.91,166230732,CSX
12,2014-02,26.93,27.97,25.84,27.71,116878674,CSX
13,2014-03,27.52,29.45,27.35,28.97,120648760,CSX
14,2014-04,29.07,29.27,27.14,28.22,136895079,CSX
15,2014-05,28.19,29.75,27.5799,29.4,121423965,CSX
16,2014-06,29.46,31.13,28.935,30.81,136073552,CSX
17,2014-07,31.0,31.59,29.875,29.92,128978590,CSX
18,2014-08,29.62,30.99,29.07,30.91,105152273,CSX
19,2014-09,30.98,32.66,30.91,32.06,112644951,CSX
20,2014-10,31.86,35.95,29.75,35.63,261558210,CSX
21,2014-11,35.74,37.99,34.39,36.49,125114848,CSX
22,2014-12,35.95,37.53,34.34,36.23,148594228,CSX
23,2015-01,36.11,36.45,33.01,33.3,163271323,CSX
24,2015-02,33.47,36.95,33.21,34.31,118666425,CSX
25,2015-03,34.44,35.35,32.71,33.12,166116839,CSX
26,2015-04,33.2,37.54,31.87,36.09,267261528,CSX
27,2015-05,36.42,37.67,33.995,34.08,187701314,CSX
28,2015-06,34.23,35.67,32.4,32.65,181774533,CSX
29,2015-07,32.93,33.16,30.4042,31.28,168681350,CSX
30,2015-08,31.34,31.36,24.47,27.38,173904565,CSX
31,2015-09,26.69,29.63,25.69,26.9,194581992,CSX
32,2015-10,27.13,29.67,26.445,26.99,173279663,CSX
33,2015-11,26.99,30.53,26.37,28.43,163783573,CSX
34,2015-12,28.47,28.6699,24.58,25.95,201438519,CSX
35,2016-01,25.37,25.99,21.325,23.02,197837853,CSX
36,2016-02,22.6,25.71,21.64,24.14,214365082,CSX
37,2016-03,24.45,27.27,24.26,25.75,209825685,CSX
38,2016-04,25.64,27.97,24.36,27.27,203554143,CSX
39,2016-05,27.27,27.54,24.93,26.43,139253046,CSX
40,2016-06,26.18,27.41,24.43,26.08,149592895,CSX
41,2016-07,26.11,29.41,25.3301,28.33,153987514,CSX
42,2016-08,28.33,28.88,27.46,28.28,107446568,CSX
43,2016-09,28.37,30.595,27.89,30.5,145033513,CSX
44,2016-10,30.33,31.73,30.01,30.51,182031683,CSX
45,2016-11,30.64,36.09,30.15,35.81,212216846,CSX
46,2016-12,36.07,37.42,35.79,35.93,153657075,CSX
47,2017-01,36.15,49.13,35.59,46.39,390443524,CSX
48,2017-02,46.55,49.6,46.1,48.56,189648419,CSX
49,2017-03,49.2,50.31,45.41,46.55,216153384,CSX
50,2017-04,46.66,51.66,46.04,50.84,149494777,CSX
51,2017-05,50.87,54.43,48.7702,54.17,164345983,CSX
52,2017-06,54.21,55.06,51.76,54.56,165083328,CSX
53,2017-07,54.75,55.4791,48.86,49.34,177440327,CSX
54,2017-08,49.29,51.38,47.99,50.2,150515973,CSX
55,2017-09,50.38,54.295,48.69,54.26,112564114,CSX
56,2017-10,52.81,54.99,50.39,50.43,133710434,CSX
57,2017-11,50.73,56.17,48.255,55.75,119905750,CSX
58,2017-12,55.23,58.35,51.5,55.01,203374855,CSX
59,2018-01,55.63,60.04,55.02,56.77,144953131,CSX
60,2018-02,56.1,57.1,50.12,52.97,39485053,CSX
