,date,open,high,low,close,volume,Name
0,2013-02,42.99,45.29,42.74,43.9,9780816,CTAS
1,2013-03,43.75,45.9369,42.11,44.13,12582505,CTAS
2,2013-04,44.1,45.94,42.35,44.87,9480600,CTAS
3,2013-05,44.73,46.27,44.17,45.655,9059260,CTAS
4,2013-06,45.71,46.5,44.55,45.54,8516423,CTAS
5,2013-07,45.66,48.17,45.46,47.51,10365400,CTAS
6,2013-08,47.74,49.42,47.68,47.76,10010096,CTAS
7,2013-09,48.27,52.21,47.64,51.2,10394377,CTAS
8,2013-10,51.35,54.38,49.77,53.77,14823499,CTAS
9,2013-11,54.0,57.99,52.27,55.5,7533741,CTAS
10,2013-12,55.63,59.73,53.83,59.59,13046994,CTAS
11,2014-01,59.25,60.93,56.49,57.07,12749801,CTAS
12,2014-02,57.13,63.28,55.35,60.66,15367270,CTAS
13,2014-03,60.0,62.0,58.47,59.61,12082325,CTAS
14,2014-04,59.77,60.43,55.65,58.93,11972233,CTAS
15,2014-05,59.16,62.26,58.25,62.12,12050380,CTAS
16,2014-06,61.92,64.32,61.7,63.54,9798306,CTAS
17,2014-07,63.63,64.91,62.215,62.6,9017722,CTAS
18,2014-08,62.35,66.5,62.24100000000001,66.14,10422717,CTAS
19,2014-09,66.42,71.61,65.79,70.59,11160669,CTAS
20,2014-10,70.22,73.95,66.75,73.24,18262846,CTAS
21,2014-11,73.24,73.86,70.0,73.15,12668381,CTAS
22,2014-12,72.91,80.35,70.61,78.44,17335415,CTAS
23,2015-01,78.91,80.93,75.9,78.7,19668391,CTAS
24,2015-02,78.78,84.18,77.96,83.48,9221501,CTAS
25,2015-03,83.52,88.23,80.76,81.63,15561612,CTAS
26,2015-04,81.79,82.82,79.51,79.95,12980846,CTAS
27,2015-05,80.23,86.83,80.19,86.09,11381233,CTAS
28,2015-06,86.39,87.986,83.87,84.59,12254402,CTAS
29,2015-07,85.26,87.29,83.4301,85.5,11821624,CTAS
30,2015-08,85.81,89.74,78.0,84.99,12782016,CTAS
31,2015-09,83.6,89.73,82.71,85.75,15646125,CTAS
32,2015-10,86.16,94.348,83.48,93.09,14073287,CTAS
33,2015-11,93.59,94.04,88.3,91.59,13029685,CTAS
34,2015-12,91.99,93.64,88.46,91.05,11819993,CTAS
35,2016-01,89.82,89.83,80.0,85.92,14287306,CTAS
36,2016-02,85.42,87.0,80.22,83.99,12749513,CTAS
37,2016-03,84.64,91.3,84.315,89.81,15370909,CTAS
38,2016-04,89.19,91.38,87.27,89.78,13554172,CTAS
39,2016-05,89.84,95.49,89.31,94.8,16666193,CTAS
40,2016-06,94.4,98.15,91.24,98.13,11530863,CTAS
41,2016-07,97.82,109.11,96.96,107.27,15796170,CTAS
42,2016-08,107.26,117.69,105.705,117.51,15605243,CTAS
43,2016-09,118.0,119.94,111.09,112.6,16502716,CTAS
44,2016-10,112.77,113.8989,105.29,106.67,11864316,CTAS
45,2016-11,106.45,116.59,102.0701,114.6,13908563,CTAS
46,2016-12,114.61,122.21,113.0,115.56,17726686,CTAS
47,2017-01,116.37,117.95,112.96,116.11,10823934,CTAS
48,2017-02,115.8,119.51,113.79,118.01,10041255,CTAS
49,2017-03,118.69,128.85,117.21,126.54,14740074,CTAS
50,2017-04,126.86,126.97,121.48,122.47,9162274,CTAS
51,2017-05,121.6,125.94,119.54,125.88,10854614,CTAS
52,2017-06,126.12,131.41,123.0,126.04,9176649,CTAS
53,2017-07,126.77,139.39,123.42,134.85,12391891,CTAS
54,2017-08,137.7,139.74,130.09,135.01,12000833,CTAS
55,2017-09,135.64,145.0,131.75,144.28,13048943,CTAS
56,2017-10,144.5,152.83,144.03,149.04,11076912,CTAS
57,2017-11,148.85,157.81,144.4,157.44,12484597,CTAS
58,2017-12,157.19,163.45,153.01,155.83,13227629,CTAS
59,2018-01,157.26,169.96,155.94,168.45,11321704,CTAS
60,2018-02,167.87,168.33,151.92,156.6,3539549,CTAS
