,date,open,high,low,close,volume,Name
0,2013-02,41.17,42.01,32.05,34.67,228065881,CTL
1,2013-03,34.53,35.84,34.0,35.13,115897920,CTL
2,2013-04,35.11,37.9,34.66,37.57,111083011,CTL
3,2013-05,37.47,38.4,34.13,34.15,143838408,CTL
4,2013-06,34.12,36.59,33.83,35.35,104976866,CTL
5,2013-07,35.32,36.489000000000004,34.9,35.85,82147971,CTL
6,2013-08,36.06,36.45,32.26,33.12,135429487,CTL
7,2013-09,33.32,33.34,31.21,31.38,98988931,CTL
8,2013-10,31.34,34.18,31.01,33.86,98624211,CTL
9,2013-11,33.84,34.0621,30.54,30.7,105111297,CTL
10,2013-12,30.63,32.1,29.93,31.85,126335224,CTL
11,2014-01,31.74,31.82,28.31,28.86,117302442,CTL
12,2014-02,28.9,31.48,27.93,31.26,115808299,CTL
13,2014-03,31.02,32.98,30.34,32.84,111700744,CTL
14,2014-04,32.81,34.93,32.45,34.91,99333541,CTL
15,2014-05,34.91,40.15,34.425,37.67,121628691,CTL
16,2014-06,37.74,38.1,35.69,36.2,72021255,CTL
17,2014-07,36.22,45.67,35.7,39.24,124400309,CTL
18,2014-08,39.05,41.69,38.25,40.99,74963532,CTL
19,2014-09,41.07,41.497,39.45,40.89,80920654,CTL
20,2014-10,40.72,41.99,37.64,41.48,66334169,CTL
21,2014-11,41.53,41.97,38.333,40.77,60656346,CTL
22,2014-12,40.82,41.5,37.56,39.58,63163477,CTL
23,2015-01,39.83,40.04,36.81,37.17,67655729,CTL
24,2015-02,37.32,40.59,36.21,37.86,109950834,CTL
25,2015-03,38.06,38.33,34.04,34.55,107477410,CTL
26,2015-04,34.51,37.0,34.425,35.96,75165606,CTL
27,2015-05,36.16,36.39,33.01,33.24,84534517,CTL
28,2015-06,33.24,33.37,29.28,29.38,121242458,CTL
29,2015-07,29.49,31.13,27.5,28.6,118047473,CTL
30,2015-08,28.74,29.03,24.81,27.04,129148437,CTL
31,2015-09,26.58,27.52,24.285,25.12,128366607,CTL
32,2015-10,25.12,28.39,24.11,28.21,85643467,CTL
33,2015-11,28.31,29.37,26.89,26.93,85704146,CTL
34,2015-12,26.99,27.2,24.21,25.16,112630761,CTL
35,2016-01,24.85,25.43,21.94,25.42,113296846,CTL
36,2016-02,25.2,30.82,24.5,30.59,143774565,CTL
37,2016-03,30.9,32.49,30.33,31.96,116045075,CTL
38,2016-04,31.82,32.94,30.95,30.95,85254303,CTL
39,2016-05,31.19,31.5,26.35,27.12,127187500,CTL
40,2016-06,27.05,29.03,26.56,29.01,123195817,CTL
41,2016-07,29.0,31.56,28.6401,31.44,84009834,CTL
42,2016-08,31.43,31.44,27.72,27.8,102050000,CTL
43,2016-09,27.88,28.94,26.51,27.43,85897365,CTL
44,2016-10,27.44,33.45,26.45,26.58,198249654,CTL
45,2016-11,26.5,26.5,22.86,23.52,296613195,CTL
46,2016-12,23.54,24.49,23.235,23.78,154060980,CTL
47,2017-01,24.35,26.165,24.26,25.86,143935311,CTL
48,2017-02,25.95,26.29,24.01,24.26,135452427,CTL
49,2017-03,23.92,24.15,22.33,23.57,215465969,CTL
50,2017-04,23.56,26.07,23.325,25.67,181229651,CTL
51,2017-05,25.74,26.0,23.05,24.95,224113742,CTL
52,2017-06,24.94,27.61,23.88,23.88,268067395,CTL
53,2017-07,24.0,24.14,22.26,23.27,154162800,CTL
54,2017-08,23.34,23.78,18.41,19.72,259736586,CTL
55,2017-09,19.84,20.21,18.17,18.9,186821194,CTL
56,2017-10,18.89,20.55,17.065,18.99,317178850,CTL
57,2017-11,19.04,19.05,13.161,14.59,367168796,CTL
58,2017-12,14.54,17.95,13.81,16.68,359388281,CTL
59,2018-01,16.85,18.29,16.35,17.81,245626708,CTL
60,2018-02,17.8,18.28,16.31,17.06,57456219,CTL
