,date,open,high,low,close,volume,Name
0,2013-02,71.86,74.1,70.0,70.9,23961445,CTXS
1,2013-03,70.92,75.5,69.8,72.15,32714988,CTXS
2,2013-04,72.32,72.65,61.5,62.16,57061376,CTXS
3,2013-05,61.97,67.8,61.6,64.38,43498329,CTXS
4,2013-06,64.38,64.75,58.0,60.36,42340073,CTXS
5,2013-07,60.68,72.25,60.5,72.02,52255592,CTXS
6,2013-08,72.28,74.06,69.85,70.77,28822812,CTXS
7,2013-09,71.56,77.16,69.4,70.61,25835952,CTXS
8,2013-10,70.75,71.74,55.42,56.78,86489009,CTXS
9,2013-11,57.13,61.64,54.52,59.32,73689703,CTXS
10,2013-12,59.01,63.44,56.9,63.25,36217845,CTXS
11,2014-01,63.04,63.2,51.18,54.07,83164854,CTXS
12,2014-02,54.15,61.1099,52.02,60.05,68696364,CTXS
13,2014-03,59.3,62.92,56.85,57.44,55893186,CTXS
14,2014-04,57.68,62.25,53.86,59.31,69981703,CTXS
15,2014-05,60.16,62.44,58.34,61.97,68030747,CTXS
16,2014-06,62.0,65.72,60.3,62.55,60069716,CTXS
17,2014-07,62.88,70.25,61.83,67.73,59281600,CTXS
18,2014-08,67.73,70.685,66.9,70.26,36258475,CTXS
19,2014-09,70.22,72.89,69.97,71.34,35815773,CTXS
20,2014-10,71.19,71.19,60.3,64.23,68866758,CTXS
21,2014-11,64.44,67.18,63.98,66.31,26603536,CTXS
22,2014-12,66.12,66.74,59.39,63.8,32465699,CTXS
23,2015-01,63.93,64.595,56.47,59.26,40194839,CTXS
24,2015-02,59.34,64.99,58.18,63.675,24092191,CTXS
25,2015-03,63.75,64.35,59.0,63.87,26035121,CTXS
26,2015-04,63.77,69.23,60.85,67.16,47203821,CTXS
27,2015-05,67.8,67.9,64.59,65.01,30708544,CTXS
28,2015-06,65.48,73.12,64.21,70.16,56193779,CTXS
29,2015-07,70.81,76.7,67.0347,75.61,31411006,CTXS
30,2015-08,75.2,78.42,66.15,68.11,42887289,CTXS
31,2015-09,66.38,74.6699,65.105,69.28,47097282,CTXS
32,2015-10,69.39,84.17,68.5,82.1,41708279,CTXS
33,2015-11,82.36,83.15,70.34,76.67,43869829,CTXS
34,2015-12,77.64,79.81,73.17,75.65,34349142,CTXS
35,2016-01,74.4,75.99,63.51,70.46,41837914,CTXS
36,2016-02,70.43,71.98,60.91,70.65,40117401,CTXS
37,2016-03,71.79,79.16,70.98,78.58,31286508,CTXS
38,2016-04,77.93,90.0,76.77,81.84,37629179,CTXS
39,2016-05,81.86,86.0,79.59,84.92,25810953,CTXS
40,2016-06,84.71,88.4535,76.25,80.09,32133239,CTXS
41,2016-07,79.86,89.5,78.57,89.13,29845840,CTXS
42,2016-08,87.71,89.48,83.36,87.2,30301899,CTXS
43,2016-09,86.94,87.98,80.6,85.22,22072891,CTXS
44,2016-10,84.48,89.84,81.36,84.8,32153065,CTXS
45,2016-11,85.17,88.56,82.33,86.73,21394547,CTXS
46,2016-12,86.5,92.4,84.435,89.31,22771746,CTXS
47,2017-01,90.25,95.9,88.59,91.19,34519143,CTXS
48,2017-02,74.27,81.1,70.24,78.95,53523953,CTXS
49,2017-03,79.72,87.99,78.49,83.39,48880537,CTXS
50,2017-04,83.54,84.82,80.1,80.94,28936916,CTXS
51,2017-05,81.24,87.95,81.01,82.54,37169927,CTXS
52,2017-06,82.74,84.01,77.223,79.58,31010239,CTXS
53,2017-07,79.97,83.0,77.1,78.98,21871008,CTXS
54,2017-08,79.19,79.67,73.3346,78.21,35032851,CTXS
55,2017-09,78.5,78.68,75.01,76.82,27867675,CTXS
56,2017-10,77.64,83.9796,77.5,82.61,36921993,CTXS
57,2017-11,83.1,88.08,81.11,87.63,35913370,CTXS
58,2017-12,87.59,88.98,86.04,88.0,30431798,CTXS
59,2018-01,88.58,95.0,88.16,92.76,27682763,CTXS
60,2018-02,92.02,94.5,87.05,87.6,11933892,CTXS
