,date,open,high,low,close,volume,Name
0,2013-02,51.12,52.77,50.2119,51.12,72415132,CVS
1,2013-03,51.07,56.068999999999996,50.88,54.99,125881087,CVS
2,2013-04,54.75,58.5,53.94,58.18,123139933,CVS
3,2013-05,58.97,60.7,57.2,57.58,116774680,CVS
4,2013-06,57.76,60.335,55.66,57.18,100924372,CVS
5,2013-07,57.72,62.36,57.32,61.49,77438211,CVS
6,2013-08,62.01,62.22,57.07,58.05,109215222,CVS
7,2013-09,58.44,61.325,56.675,56.75,110410878,CVS
8,2013-10,56.76,62.905,56.32,62.26,143539587,CVS
9,2013-11,62.42,67.64,61.925,66.96,100172545,CVS
10,2013-12,67.1,71.99,65.45,71.57,110881771,CVS
11,2014-01,71.16,71.37,66.07,67.72,119359192,CVS
12,2014-02,67.52,73.62,64.95,73.14,125510244,CVS
13,2014-03,72.59,76.36,72.05,74.86,117061846,CVS
14,2014-04,74.56,76.0,72.37,72.72,116835222,CVS
15,2014-05,72.44,78.49,72.43,78.32,91930571,CVS
16,2014-06,78.36,79.43,74.64,75.37,79744338,CVS
17,2014-07,75.89,79.21,75.42,76.36,67775034,CVS
18,2014-08,76.2,79.82,74.69,79.45,77044917,CVS
19,2014-09,79.47,82.57,79.22,79.59,80180443,CVS
20,2014-10,79.45,89.8,77.4,85.81,123766164,CVS
21,2014-11,86.03,92.0,83.61,91.36,75257495,CVS
22,2014-12,91.42,98.62,88.945,96.31,100068116,CVS
23,2015-01,96.52,101.59,93.68,98.16,97915463,CVS
24,2015-02,98.34,104.52,97.06,103.87,89158525,CVS
25,2015-03,104.1,105.4599,101.5,103.21,95690945,CVS
26,2015-04,102.66,104.45,99.01,99.29,100789260,CVS
27,2015-05,100.93,104.93,97.87,102.38,81061537,CVS
28,2015-06,102.9,106.88,99.14,104.88,98006491,CVS
29,2015-07,105.75,113.65,103.63,112.47,83710362,CVS
30,2015-08,113.17,113.58,81.37,102.4,117301440,CVS
31,2015-09,100.64,103.59,94.54,96.48,101016442,CVS
32,2015-10,96.49,106.0,95.03,98.78,129424770,CVS
33,2015-11,99.45,101.08,90.1,94.09,111665445,CVS
34,2015-12,94.67,99.6,92.37,97.77,116295748,CVS
35,2016-01,96.17,97.15,92.35,96.59,106641516,CVS
36,2016-02,95.89,98.79,86.5,97.17,117685942,CVS
37,2016-03,98.16,104.4,97.58,103.73,89201116,CVS
38,2016-04,103.36,105.0,99.87,100.5,75277677,CVS
39,2016-05,100.5,106.67,96.2,96.45,113242612,CVS
40,2016-06,96.46,98.67,91.75,95.74,128165196,CVS
41,2016-07,95.88,98.24,92.16,92.72,84681419,CVS
42,2016-08,92.58,98.656,92.25,93.4,107359173,CVS
43,2016-09,93.56,94.2,88.1,88.99,116803080,CVS
44,2016-10,88.79,88.92,82.55,84.1,134075441,CVS
45,2016-11,84.34,84.89,69.3,76.89,239373932,CVS
46,2016-12,76.62,81.24,76.11,78.91,157498422,CVS
47,2017-01,79.58,84.72,77.03,78.81,139764265,CVS
48,2017-02,78.65,81.86,74.05,80.58,145440432,CVS
49,2017-03,81.1,81.69,77.57,78.5,145711535,CVS
50,2017-04,78.38,82.895,76.555,82.44,119165784,CVS
51,2017-05,82.44,83.3,75.685,76.83,145831368,CVS
52,2017-06,76.84,82.15,75.46,80.46,152676886,CVS
53,2017-07,80.77,81.34,76.48,79.93,91104206,CVS
54,2017-08,78.0,80.3,74.59,77.34,112699844,CVS
55,2017-09,77.54,84.0,77.3,81.32,104253500,CVS
56,2017-10,81.35,81.61,68.01,68.53,208674924,CVS
57,2017-11,68.82,77.79,66.45,76.6,177499948,CVS
58,2017-12,75.62,76.59,69.52,72.5,221044411,CVS
59,2018-01,73.06,83.88,72.87,78.69,183092047,CVS
60,2018-02,78.3,79.2042,71.77,74.35,52597363,CVS
