,date,open,high,low,close,volume,Name
0,2013-02,93.74,97.98,87.05,89.96,16788443,CXO
1,2013-03,89.12,99.39,87.17,97.43,20569865,CXO
2,2013-04,97.49,97.62,78.58,86.13,24189069,CXO
3,2013-05,84.88,85.93,78.74,83.66,32785866,CXO
4,2013-06,83.63,89.5,83.14,83.72,25282004,CXO
5,2013-07,84.22,92.94,83.44,89.69,19800968,CXO
6,2013-08,92.23,99.27,91.35,96.51,25756629,CXO
7,2013-09,97.91,110.37,96.19,108.81,17646363,CXO
8,2013-10,109.25,122.81,105.96,110.61,34461520,CXO
9,2013-11,110.55,114.41,99.99,103.93,27703509,CXO
10,2013-12,104.7,108.91,97.21,108.0,20789554,CXO
11,2014-01,106.44,108.84,94.51,97.79,24839083,CXO
12,2014-02,97.67,122.02,95.53,121.13,28171119,CXO
13,2014-03,120.81,125.15,114.59,122.5,23768630,CXO
14,2014-04,123.16,135.33,120.568,130.45,22664784,CXO
15,2014-05,129.42,135.35,128.09,131.8,27012431,CXO
16,2014-06,131.55,145.7,130.17,144.5,18719196,CXO
17,2014-07,145.97,148.61,139.76,140.8,19571244,CXO
18,2014-08,137.74,143.1,126.95,142.04,23411759,CXO
19,2014-09,141.85,142.66,123.94,125.39,22979460,CXO
20,2014-10,125.7,128.05,93.19,109.03,42954616,CXO
21,2014-11,109.8,122.63,93.38,95.25,31537028,CXO
22,2014-12,94.37,102.51,77.22,99.75,49270984,CXO
23,2015-01,99.69,113.865,91.26,110.85,41967027,CXO
24,2015-02,111.66,122.14,104.34,108.92,37791820,CXO
25,2015-03,109.5,116.94,103.19,115.92,32692207,CXO
26,2015-04,116.75,128.82,116.02,126.66,24790524,CXO
27,2015-05,125.83,134.13,111.78,120.3,26098203,CXO
28,2015-06,120.86,127.48,110.441,113.86,31251033,CXO
29,2015-07,113.9,115.13,98.03,106.56,39321443,CXO
30,2015-08,105.37,114.15,92.41,108.16,37192491,CXO
31,2015-09,104.89,109.36,94.78,98.3,32515503,CXO
32,2015-10,95.48,117.9,94.83,115.91,41911777,CXO
33,2015-11,115.17,120.41,101.51,109.44,30338377,CXO
34,2015-12,110.52,112.5,85.87,92.86,45053770,CXO
35,2016-01,92.68,95.21,69.94,95.13,49901229,CXO
36,2016-02,93.82,97.0,80.7,90.24,77554284,CXO
37,2016-03,90.58,107.0,89.06,101.04,47578571,CXO
38,2016-04,98.65,122.53,95.87,116.17,32402217,CXO
39,2016-05,116.22,123.88,110.5,121.34,25973600,CXO
40,2016-06,120.13,130.03,114.94,119.27,29443789,CXO
41,2016-07,119.44,124.61,114.33,124.2,24343326,CXO
42,2016-08,123.31,137.4,117.8,129.2,38425992,CXO
43,2016-09,128.57,137.83,121.56,137.35,30720340,CXO
44,2016-10,137.64,143.6,126.1,126.94,24980126,CXO
45,2016-11,128.07,143.66,123.88,143.02,37606963,CXO
46,2016-12,146.47,147.55,131.93,132.6,30155050,CXO
47,2017-01,135.26,145.6,132.07,139.44,25014459,CXO
48,2017-02,140.78,144.33,130.45,132.45,30456097,CXO
49,2017-03,134.34,135.79,122.65,128.34,30187835,CXO
50,2017-04,128.13,133.84,124.9,126.66,21120956,CXO
51,2017-05,126.49,136.93,124.57,126.78,30405720,CXO
52,2017-06,127.15,128.005,112.73,121.53,33616145,CXO
53,2017-07,122.51,134.03,118.23,130.26,21736004,CXO
54,2017-08,129.98,131.28,106.73,110.97,33681247,CXO
55,2017-09,111.27,133.68,110.16,131.72,22967892,CXO
56,2017-10,129.81,137.28,128.86,134.21,21276935,CXO
57,2017-11,139.84,147.77,136.1989,139.86,24281215,CXO
58,2017-12,140.92,155.05,135.44,150.22,21070583,CXO
59,2018-01,150.87,162.91,150.535,157.44,21201510,CXO
60,2018-02,158.03,159.65,145.42,148.1,9693718,CXO
