,date,open,high,low,close,volume,Name
0,2013-02,14.77,14.9,13.16,14.27,162947113,DAL
1,2013-03,14.26,17.25,14.26,16.51,238499243,DAL
2,2013-04,16.43,17.33,13.94,17.14,376699603,DAL
3,2013-05,17.26,19.43,16.679000000000002,18.01,266399801,DAL
4,2013-06,18.12,19.05,16.94,18.71,179695658,DAL
5,2013-07,18.8,22.01,18.3,21.23,200717701,DAL
6,2013-08,21.53,22.05,18.53,19.73,307773996,DAL
7,2013-09,20.05,24.1,19.57,23.59,524386347,DAL
8,2013-10,23.68,26.72,23.63,26.38,313674486,DAL
9,2013-11,26.46,29.435,26.05,28.98,263145673,DAL
10,2013-12,29.0,29.42,26.4,27.47,249283043,DAL
11,2014-01,27.26,32.92,27.26,30.61,307010498,DAL
12,2014-02,30.64,33.95,29.12,33.21,218991891,DAL
13,2014-03,32.39,35.85,31.9,34.65,243522044,DAL
14,2014-04,34.93,37.465,30.54,36.83,277568052,DAL
15,2014-05,37.0,40.69,36.56,39.91,188957988,DAL
16,2014-06,40.14,42.659,38.04,38.72,283593759,DAL
17,2014-07,39.0,40.41,34.77,37.46,317495766,DAL
18,2014-08,37.38,40.77,34.59,39.58,193107514,DAL
19,2014-09,39.8,40.97,35.18,36.15,232804653,DAL
20,2014-10,35.35,40.4,30.12,40.23,500891234,DAL
21,2014-11,40.28,47.19,40.23,46.67,222577707,DAL
22,2014-12,46.55,50.159,43.9,49.19,274593958,DAL
23,2015-01,49.92,51.06,44.4701,47.31,237076122,DAL
24,2015-02,47.1,48.27,43.35,44.52,254968275,DAL
25,2015-03,45.09,47.63,42.6,44.96,250312676,DAL
26,2015-04,43.67,47.38,41.02,44.64,248220361,DAL
27,2015-05,44.81,47.98,41.72,42.92,265765951,DAL
28,2015-06,43.21,44.79,38.97,41.08,254316945,DAL
29,2015-07,41.75,46.64,38.81,44.34,241315219,DAL
30,2015-08,44.68,48.3,34.61,43.78,206544057,DAL
31,2015-09,43.95,48.18,43.3,44.87,185920012,DAL
32,2015-10,44.71,51.66,43.35,50.84,212336724,DAL
33,2015-11,50.9,52.0,46.37,46.46,161466273,DAL
34,2015-12,46.81,52.77,46.58,50.69,196591987,DAL
35,2016-01,49.42,49.75,42.42,44.29,237549793,DAL
36,2016-02,44.73,49.45,40.03,48.24,207000508,DAL
37,2016-03,48.73,50.5,46.01,48.68,179764896,DAL
38,2016-04,47.5,49.8,41.22,41.67,220586426,DAL
39,2016-05,42.11,44.66,40.64,43.46,213295950,DAL
40,2016-06,43.35,43.71,32.6,36.43,286410374,DAL
41,2016-07,36.41,41.35,34.075,38.75,235554993,DAL
42,2016-08,38.92,39.51,35.84,36.75,220496460,DAL
43,2016-09,37.0,40.23,36.32,39.36,199632462,DAL
44,2016-10,39.25,42.41,37.91,41.77,238857344,DAL
45,2016-11,41.84,49.41,41.55,48.18,205692653,DAL
46,2016-12,47.96,52.76,47.585,49.19,153611706,DAL
47,2017-01,49.37,52.0,46.57,47.24,165062943,DAL
48,2017-02,47.48,51.96,46.48,49.93,133429253,DAL
49,2017-03,50.41,51.865,44.47,45.96,215946722,DAL
50,2017-04,46.0,47.55,43.81,45.44,173916003,DAL
51,2017-05,45.59,50.95,45.4,49.13,163489506,DAL
52,2017-06,49.32,54.53,49.3,53.74,175868329,DAL
53,2017-07,54.26,55.75,49.26,49.36,161568472,DAL
54,2017-08,50.01,51.55,45.0,47.19,162491112,DAL
55,2017-09,47.42,49.28,44.59,48.22,164722294,DAL
56,2017-10,48.35,54.06,47.9,50.03,160501916,DAL
57,2017-11,50.19,53.5,48.33,52.92,120885176,DAL
58,2017-12,52.55,56.84,51.7618,56.0,137222626,DAL
59,2018-01,56.29,60.79,53.88,56.77,217524455,DAL
60,2018-02,56.51,57.18,51.26,53.85,45168882,DAL
