,date,open,high,low,close,volume,Name
0,2013-02,92.07,94.01,85.43,87.83,50549864,DE
1,2013-03,87.73,92.5,85.15,85.98,60180410,DE
2,2013-04,86.19,90.0,81.58,89.3,60276633,DE
3,2013-05,88.81,93.88,85.65,87.11,78946307,DE
4,2013-06,87.51,88.79,79.5,81.25,64886800,DE
5,2013-07,81.88,85.495,80.51,83.07,62857288,DE
6,2013-08,83.74,85.68,80.5,83.64,84400328,DE
7,2013-09,84.31,85.34,81.19,81.39,57824915,DE
8,2013-10,81.25,84.75,81.19,81.84,63183999,DE
9,2013-11,81.84,85.49,80.76,84.24,70216690,DE
10,2013-12,84.26,91.58,82.2,91.33,70315017,DE
11,2014-01,90.95,91.3,85.2938,85.96,61389365,DE
12,2014-02,85.79,88.06,83.41,85.93,60349870,DE
13,2014-03,85.63,90.98,85.3,90.8,64868087,DE
14,2014-04,90.98,94.585,90.62,93.34,57744924,DE
15,2014-05,93.15,94.89,88.63,91.17,51109407,DE
16,2014-06,91.29,93.78,89.77,90.55,47394311,DE
17,2014-07,90.81,91.5,84.53,85.11,72340968,DE
18,2014-08,85.22,87.39,83.1,84.09,74194362,DE
19,2014-09,84.01,84.58,81.55,81.99,80821135,DE
20,2014-10,81.81,88.565,78.88,85.54,103496324,DE
21,2014-11,85.5,89.28,83.8,86.62,66287797,DE
22,2014-12,87.95,91.38,86.385,88.47,59971349,DE
23,2015-01,88.79,89.715,84.29,85.19,58689284,DE
24,2015-02,85.53,92.78,84.85,90.6,51425879,DE
25,2015-03,90.4,92.399,86.91,87.69,60431365,DE
26,2015-04,87.76,91.0,87.385,90.52,47602500,DE
27,2015-05,91.0,94.88,88.13,93.68,63389526,DE
28,2015-06,93.82,98.23,91.24,97.05,59907654,DE
29,2015-07,97.53,97.7,90.64,94.57,55438568,DE
30,2015-08,94.5,97.49,76.76,81.78,79398303,DE
31,2015-09,80.27,81.95,73.37,74.0,80792095,DE
32,2015-10,73.37,81.46,71.85,78.0,82851759,DE
33,2015-11,78.49,80.51,73.1,79.57,75940794,DE
34,2015-12,79.42,80.55,74.63,76.27,69759080,DE
35,2016-01,75.78,77.01,70.16,77.01,62368749,DE
36,2016-02,76.23,82.23,72.86,80.18,73833619,DE
37,2016-03,80.64,86.07,76.91,76.99,70982898,DE
38,2016-04,76.26,85.34,74.91,84.11,63931144,DE
39,2016-05,84.17,84.95,77.25,82.29,73370262,DE
40,2016-06,81.96,88.1999,79.78,81.04,68630108,DE
41,2016-07,81.22,84.65,76.87,77.71,65261941,DE
42,2016-08,77.75,88.63,76.73,84.55,93748582,DE
43,2016-09,84.5,85.49,80.35,85.35,57364147,DE
44,2016-10,84.61,89.34,84.24,88.3,44509675,DE
45,2016-11,88.12,104.83,87.38,100.2,91634278,DE
46,2016-12,100.95,104.77,100.05,103.04,58418220,DE
47,2017-01,103.68,108.47,103.45,107.05,43613235,DE
48,2017-02,107.3,112.1799,106.62,109.49,56774484,DE
49,2017-03,110.72,111.78,106.93,108.86,45822835,DE
50,2017-04,108.97,114.13,107.04,111.61,37847324,DE
51,2017-05,112.25,123.59,109.79,122.46,63944484,DE
52,2017-06,125.25,128.37,120.92,123.59,55670733,DE
53,2017-07,124.19,129.54,123.25,128.28,39710936,DE
54,2017-08,129.61,132.5,112.87,115.93,62658684,DE
55,2017-09,115.98,125.64,114.76,125.59,54431441,DE
56,2017-10,125.7,133.76,125.08,132.88,38385015,DE
57,2017-11,133.87,150.75,130.77,149.86,56680515,DE
58,2017-12,150.25,159.1,146.93,156.51,34441186,DE
59,2018-01,156.67,171.96,156.55,166.42,43814464,DE
60,2018-02,165.99,168.39,151.45,161.44,13595821,DE
