,date,open,high,low,close,volume,Name
0,2013-02,39.91,40.35,37.24,38.53,65312520,DFS
1,2013-03,38.32,45.38,37.89,44.84,106680753,DFS
2,2013-04,44.72,45.61,42.115,43.74,114427840,DFS
3,2013-05,43.68,49.71,43.67,47.41,87755467,DFS
4,2013-06,47.75,49.38,45.08,47.64,74444412,DFS
5,2013-07,48.01,51.7,47.68,49.51,72049712,DFS
6,2013-08,49.96,51.18,46.93,47.25,50713298,DFS
7,2013-09,47.77,53.36,47.49,50.54,59225410,DFS
8,2013-10,50.55,54.45,48.4,51.88,75842267,DFS
9,2013-11,51.87,53.7,50.22,53.3,57707901,DFS
10,2013-12,53.49,56.2,51.25,55.95,53250614,DFS
11,2014-01,55.79,56.0,51.78,53.65,74297008,DFS
12,2014-02,53.66,57.93,51.63,57.38,60218135,DFS
13,2014-03,56.96,60.0,56.31,58.19,63260282,DFS
14,2014-04,58.34,59.735,54.35,55.9,69427289,DFS
15,2014-05,55.76,59.24,55.315,59.13,42966662,DFS
16,2014-06,59.13,62.62,59.06,61.98,45906375,DFS
17,2014-07,62.36,64.44,61.04,61.06,53803967,DFS
18,2014-08,60.35,63.16,59.0,62.37,40360952,DFS
19,2014-09,62.84,65.98,62.21,64.39,44858808,DFS
20,2014-10,64.26,66.3,60.41,63.78,63649615,DFS
21,2014-11,63.95,66.75,63.44,65.25,44403008,DFS
22,2014-12,65.54,66.725,60.15,65.49,59675167,DFS
23,2015-01,65.93,66.0199,54.0196,54.38,104429602,DFS
24,2015-02,54.41,61.5,54.09,60.98,86961147,DFS
25,2015-03,60.94,61.23,56.04,56.35,78012173,DFS
26,2015-04,56.19,59.9,56.17,57.97,78055250,DFS
27,2015-05,58.21,60.57,57.7,58.27,52347733,DFS
28,2015-06,58.34,59.55,57.31,57.62,64404230,DFS
29,2015-07,58.26,59.88,55.0,55.81,72589529,DFS
30,2015-08,55.78,56.84,50.92,53.73,89927995,DFS
31,2015-09,52.21,54.24,50.36,51.99,66932244,DFS
32,2015-10,51.73,57.49,50.2,56.22,75573989,DFS
33,2015-11,56.2,58.08,55.38,56.76,53236259,DFS
34,2015-12,57.06,57.4,51.94,53.62,72125162,DFS
35,2016-01,52.53,53.09,44.67,45.79,94687520,DFS
36,2016-02,45.79,47.765,42.86,46.42,80324430,DFS
37,2016-03,46.69,51.13,46.37,50.92,65394105,DFS
38,2016-04,50.58,58.1,49.98,56.27,77208857,DFS
39,2016-05,56.51,57.1,53.55,56.81,56878939,DFS
40,2016-06,56.28,57.7729,50.32,53.59,74413195,DFS
41,2016-07,53.54,57.68,51.67,56.84,55139578,DFS
42,2016-08,56.82,60.05,55.275,60.0,50067181,DFS
43,2016-09,60.03,60.29,55.64,56.55,61758841,DFS
44,2016-10,56.36,57.35,53.91,56.33,55971589,DFS
45,2016-11,56.46,68.88,55.41,67.77,62667647,DFS
46,2016-12,68.0,73.62,66.88,72.09,52727578,DFS
47,2017-01,72.9,74.33,68.27,69.28,56378824,DFS
48,2017-02,69.7,72.31,67.73,71.14,39666296,DFS
49,2017-03,72.23,72.91,65.54,68.39,45032043,DFS
50,2017-04,68.47,68.54,62.27,62.59,56359727,DFS
51,2017-05,62.35,62.63,57.82,58.7,90064211,DFS
52,2017-06,58.88,63.28,58.24,62.19,64987266,DFS
53,2017-07,62.42,64.0,59.92,60.94,58780738,DFS
54,2017-08,61.0,62.54,58.125,58.95,48474101,DFS
55,2017-09,59.12,64.73,57.5,64.48,49281268,DFS
56,2017-10,64.51,67.41,63.53,66.53,55739744,DFS
57,2017-11,66.68,71.18,63.31,70.6,43466097,DFS
58,2017-12,70.79,77.79,68.77,76.92,47401574,DFS
59,2018-01,77.24,81.93,76.38,79.8,48541406,DFS
60,2018-02,79.51,80.84,71.31,76.63,12120422,DFS
