,date,open,high,low,close,volume,Name
0,2013-02,54.38,55.95,53.59,54.59,117319560,DIS
1,2013-03,54.31,57.82,54.3,56.8,135861896,DIS
2,2013-04,56.89,63.25,56.15,62.84,181655994,DIS
3,2013-05,62.88,67.89,62.8,63.08,202095085,DIS
4,2013-06,63.06,65.55,61.82,63.15,151220164,DIS
5,2013-07,63.84,67.36,62.57,64.65,132457761,DIS
6,2013-08,65.16,67.16,60.41,60.83,161707680,DIS
7,2013-09,61.42,67.65,60.52,64.49,207051344,DIS
8,2013-10,64.37,69.87,63.1,68.59,149816881,DIS
9,2013-11,68.71,71.69,66.72,70.54,127294274,DIS
10,2013-12,70.79,76.54,68.8,76.4,139805653,DIS
11,2014-01,76.04,76.84,71.12,72.61,144508978,DIS
12,2014-02,72.66,81.59,69.85,80.81,160632954,DIS
13,2014-03,80.3,83.65,77.28,80.07,147831669,DIS
14,2014-04,80.39,82.85,76.31,79.34,141488811,DIS
15,2014-05,79.35,84.39,79.21,84.01,135296853,DIS
16,2014-06,84.27,86.07,81.8,85.74,130003102,DIS
17,2014-07,85.81,87.63,84.87,85.88,120727063,DIS
18,2014-08,85.39,91.16,85.21,89.88,120728052,DIS
19,2014-09,90.18,91.2,87.36,89.03,112245495,DIS
20,2014-10,89.08,91.98,78.54,91.38,196431442,DIS
21,2014-11,91.24,92.96,88.65,92.51,129888128,DIS
22,2014-12,92.63,95.93,90.13,94.19,145271853,DIS
23,2015-01,94.91,96.43,90.83,90.96,139516910,DIS
24,2015-02,91.3,105.98,90.06,104.08,150290637,DIS
25,2015-03,104.35,108.94,102.865,104.89,127785972,DIS
26,2015-04,105.43,111.66,104.25,108.72,118684523,DIS
27,2015-05,109.95,113.3,107.67,110.37,121218992,DIS
28,2015-06,111.48,115.275,107.65,114.14,132415577,DIS
29,2015-07,114.95,120.72,114.27,120.0,128648812,DIS
30,2015-08,120.88,122.08,90.0,101.88,409136523,DIS
31,2015-09,99.31,105.95,97.77,102.2,191308081,DIS
32,2015-10,102.97,115.4,99.88,113.74,160079085,DIS
33,2015-11,114.49,120.65,110.81,113.47,193950710,DIS
34,2015-12,114.15,115.47,104.3,105.08,229164001,DIS
35,2016-01,103.12,103.43,90.42,95.82,222765513,DIS
36,2016-02,95.08,97.0,86.25,95.52,211432195,DIS
37,2016-03,95.9,100.37,95.53,99.31,143114909,DIS
38,2016-04,98.8,105.6,95.8,103.26,149297942,DIS
39,2016-05,103.3,106.75,97.51,99.22,179892310,DIS
40,2016-06,98.67,100.96,94.0,97.82,154928094,DIS
41,2016-07,97.75,100.8,95.82,95.95,129499458,DIS
42,2016-08,96.15,99.27,94.16,94.46,186980776,DIS
43,2016-09,94.73,94.96,91.19,92.86,164612297,DIS
44,2016-10,92.47,94.4,90.315,92.69,139393472,DIS
45,2016-11,92.78,100.2895,91.66,99.12,187893411,DIS
46,2016-12,99.13,106.26,98.25,104.22,178817728,DIS
47,2017-01,105.3,111.05,105.205,110.65,146528937,DIS
48,2017-02,110.71,111.99,108.5814,110.09,130199906,DIS
49,2017-03,110.66,113.71,110.04,113.39,128983570,DIS
50,2017-04,113.18,116.1,112.04,115.6,97240303,DIS
51,2017-05,115.59,115.61,105.23,107.94,173518303,DIS
52,2017-06,107.73,108.64,103.17,106.25,168401657,DIS
53,2017-07,106.76,110.19,102.72,109.93,114388037,DIS
54,2017-08,109.98,110.83,100.5,101.2,196946977,DIS
55,2017-09,101.65,102.55,96.2,98.57,192881201,DIS
56,2017-10,99.31,100.98,96.8,97.81,135199892,DIS
57,2017-11,98.13,106.26,97.9,104.82,171300624,DIS
58,2017-12,104.58,112.67,103.87,107.51,204095507,DIS
59,2018-01,108.95,113.19,108.47,108.67,161521034,DIS
60,2018-02,108.62,110.65,101.76,104.76,64784506,DIS
