,date,open,high,low,close,volume,Name
0,2013-02,39.41,46.71,38.43,45.185,68774991,DLTR
1,2013-03,45.02,48.61,43.675,48.43,51078614,DLTR
2,2013-04,48.56,48.85,45.57,47.56,44538659,DLTR
3,2013-05,47.64,51.2,47.57,48.04,39332414,DLTR
4,2013-06,48.5,51.29,47.99,50.84,34258526,DLTR
5,2013-07,50.66,55.0,50.46,53.65,28431079,DLTR
6,2013-08,53.81,55.02,50.33,52.7,31685682,DLTR
7,2013-09,53.14,58.69,52.31,57.16,31984796,DLTR
8,2013-10,57.32,60.19,57.07,58.4,32144404,DLTR
9,2013-11,58.88,60.1085,55.15,55.65,43915049,DLTR
10,2013-12,55.63,56.88,54.67,56.42,46811414,DLTR
11,2014-01,55.99,57.41,49.66,50.52,67001040,DLTR
12,2014-02,50.49,56.39,49.5925,54.77,57901907,DLTR
13,2014-03,54.45,55.3199,51.22,52.18,38536571,DLTR
14,2014-04,51.52,53.15,50.15,52.07,37272859,DLTR
15,2014-05,52.34,54.5,49.69,53.03,41586845,DLTR
16,2014-06,52.99,57.22,52.67,54.46,34084168,DLTR
17,2014-07,54.41,59.84,53.755,54.47,85960981,DLTR
18,2014-08,54.56,56.65,53.17,53.625,66928753,DLTR
19,2014-09,53.87,57.4,53.78,56.07,56267606,DLTR
20,2014-10,55.83,61.0,53.7,60.57,54767404,DLTR
21,2014-11,60.84,69.5,60.21,68.36,43340704,DLTR
22,2014-12,68.32,71.53,66.845,70.38,44139285,DLTR
23,2015-01,70.94,72.59,65.2,71.1,96066328,DLTR
24,2015-02,71.22,80.85,70.28,79.68,66733640,DLTR
25,2015-03,79.5,84.22,78.72,81.145,53000347,DLTR
26,2015-04,81.33,84.0,76.141,76.41,43236356,DLTR
27,2015-05,76.37,80.22,74.5123,74.99,49870253,DLTR
28,2015-06,74.65,81.8,74.65,78.99,43107280,DLTR
29,2015-07,79.43,82.68,76.4,78.03,48594152,DLTR
30,2015-08,78.05,81.17,69.63,76.26,49978243,DLTR
31,2015-09,72.6,72.75,64.95,66.66,103119112,DLTR
32,2015-10,66.76,68.34,60.31,65.49,76972337,DLTR
33,2015-11,65.65,76.0,61.33,75.46,71293447,DLTR
34,2015-12,76.04,80.04,73.71,77.22,57059380,DLTR
35,2016-01,76.84,81.97,73.56,81.32,56581458,DLTR
36,2016-02,81.21,82.76,72.52,80.25,60408931,DLTR
37,2016-03,79.5,83.59,75.24,82.46,60401295,DLTR
38,2016-04,82.26,83.72,77.64,79.71,34997634,DLTR
39,2016-05,80.06,90.86,73.02,90.54,64721143,DLTR
40,2016-06,90.54,94.85,89.275,94.24,42218643,DLTR
41,2016-07,94.69,97.45,93.59,96.29,27412752,DLTR
42,2016-08,97.48,99.93,82.13,82.7,63576249,DLTR
43,2016-09,82.39,83.83,77.28,78.93,62085105,DLTR
44,2016-10,78.46,79.89,74.36,75.55,48282513,DLTR
45,2016-11,75.76,91.41,72.55,88.16,69773590,DLTR
46,2016-12,86.79,88.975,74.92,77.18,55117354,DLTR
47,2017-01,77.57,81.92,72.89,77.19,50503723,DLTR
48,2017-02,77.01,82.25,74.47,76.68,57129550,DLTR
49,2017-03,78.97,82.1,72.91,78.46,74009056,DLTR
50,2017-04,78.46,83.21,76.17,82.77,45011245,DLTR
51,2017-05,83.07,83.48,76.0,77.7,56519418,DLTR
52,2017-06,78.03,80.93,65.63,69.92,88830938,DLTR
53,2017-07,70.03,72.42,66.01,72.08,47248230,DLTR
54,2017-08,72.1,82.255,71.79,79.64,76631381,DLTR
55,2017-09,79.79,87.19,79.66,86.82,42818856,DLTR
56,2017-10,86.6,93.68,86.18,91.25,42486456,DLTR
57,2017-11,91.6,105.14,90.34,102.76,55492292,DLTR
58,2017-12,101.82,110.855,100.645,107.31,41730626,DLTR
59,2018-01,107.99,116.65,106.5,115.0,37738690,DLTR
60,2018-02,113.6,114.89,101.071,106.08,10596464,DLTR
