,date,open,high,low,close,volume,Name
0,2013-02,45.96,46.1,42.1,43.62,37557136,DPS
1,2013-03,43.62,47.03,43.29,46.95,40003662,DPS
2,2013-04,46.9,50.29,45.74,48.83,32458201,DPS
3,2013-05,48.66,50.37,45.97,45.98,28009252,DPS
4,2013-06,46.11,47.6488,44.7,45.93,26648890,DPS
5,2013-07,46.21,48.31,45.8,46.74,22177908,DPS
6,2013-08,47.05,47.65,44.48,44.76,23605644,DPS
7,2013-09,45.01,46.11,43.9,44.82,27181434,DPS
8,2013-10,44.78,47.867,43.18,47.35,38096680,DPS
9,2013-11,47.45,49.23,46.98,48.26,18226829,DPS
10,2013-12,48.47,49.145,47.055,48.72,20782335,DPS
11,2014-01,48.86,49.86,47.28,47.88,29169173,DPS
12,2014-02,47.88,52.66,46.88,52.11,47564933,DPS
13,2014-03,51.84,54.59,51.13,54.46,40377399,DPS
14,2014-04,54.39,55.59,50.98,55.42,45601663,DPS
15,2014-05,55.5,58.16,55.07,57.7,24235133,DPS
16,2014-06,57.76,60.5,56.82,58.58,33822152,DPS
17,2014-07,58.75,61.92,58.07,58.76,35288011,DPS
18,2014-08,58.91,63.01,58.58,62.92,32075992,DPS
19,2014-09,62.82,65.43,61.76,64.31,29234086,DPS
20,2014-10,64.23,69.88,60.65,69.25,40374738,DPS
21,2014-11,69.09,74.28,68.84,74.0,28899632,DPS
22,2014-12,72.84,73.98,69.39,71.68,31989402,DPS
23,2015-01,71.95,80.04,70.775,77.27,29414683,DPS
24,2015-02,77.43,81.45,76.15,78.79,31040257,DPS
25,2015-03,78.93,79.98,74.81,78.48,31230065,DPS
26,2015-04,78.61,79.98,74.23,74.58,31262944,DPS
27,2015-05,74.83,78.47,74.72,76.64,21403967,DPS
28,2015-06,76.73,77.07,72.58,72.9,20713190,DPS
29,2015-07,73.31,80.41,73.16,80.22,23175494,DPS
30,2015-08,80.34,83.57,72.0,76.73,26742666,DPS
31,2015-09,75.52,79.27,75.09,79.05,23575230,DPS
32,2015-10,78.95,90.95,78.01,89.37,27998850,DPS
33,2015-11,89.82,90.95,85.5,89.75,25011020,DPS
34,2015-12,90.16,95.26,89.41,93.2,27147198,DPS
35,2016-01,91.91,94.51,88.37,93.84,32913869,DPS
36,2016-02,93.76,95.87,87.18,91.53,33298227,DPS
37,2016-03,92.15,93.0,88.0,89.42,32282389,DPS
38,2016-04,89.45,92.26,86.03,90.91,32311521,DPS
39,2016-05,91.07,95.83,90.82,91.4,21559339,DPS
40,2016-06,91.58,96.65,90.1799,96.63,25464073,DPS
41,2016-07,97.07,98.8,94.55,98.51,19077498,DPS
42,2016-08,98.33,98.45,92.81,93.7,26237847,DPS
43,2016-09,93.59,94.68,89.45,91.31,24566265,DPS
44,2016-10,90.93,90.98,85.32,87.79,30191759,DPS
45,2016-11,87.56,89.66,81.05,86.74,33215699,DPS
46,2016-12,86.27,91.14,84.06,90.67,31756165,DPS
47,2017-01,90.67,91.75,89.06,91.2,22355163,DPS
48,2017-02,91.2,95.15,90.0,93.44,22815150,DPS
49,2017-03,93.3,98.17,92.93,97.92,26673825,DPS
50,2017-04,97.88,99.47,91.07,91.65,25790640,DPS
51,2017-05,91.67,93.82,89.88,92.81,25687058,DPS
52,2017-06,92.93,96.75,90.7,91.11,30304752,DPS
53,2017-07,91.6,93.765,88.66,91.16,23426903,DPS
54,2017-08,91.05,92.86,89.4,91.05,20444969,DPS
55,2017-09,91.24,92.69,87.28,88.47,23288671,DPS
56,2017-10,88.51,91.5,83.23,85.66,29760907,DPS
57,2017-11,86.02,90.35,84.07,90.19,22775006,DPS
58,2017-12,90.37,97.84,88.8382,97.06,25747623,DPS
59,2018-01,97.37,126.65,94.61,119.35,55727005,DPS
60,2018-02,119.1,120.58,117.49,118.0,20960813,DPS
