,date,open,high,low,close,volume,Name
0,2013-02,47.41,47.5,44.11,46.27,36775419,DRI
1,2013-03,45.94,51.86,45.43,51.68,35148569,DRI
2,2013-04,51.74,52.0,48.25,51.63,40163844,DRI
3,2013-05,51.43,54.21,51.38,51.8,22009771,DRI
4,2013-06,51.91,55.25,48.4305,50.48,37334988,DRI
5,2013-07,50.73,52.24,47.763000000000005,49.05,27825033,DRI
6,2013-08,49.38,50.15,46.0,46.21,26979951,DRI
7,2013-09,46.74,49.85,44.78,46.29,35173282,DRI
8,2013-10,46.32,52.74,45.43,51.53,63925378,DRI
9,2013-11,51.64,54.0825,51.125,53.33,20713914,DRI
10,2013-12,53.19,54.89,49.35,54.37,47369280,DRI
11,2014-01,54.18,54.34,48.76,49.44,28483557,DRI
12,2014-02,49.48,51.25,47.045,51.06,26666359,DRI
13,2014-03,49.18,50.99,47.9,50.76,34977278,DRI
14,2014-04,50.95,52.5,47.83,49.71,25570917,DRI
15,2014-05,49.72,51.0,47.92,50.12,27249585,DRI
16,2014-06,50.16,51.21,46.11,46.27,29594572,DRI
17,2014-07,46.48,46.99,43.56,46.75,40453837,DRI
18,2014-08,46.74,48.4,46.03,47.32,33363114,DRI
19,2014-09,47.31,52.14,47.28,51.46,39718709,DRI
20,2014-10,51.32,52.53,46.7,51.78,47923584,DRI
21,2014-11,51.81,57.21,51.495,56.99,30265319,DRI
22,2014-12,56.89,59.59,55.82,58.63,33133213,DRI
23,2015-01,59.0,62.33,57.55,61.38,31297176,DRI
24,2015-02,61.3,64.55,59.21,64.0,18983631,DRI
25,2015-03,64.04,70.38,61.69,69.34,38392957,DRI
26,2015-04,69.13,69.435,63.5,63.77,32808985,DRI
27,2015-05,64.17,65.76,61.305,65.54,25113189,DRI
28,2015-06,65.54,73.4,63.68,71.08,37045004,DRI
29,2015-07,71.69,75.6,69.91,73.76,29590072,DRI
30,2015-08,73.89,75.49,65.93,68.01,28445256,DRI
31,2015-09,66.92,72.11,66.695,68.54,42355830,DRI
32,2015-10,68.54,69.0,61.85,61.89,37671018,DRI
33,2015-11,62.0,62.89,53.38,56.17,32837402,DRI
34,2015-12,56.6,64.9,55.01,63.64,43090229,DRI
35,2016-01,62.88,63.98,57.95,63.06,42608597,DRI
36,2016-02,62.84,64.36,55.77,63.88,39555128,DRI
37,2016-03,64.31,68.26,63.52,66.3,33511679,DRI
38,2016-04,66.16,68.62,61.99,62.25,47021062,DRI
39,2016-05,62.41,67.97,61.9,67.83,38313138,DRI
40,2016-06,67.56,68.68,62.53,63.34,43582772,DRI
41,2016-07,63.17,63.87,59.501000000000005,61.56,49880144,DRI
42,2016-08,61.47,63.22,59.93,61.64,36255970,DRI
43,2016-09,61.65,63.41,60.5,61.32,30487011,DRI
44,2016-10,60.86,64.87,60.16,64.79,39010862,DRI
45,2016-11,64.54,74.99,63.26,73.3,40831435,DRI
46,2016-12,73.86,79.43,72.03,72.72,36699759,DRI
47,2017-01,73.2,74.46,71.015,73.28,29793117,DRI
48,2017-02,73.26,77.11,71.43,74.68,26475665,DRI
49,2017-03,75.43,84.125,73.81,83.67,45084446,DRI
50,2017-04,83.64,86.44,81.87,85.19,29207368,DRI
51,2017-05,85.42,89.14,85.085,88.93,24580836,DRI
52,2017-06,89.0,95.22,88.03,90.44,38845585,DRI
53,2017-07,90.69,91.57,82.62,83.88,28965434,DRI
54,2017-08,82.21,85.81,80.98,82.09,37058802,DRI
55,2017-09,82.45,84.85,76.27,78.78,47687154,DRI
56,2017-10,78.53,85.56,77.93,82.27,34228558,DRI
57,2017-11,82.37,85.64,79.18,84.32,27710773,DRI
58,2017-12,84.72,98.36,83.77,96.02,38077698,DRI
59,2018-01,96.78,100.11,95.34,95.85,28012573,DRI
60,2018-02,95.4,98.33,91.15,95.08,8626433,DRI
