,date,open,high,low,close,volume,Name
0,2013-02,64.25,67.01,63.78,66.8,10955147,DTE
1,2013-03,66.66,68.375,65.74,68.34,21969530,DTE
2,2013-04,68.34,73.32,68.13,72.88,24508681,DTE
3,2013-05,72.86,73.205,65.45,66.61,23288755,DTE
4,2013-06,66.59,67.758,63.38,67.01,25017254,DTE
5,2013-07,67.6,71.59,64.71,70.7,18511895,DTE
6,2013-08,71.07,71.77,66.465,66.87,16753105,DTE
7,2013-09,67.28,68.65,64.92,65.98,25914840,DTE
8,2013-10,66.16,70.31,64.45100000000001,69.14,25453836,DTE
9,2013-11,69.26,70.64,66.66,66.74,20983395,DTE
10,2013-12,66.86,67.645,64.52,66.39,23216629,DTE
11,2014-01,66.4,68.34,64.84,68.22,22580943,DTE
12,2014-02,68.23,72.95,66.78,71.76,24874275,DTE
13,2014-03,71.41,74.61,69.58,74.29,22744299,DTE
14,2014-04,74.23,78.7,73.645,78.14,25276625,DTE
15,2014-05,78.29,79.45,73.99,76.12,18500447,DTE
16,2014-06,75.98,78.2,72.76,77.87,17729091,DTE
17,2014-07,77.96,78.1,73.74,73.82,23205954,DTE
18,2014-08,73.6,78.26,71.6,78.25,20599984,DTE
19,2014-09,78.13,78.89,74.62,76.08,16465544,DTE
20,2014-10,76.22,82.33,75.76,82.16,33534782,DTE
21,2014-11,82.36,84.4175,79.54,81.46,21813787,DTE
22,2014-12,81.06,90.77,80.71,86.37,21894631,DTE
23,2015-01,86.83,92.27,85.69,89.66,14966929,DTE
24,2015-02,89.86,90.82,80.63,82.03,24013243,DTE
25,2015-03,81.91,82.01,76.84,80.69,27504015,DTE
26,2015-04,80.62,84.27,79.19,79.63,22222592,DTE
27,2015-05,79.82,81.29,76.78,79.23,19344620,DTE
28,2015-06,79.33,79.72,73.23,74.64,27015272,DTE
29,2015-07,74.75,81.27,74.53,80.46,25005944,DTE
30,2015-08,80.5,85.12,76.09,78.06,26200566,DTE
31,2015-09,77.21,80.47,74.56,80.37,23424416,DTE
32,2015-10,80.49,85.36,78.39,81.59,19296077,DTE
33,2015-11,81.6,83.48,78.26,80.49,21109571,DTE
34,2015-12,80.94,81.925,77.35,80.19,24313169,DTE
35,2016-01,79.5,85.18,78.01,85.01,27256833,DTE
36,2016-02,84.51,87.84,82.93,84.12,24920050,DTE
37,2016-03,84.61,91.0,81.75,90.66,22575699,DTE
38,2016-04,90.62,91.23,84.77,89.16,18895802,DTE
39,2016-05,89.09,92.32,86.81,90.68,17386726,DTE
40,2016-06,90.6,99.13,90.02,99.12,19919769,DTE
41,2016-07,99.64,100.45,96.57,97.52,20460358,DTE
42,2016-08,97.38,98.44,92.24,92.9,22216764,DTE
43,2016-09,92.75,97.5999,90.61,93.67,26901599,DTE
44,2016-10,93.45,96.54,90.75,96.01,32106254,DTE
45,2016-11,96.0,96.78,89.66,93.09,22181453,DTE
46,2016-12,92.49,99.915,92.19,98.51,20834893,DTE
47,2017-01,98.74,99.49,96.58,98.64,18158084,DTE
48,2017-02,98.2,101.55,96.56,101.38,19693263,DTE
49,2017-03,100.62,102.96,99.45,102.11,20983201,DTE
50,2017-04,101.95,105.81,100.97,104.59,18047514,DTE
51,2017-05,104.76,109.89,103.281,109.52,14546458,DTE
52,2017-06,109.38,111.35,105.13,105.79,18340626,DTE
53,2017-07,106.05,108.0,104.19,107.06,18045597,DTE
54,2017-08,107.3,112.58,106.155,112.32,15328495,DTE
55,2017-09,112.5,113.71,106.21,107.36,15995770,DTE
56,2017-10,107.76,113.27,106.21,110.46,22995157,DTE
57,2017-11,110.94,116.21,109.58,115.57,19577348,DTE
58,2017-12,116.0,116.74,107.58,109.46,17942506,DTE
59,2018-01,109.68,110.49,102.84,105.64,27300464,DTE
60,2018-02,105.76,106.35,97.66,99.27,10980009,DTE
