,date,open,high,low,close,volume,Name
0,2013-02,68.88,70.3,67.7778,69.25,55839529,DUK
1,2013-03,68.41,72.675,68.05,72.59,47207342,DUK
2,2013-04,72.56,75.42,71.25,75.2,52944062,DUK
3,2013-05,75.0,75.465,66.17,66.93,86748614,DUK
4,2013-06,66.96,68.96,64.62,67.5,65142007,DUK
5,2013-07,67.9,71.91,66.5,71.0,52172680,DUK
6,2013-08,71.33,72.01,65.33,65.6,74382820,DUK
7,2013-09,65.89,68.64,64.16,66.78,56720875,DUK
8,2013-10,67.45,73.055,66.05,71.73,58636861,DUK
9,2013-11,71.96,73.53,69.74,69.96,75372968,DUK
10,2013-12,70.13,70.54,67.92,69.01,54472478,DUK
11,2014-01,69.2,70.68,67.05,70.62,70431379,DUK
12,2014-02,70.68,72.67,69.18,70.88,60382691,DUK
13,2014-03,70.59,71.36,68.101,71.22,70168129,DUK
14,2014-04,71.39,75.13,70.11,74.49,60342345,DUK
15,2014-05,74.6,74.78,69.73,71.08,56015269,DUK
16,2014-06,70.95,74.39,68.81,74.19,58533009,DUK
17,2014-07,74.2,74.48,70.81,72.13,55980720,DUK
18,2014-08,72.93,74.0,69.48,73.99,59791511,DUK
19,2014-09,74.02,75.21,72.95,74.77,66335751,DUK
20,2014-10,75.05,82.68,74.33,82.15,86330513,DUK
21,2014-11,82.23,83.9,78.5101,80.9,68856543,DUK
22,2014-12,80.39,87.29,80.16,83.54,74886393,DUK
23,2015-01,83.54,89.97,82.61,87.14,59388156,DUK
24,2015-02,87.0,87.29,77.79,78.55,76143325,DUK
25,2015-03,78.48,78.48,73.63,76.78,89032579,DUK
26,2015-04,76.94,79.88,76.16,77.57,62389180,DUK
27,2015-05,77.71,78.85,74.04,75.73,67755011,DUK
28,2015-06,76.26,76.36,70.41,70.62,91646293,DUK
29,2015-07,70.8,75.71,70.24,74.22,69539837,DUK
30,2015-08,74.3,77.53,70.15,70.91,82730459,DUK
31,2015-09,70.26,72.015,67.27,71.94,67373869,DUK
32,2015-10,71.99,75.29,70.0,71.47,65334715,DUK
33,2015-11,71.4,72.55,65.645,67.76,71833590,DUK
34,2015-12,68.05,72.75,65.5,71.39,73401600,DUK
35,2016-01,70.93,75.41,70.16,75.3,59412140,DUK
36,2016-02,75.18,80.0963,73.786,74.28,90842680,DUK
37,2016-03,74.66,80.71,72.48,80.68,87092148,DUK
38,2016-04,80.48,81.39,76.21,78.78,55372012,DUK
39,2016-05,78.83,81.28,75.72,78.23,64092104,DUK
40,2016-06,78.25,85.79,77.96,85.79,71035050,DUK
41,2016-07,85.91,87.31,84.15,85.59,60187870,DUK
42,2016-08,85.4,86.0,79.15,79.66,69854774,DUK
43,2016-09,79.66,87.75,77.9,80.04,59948214,DUK
44,2016-10,79.78,80.4905,75.81,80.02,62755737,DUK
45,2016-11,80.04,80.045,73.23,73.77,80801148,DUK
46,2016-12,73.5,78.24,72.34,77.62,68667958,DUK
47,2017-01,77.65,78.56,76.14,78.54,56711073,DUK
48,2017-02,78.14,82.82,76.28,82.55,61110998,DUK
49,2017-03,81.6,83.59,80.02,82.01,76190403,DUK
50,2017-04,81.9,83.35,81.27,82.5,43659819,DUK
51,2017-05,82.51,86.01,81.85,85.68,55609590,DUK
52,2017-06,85.48,87.49,83.59,83.59,59185153,DUK
53,2017-07,83.78,85.33,82.72,85.12,43846993,DUK
54,2017-08,86.17,87.95,84.65,87.3,48062472,DUK
55,2017-09,87.48,88.4,83.3976,83.92,48332667,DUK
56,2017-10,84.07,88.64,83.52,88.31,49139788,DUK
57,2017-11,88.56,91.8,87.56,89.18,55767782,DUK
58,2017-12,89.39,89.72,83.56,84.11,53165032,DUK
59,2018-01,84.28,84.42,76.64,78.5,79844019,DUK
60,2018-02,78.32,78.65,72.93,74.4,27084311,DUK
