,date,open,high,low,close,volume,Name
0,2013-02,59.655,60.05,56.52,59.81,22062722,DVA
1,2013-03,59.61,62.145,58.415,59.295,31156192,DVA
2,2013-04,59.32,64.37,58.826,59.325,32519876,DVA
3,2013-05,59.325,65.665,58.575,62.035,41445248,DVA
4,2013-06,62.15,65.5,60.055,60.4,25615908,DVA
5,2013-07,60.815,61.23,56.155,58.205,48378404,DVA
6,2013-08,58.5,59.225,53.555,53.755,36563662,DVA
7,2013-09,54.365,59.44,53.905,56.9,27216703,DVA
8,2013-10,56.89,58.95,55.23,56.21,26028452,DVA
9,2013-11,56.2,62.14,52.751999999999995,59.55,58683479,DVA
10,2013-12,59.44,63.74,56.85,63.37,40725033,DVA
11,2014-01,63.36,66.76,63.19,64.93,29546237,DVA
12,2014-02,64.94,70.0,62.52,68.73,37371143,DVA
13,2014-03,68.27,70.68,67.53,68.85,25649649,DVA
14,2014-04,69.0,70.1,66.81,69.3,30399642,DVA
15,2014-05,69.39,70.71,66.6,70.59,20758989,DVA
16,2014-06,70.81,73.61,69.83,72.32,18272633,DVA
17,2014-07,72.67,74.84,70.41,70.44,20198711,DVA
18,2014-08,71.35,74.99,70.85,74.68,15860329,DVA
19,2014-09,74.95,75.27,72.78,73.14,16556954,DVA
20,2014-10,73.3,78.52,71.5,78.07,20559838,DVA
21,2014-11,78.08,78.41,72.7,76.53,36908575,DVA
22,2014-12,76.47,76.77,72.14,75.74,19067772,DVA
23,2015-01,75.84,76.6,73.43,75.06,17578364,DVA
24,2015-02,75.07,77.1,71.89,74.6,29324489,DVA
25,2015-03,74.56,83.04,74.44,81.28,31188232,DVA
26,2015-04,81.25,85.17,79.83,81.1,19010586,DVA
27,2015-05,81.69,84.4,80.41,83.78,18941513,DVA
28,2015-06,83.94,84.4,79.31,79.47,22852318,DVA
29,2015-07,79.96,80.99,77.78,79.03,21534327,DVA
30,2015-08,79.07,81.89,71.65,75.64,25199184,DVA
31,2015-09,74.08,76.41,70.12,72.33,27396875,DVA
32,2015-10,72.33,78.245,70.94,77.51,19883376,DVA
33,2015-11,77.86,78.94,72.28,73.04,25912224,DVA
34,2015-12,73.41,73.93,67.34,69.71,40301015,DVA
35,2016-01,68.81,69.54,63.38,67.12,27876052,DVA
36,2016-02,66.73,67.5,61.36,65.97,26997837,DVA
37,2016-03,66.55,74.18,66.3,73.38,22593053,DVA
38,2016-04,73.05,75.375,72.31,73.9,17164176,DVA
39,2016-05,74.34,78.0,72.97,77.32,25121618,DVA
40,2016-06,77.11,77.93,73.53,77.32,18557331,DVA
41,2016-07,77.5,78.77,76.06,77.54,19137403,DVA
42,2016-08,77.63,77.9,62.76,64.63,47887619,DVA
43,2016-09,64.51,66.88,63.08,66.07,38669747,DVA
44,2016-10,65.69,65.89,54.5,58.62,49525617,DVA
45,2016-11,58.69,63.9475,57.0,63.35,53414125,DVA
46,2016-12,63.5,67.44,63.29,64.2,34539537,DVA
47,2017-01,64.74,66.6,62.24,63.75,25119409,DVA
48,2017-02,63.99,69.56,63.76,69.41,29339089,DVA
49,2017-03,69.77,70.14,65.42,67.97,24154284,DVA
50,2017-04,68.06,69.22,66.83,69.01,16999977,DVA
51,2017-05,69.02,70.16,61.48,66.26,40699873,DVA
52,2017-06,66.23,67.58,63.0,64.76,29432680,DVA
53,2017-07,64.91,66.6366,62.11,64.78,23227900,DVA
54,2017-08,58.46,65.34,55.59,58.56,36677889,DVA
55,2017-09,58.68,61.688,56.14,59.39,39425192,DVA
56,2017-10,59.55,63.04,53.58,60.74,59138073,DVA
57,2017-11,60.85,61.59,52.51,61.06,44855009,DVA
58,2017-12,61.0,72.93,60.05,72.25,46234251,DVA
59,2018-01,72.27,80.71,71.77,78.04,28848396,DVA
60,2018-02,77.53,78.26,70.5,74.66,7828559,DVA
