,date,open,high,low,close,volume,Name
0,2013-02,59.5,61.8,52.685,54.26,71625358,DVN
1,2013-03,53.87,58.53,53.18,56.42,62583704,DVN
2,2013-04,56.19,56.69,50.81,55.06,77671935,DVN
3,2013-05,55.26,61.1,54.59,56.85,74523296,DVN
4,2013-06,56.9,58.0,51.66,51.88,66140113,DVN
5,2013-07,52.12,57.99,52.0,55.01,57702151,DVN
6,2013-08,55.51,59.4,55.15,57.09,62221803,DVN
7,2013-09,57.78,60.385,56.99,57.76,52699325,DVN
8,2013-10,57.86,66.92,57.58,63.22,69865000,DVN
9,2013-11,63.19,65.6,59.4,60.62,92187842,DVN
10,2013-12,60.89,62.4,58.03,61.87,61736660,DVN
11,2014-01,61.69,61.99,58.21,59.22,62958766,DVN
12,2014-02,59.19,65.64,57.6729,64.42,71114170,DVN
13,2014-03,64.0,66.95,62.37,66.93,64321200,DVN
14,2014-04,66.91,72.41,66.75,70.0,76179139,DVN
15,2014-05,69.94,73.99,69.2,73.9,72418663,DVN
16,2014-06,73.85,80.63,73.56,79.4,59693289,DVN
17,2014-07,79.85,80.01,75.43,75.5,56470417,DVN
18,2014-08,75.11,77.01,71.4753,75.42,50851558,DVN
19,2014-09,75.3,75.34,67.58,68.18,64455072,DVN
20,2014-10,67.69,68.8,53.34,60.0,112775813,DVN
21,2014-11,60.21,68.47,55.44,58.97,83991804,DVN
22,2014-12,58.69,62.24,51.76,61.21,109706551,DVN
23,2015-01,60.63,62.57,56.77,60.27,82484322,DVN
24,2015-02,61.34,67.08,60.85,61.59,82163005,DVN
25,2015-03,61.46,61.98,56.35,60.31,79632956,DVN
26,2015-04,60.68,69.16,60.59,68.21,69009021,DVN
27,2015-05,67.9,70.48,64.71,65.22,64227081,DVN
28,2015-06,65.39,65.5,58.77,59.49,59313150,DVN
29,2015-07,59.42,59.8,48.21,49.42,81159852,DVN
30,2015-08,48.75,51.68,36.63,42.66,129330890,DVN
31,2015-09,41.07,42.2,36.01,37.09,105911266,DVN
32,2015-10,37.86,46.46,37.2,41.93,111574213,DVN
33,2015-11,41.34,48.68,41.0,46.01,92040943,DVN
34,2015-12,46.11,46.52,28.0,32.0,172208238,DVN
35,2016-01,31.78,32.93,19.69,27.9,199228210,DVN
36,2016-02,27.03,28.8698,18.07,19.68,409126360,DVN
37,2016-03,19.99,28.85,18.56,27.44,352904908,DVN
38,2016-04,26.39,37.675,25.554000000000002,34.68,253537966,DVN
39,2016-05,34.43,37.16,29.6,36.09,194233810,DVN
40,2016-06,35.37,39.469,32.81,36.25,200548264,DVN
41,2016-07,35.98,40.3,35.47,38.28,140096215,DVN
42,2016-08,37.74,45.62,35.01,43.33,148657541,DVN
43,2016-09,43.18,45.52,37.85,44.11,128754810,DVN
44,2016-10,43.96,44.94,37.81,37.89,106033538,DVN
45,2016-11,38.47,48.7101,36.64,48.33,132277096,DVN
46,2016-12,49.51,50.69,45.51,45.67,89011435,DVN
47,2017-01,46.82,49.45,44.42,45.54,81865254,DVN
48,2017-02,45.98,47.25,42.555,43.36,86704738,DVN
49,2017-03,43.95,44.77,38.02,41.72,109523858,DVN
50,2017-04,41.7,43.5216,38.95,39.49,84848948,DVN
51,2017-05,39.47,39.7212,33.38,33.98,105936277,DVN
52,2017-06,34.11,34.82,29.89,31.97,136266445,DVN
53,2017-07,32.13,34.14,28.7947,33.31,106712589,DVN
54,2017-08,33.25,34.28,29.785,31.4,97405283,DVN
55,2017-09,31.51,37.45,31.01,36.71,89289920,DVN
56,2017-10,36.02,37.04,33.97,36.9,85951864,DVN
57,2017-11,37.75,41.47,36.5702,38.53,116178458,DVN
58,2017-12,38.94,42.6,36.68,41.4,89003316,DVN
59,2018-01,41.79,45.16,41.07,41.37,97376460,DVN
60,2018-02,41.68,42.345,36.74,36.76,38767326,DVN
