,date,open,high,low,close,volume,Name
0,2017-04,69.32,77.99,67.76,75.34,95815881,DXC
1,2017-05,75.38,80.83,74.95,77.52,45190461,DXC
2,2017-06,77.3,79.31,73.51,76.72,49983051,DXC
3,2017-07,76.76,80.7299,75.64,78.38,27633404,DXC
4,2017-08,78.49,86.08,77.26,85.0,36853308,DXC
5,2017-09,85.13,86.29,83.52,85.88,33329098,DXC
6,2017-10,85.88,93.4,84.8473,91.52,34626715,DXC
7,2017-11,91.99,99.44,90.1501,96.14,34486623,DXC
8,2017-12,96.1,96.81,92.025,94.9,27421932,DXC
9,2018-01,94.9,102.95,94.55,99.55,30536398,DXC
10,2018-02,98.95,100.95,93.17,96.08,8652524,DXC
