,date,open,high,low,close,volume,Name
0,2013-02,54.17,57.19,54.0,56.0,29596246,D
1,2013-03,55.83,58.25,55.45,58.18,42526145,D
2,2013-04,58.17,61.72,57.9401,61.68,43725417,D
3,2013-05,61.76,61.85,56.55,56.55,60375602,D
4,2013-06,56.46,57.25,53.79,56.82,77567163,D
5,2013-07,57.14,60.38,55.51,59.31,45618483,D
6,2013-08,59.68,60.44,57.03,58.35,64280589,D
7,2013-09,58.89,64.04,56.5839,62.48,62581640,D
8,2013-10,62.92,65.03,61.36,63.75,46690069,D
9,2013-11,63.96,67.975,63.64,64.91,69248258,D
10,2013-12,64.8,65.07,63.0,64.69,42673974,D
11,2014-01,64.61,68.47,63.14,67.91,51197633,D
12,2014-02,67.84,72.22,65.061,69.4,46831890,D
13,2014-03,68.97,71.52,67.59,70.99,57950651,D
14,2014-04,70.85,73.75,68.7851,72.54,45975497,D
15,2014-05,72.58,73.0,68.18,68.96,41790204,D
16,2014-06,69.0,71.7,67.06,71.52,59292365,D
17,2014-07,71.53,71.62,67.58,67.64,45339346,D
18,2014-08,67.48,71.3,64.71,70.22,44929962,D
19,2014-09,70.33,71.328,67.29,69.09,44174756,D
20,2014-10,69.42,73.31,65.53,71.3,73503931,D
21,2014-11,71.53,74.59,71.34,72.55,46045814,D
22,2014-12,72.16,80.89,71.34,76.9,60141451,D
23,2015-01,77.26,79.8904,75.33,76.89,47567084,D
24,2015-02,77.18,78.88,71.61,72.09,61079015,D
25,2015-03,71.87,72.62,68.251,70.87,66538829,D
26,2015-04,71.11,74.34,70.13,71.68,47548357,D
27,2015-05,71.8,72.57,70.07,70.52,46508877,D
28,2015-06,70.6,70.91,66.515,66.87,64425215,D
29,2015-07,67.19,72.17,66.65,71.7,51012323,D
30,2015-08,71.92,76.59,68.83,69.75,65479343,D
31,2015-09,68.88,70.69,66.9,70.38,53203600,D
32,2015-10,70.45,74.88,68.455,71.43,51248579,D
33,2015-11,71.06,71.79,66.85,67.37,43865460,D
34,2015-12,67.87,68.92,64.54,67.64,54220785,D
35,2016-01,66.97,72.2,66.25,72.17,62590465,D
36,2016-02,70.27,71.87,68.45,69.92,81318972,D
37,2016-03,70.33,75.18,67.58,75.12,58418595,D
38,2016-04,74.78,75.5,69.28,71.47,61624846,D
39,2016-05,71.7,73.34,68.71,72.26,50519067,D
40,2016-06,71.2,77.93,70.745,77.93,71266773,D
41,2016-07,78.06,78.97,76.1,78.02,42924576,D
42,2016-08,77.73,78.08,73.68,74.16,74698986,D
43,2016-09,74.18,77.32,72.49,74.27,53250312,D
44,2016-10,74.21,75.91,71.32,75.2,45094845,D
45,2016-11,75.03,76.3,69.51,73.29,61477206,D
46,2016-12,72.93,77.325,72.2,76.59,53554138,D
47,2017-01,76.57,77.045,74.7,76.28,41852796,D
48,2017-02,74.36,78.035,70.87,77.64,64100409,D
49,2017-03,75.88,79.36,74.59,77.57,55867347,D
50,2017-04,77.14,78.461,76.25,77.43,41950394,D
51,2017-05,77.45,81.3,76.39,80.77,45290677,D
52,2017-06,80.77,81.65,76.17,76.63,66088954,D
53,2017-07,76.94,77.57,75.4,77.18,38869689,D
54,2017-08,78.08,80.67,76.56,78.77,44123784,D
55,2017-09,78.9,83.22,76.23,76.93,50678538,D
56,2017-10,77.2,82.13,75.75,81.14,47148535,D
57,2017-11,81.41,84.34,80.01,84.13,40617003,D
58,2017-12,84.38,85.3,80.11,81.06,47003078,D
59,2018-01,81.2,81.67,74.32,76.44,118633507,D
60,2018-02,76.46,76.72,72.8,73.76,24115882,D
