,date,open,high,low,close,volume,Name
0,2013-02,72.51,75.18,67.27,69.73,25901280,EMN
1,2013-03,69.09,73.83,67.77,69.87,27174559,EMN
2,2013-04,69.73,73.65,65.44,66.65,40265526,EMN
3,2013-05,66.22,74.62,63.48,71.72,38623242,EMN
4,2013-06,71.91,73.85,68.03,70.01,27621310,EMN
5,2013-07,70.36,81.43,69.75,80.43,26502314,EMN
6,2013-08,80.77,82.905,74.75,76.0,27743474,EMN
7,2013-09,77.2,80.08,75.74,77.9,29766515,EMN
8,2013-10,77.85,82.96,75.16,78.79,43721566,EMN
9,2013-11,79.0,80.1,75.37,77.03,23910036,EMN
10,2013-12,77.21,80.84,72.62,80.7,38535570,EMN
11,2014-01,80.31,81.25,73.0001,77.96,38102097,EMN
12,2014-02,78.11,88.14,75.63,87.43,32265904,EMN
13,2014-03,86.54,88.9,83.56,86.21,28738452,EMN
14,2014-04,86.3,89.19,82.49,87.17,29087040,EMN
15,2014-05,87.04,88.32,83.11,88.26,22735813,EMN
16,2014-06,88.26,90.55,86.16,87.35,20566001,EMN
17,2014-07,87.41,89.02,78.63,78.78,28697852,EMN
18,2014-08,78.76,83.1,78.21,82.47,22008686,EMN
19,2014-09,82.81,85.21,80.73,80.89,28061492,EMN
20,2014-10,80.69,84.36,70.38,80.78,40183746,EMN
21,2014-11,82.51,88.93,80.0,82.92,26845084,EMN
22,2014-12,82.99,84.6,71.06,75.86,37868380,EMN
23,2015-01,76.03,76.67,67.13,70.89,40847380,EMN
24,2015-02,71.04,76.54,68.74,74.46,27269298,EMN
25,2015-03,73.98,75.43,67.87,69.26,32159132,EMN
26,2015-04,68.97,77.66,67.74,76.22,35626328,EMN
27,2015-05,76.95,80.93,76.02,76.77,30425100,EMN
28,2015-06,77.43,83.9,75.82,81.82,35617770,EMN
29,2015-07,82.79,82.79,71.66,78.4,38312020,EMN
30,2015-08,78.24,79.81,63.85,72.46,27846813,EMN
31,2015-09,70.15,73.32,62.84,64.72,26681865,EMN
32,2015-10,65.13,73.82,63.84,72.17,29943997,EMN
33,2015-11,72.19,73.28,66.01,72.65,23653964,EMN
34,2015-12,72.81,73.72,65.88,67.51,24277735,EMN
35,2016-01,66.5,68.11,56.03,61.21,30589447,EMN
36,2016-02,58.82,65.77,57.0,64.15,30263045,EMN
37,2016-03,65.16,74.98,64.71,72.23,28336585,EMN
38,2016-04,71.9,78.79,70.54,76.38,24612017,EMN
39,2016-05,75.97,77.97,72.61,73.36,21323737,EMN
40,2016-06,73.01,75.13,65.19,67.9,33155506,EMN
41,2016-07,68.03,72.5,64.19,65.23,30001458,EMN
42,2016-08,65.2,69.43,63.65,67.89,27138844,EMN
43,2016-09,67.88,68.8,63.1,67.68,31282111,EMN
44,2016-10,67.72,72.64,62.7,71.91,34596811,EMN
45,2016-11,72.38,76.88,70.63,75.12,29947349,EMN
46,2016-12,75.62,77.98,74.18,75.21,26047689,EMN
47,2017-01,75.84,80.48,74.78,77.5,31523091,EMN
48,2017-02,77.8,81.45,77.14,80.25,17861203,EMN
49,2017-03,81.2,82.1,76.02,80.8,29480006,EMN
50,2017-04,80.84,82.39,77.61,79.75,18038453,EMN
51,2017-05,80.13,80.86,76.11,80.11,25541960,EMN
52,2017-06,80.56,86.28,79.93,83.99,27930418,EMN
53,2017-07,84.61,86.6,81.91,83.16,17290023,EMN
54,2017-08,84.47,86.79,82.33,86.2,21554428,EMN
55,2017-09,86.58,90.97,84.42,90.49,25994832,EMN
56,2017-10,90.38,94.96,86.58,90.81,29954882,EMN
57,2017-11,91.46,93.0,88.85,92.37,19472634,EMN
58,2017-12,92.64,94.27,89.64,92.64,21438880,EMN
59,2018-01,93.43,102.51,92.9,99.18,22280574,EMN
60,2018-02,98.63,104.08,94.31,98.98,12440996,EMN
