,date,open,high,low,close,volume,Name
0,2013-02,55.06,58.1,55.02,55.04,32903682,EQR
1,2013-03,55.03,56.545,54.21,55.06,39154183,EQR
2,2013-04,54.97,59.42,54.7,58.06,36624971,EQR
3,2013-05,57.68,60.97,55.9,56.55,64839893,EQR
4,2013-06,56.58,58.8,52.71,58.06,49403682,EQR
5,2013-07,58.34,59.4,55.08,56.0,34715733,EQR
6,2013-08,56.26,56.54,50.24,51.89,39848637,EQR
7,2013-09,52.26,56.97,50.775,53.57,37578267,EQR
8,2013-10,53.61,56.06,51.76,52.36,40539544,EQR
9,2013-11,52.45,53.39,50.08,51.54,33593585,EQR
10,2013-12,51.3,54.05,50.89,51.87,48927520,EQR
11,2014-01,51.74,55.61,51.55,55.38,46107615,EQR
12,2014-02,55.23,59.335,54.56,58.47,44459192,EQR
13,2014-03,58.36,59.41,56.51,57.99,34059011,EQR
14,2014-04,58.15,60.34,57.19,59.44,43485237,EQR
15,2014-05,58.0,62.57,58.0,61.8,30901458,EQR
16,2014-06,61.81,63.54,60.52,63.0,30306428,EQR
17,2014-07,63.21,66.77,62.75,64.65,33860101,EQR
18,2014-08,64.33,67.43,63.84,66.47,27228390,EQR
19,2014-09,66.63,67.91,60.44,61.58,51836753,EQR
20,2014-10,61.58,70.3,61.47,69.56,59137960,EQR
21,2014-11,69.68,71.915,68.94,70.84,32596823,EQR
22,2014-12,70.93,74.72,69.78,71.84,35890838,EQR
23,2015-01,72.28,81.03,72.06,77.61,38381741,EQR
24,2015-02,77.72,80.52,75.95,77.03,41506488,EQR
25,2015-03,77.28,82.53,74.82,77.86,43709028,EQR
26,2015-04,77.94,79.23,73.325,73.86,31317010,EQR
27,2015-05,74.12,75.95,72.02,74.32,29433002,EQR
28,2015-06,74.64,75.51,69.94,70.17,40777017,EQR
29,2015-07,70.5,77.005,70.04,74.81,36397198,EQR
30,2015-08,75.0,81.98,61.9,71.25,37469640,EQR
31,2015-09,70.05,75.34,68.45,75.12,34880414,EQR
32,2015-10,75.52,81.82,74.38,77.32,36496173,EQR
33,2015-11,77.16,81.6,75.37,79.82,30525170,EQR
34,2015-12,80.3,82.39,76.66,81.59,35212033,EQR
35,2016-01,80.79,81.76,74.93,77.09,35928200,EQR
36,2016-02,76.19,77.8,69.87,74.49,43485285,EQR
37,2016-03,67.16,75.39,66.62,75.03,43547522,EQR
38,2016-04,74.71,75.49,66.82,68.07,41800959,EQR
39,2016-05,68.72,73.05,66.59,69.21,39987914,EQR
40,2016-06,67.89,68.89,63.11,68.88,58612790,EQR
41,2016-07,69.01,71.53,65.38,67.99,52088240,EQR
42,2016-08,67.99,68.8,64.16,64.87,46757284,EQR
43,2016-09,64.9,66.19,62.39,64.33,59996622,EQR
44,2016-10,64.08,64.08,59.58,61.75,51281302,EQR
45,2016-11,61.64,62.82,58.28,60.01,46152939,EQR
46,2016-12,59.6,65.14,59.11,64.36,48741529,EQR
47,2017-01,64.87,65.71,60.38,60.77,44775745,EQR
48,2017-02,60.74,63.6,59.49,63.07,36894395,EQR
49,2017-03,62.93,63.98,61.36,62.22,44114924,EQR
50,2017-04,62.24,65.9,61.59,64.58,33724709,EQR
51,2017-05,64.77,65.98,63.49,65.09,34700601,EQR
52,2017-06,65.06,68.83,64.4,65.83,35634904,EQR
53,2017-07,66.04,68.1,63.98,68.06,30423524,EQR
54,2017-08,67.64,68.71,66.525,67.15,33898810,EQR
55,2017-09,67.15,68.77,65.44,65.93,33414373,EQR
56,2017-10,66.09,67.78,65.17,67.26,32429960,EQR
57,2017-11,67.32,70.455,66.01,66.82,32258237,EQR
58,2017-12,67.02,67.39,63.2,63.77,34002904,EQR
59,2018-01,63.97,64.02,59.51,61.61,41204633,EQR
60,2018-02,61.46,61.74,56.07,56.86,14421119,EQR
