,date,open,high,low,close,volume,Name
0,2013-02,61.99,63.39,57.86,63.09,16430771,EQT
1,2013-03,62.63,68.44,62.05,67.75,32089499,EQT
2,2013-04,67.94,76.91,64.71,75.12,35120305,EQT
3,2013-05,74.79,83.33,73.62,79.88,34358146,EQT
4,2013-06,79.99,84.0,76.93,79.37,25433486,EQT
5,2013-07,79.8,88.16,78.57,86.5,31049310,EQT
6,2013-08,87.45,88.23,82.616,85.72,19949945,EQT
7,2013-09,86.97,94.42,84.1,88.72,19881726,EQT
8,2013-10,88.97,91.59,84.75,85.61,30419714,EQT
9,2013-11,85.72,88.05,80.72,85.11,29322331,EQT
10,2013-12,85.1,91.19,82.06,89.78,31701843,EQT
11,2014-01,89.88,93.61,84.25,92.81,25925371,EQT
12,2014-02,92.8,102.67,91.62,102.29,37279262,EQT
13,2014-03,101.46,104.72,94.35,96.97,29610788,EQT
14,2014-04,96.7,111.47,95.78,108.99,34605872,EQT
15,2014-05,109.08,111.16,101.96,106.88,26859291,EQT
16,2014-06,106.74,109.97,102.15,106.9,30635160,EQT
17,2014-07,106.71,107.71,93.76,93.82,37207001,EQT
18,2014-08,95.25,99.12,92.67,99.06,22311108,EQT
19,2014-09,99.06,99.2,89.77,91.54,24415337,EQT
20,2014-10,91.82,94.21,76.2,94.04,43878791,EQT
21,2014-11,94.15,100.65,88.16,90.98,34139634,EQT
22,2014-12,90.01,91.68,74.37,75.7,39453816,EQT
23,2015-01,76.16,78.45,71.3301,74.44,27452920,EQT
24,2015-02,75.45,83.46,73.4901,79.81,33998061,EQT
25,2015-03,79.99,83.43,74.76,82.87,25412201,EQT
26,2015-04,83.36,91.42,81.97,89.94,28378600,EQT
27,2015-05,90.15,92.79,84.49,85.07,23698492,EQT
28,2015-06,85.03,87.38,80.86,81.34,28335130,EQT
29,2015-07,81.37,81.67,71.35,76.85,38518451,EQT
30,2015-08,75.94,79.42,70.24,77.82,27936862,EQT
31,2015-09,75.24,77.51,63.09,64.77,32841587,EQT
32,2015-10,66.2,77.575,63.12,66.07,43222039,EQT
33,2015-11,65.66,68.905,56.93,57.22,30187446,EQT
34,2015-12,57.09,58.11,47.1,52.13,50890445,EQT
35,2016-01,51.75,62.82,48.3,61.74,50752048,EQT
36,2016-02,61.41,62.57,54.22,55.74,56157065,EQT
37,2016-03,56.57,68.26,54.38,67.26,44552025,EQT
38,2016-04,66.06,73.19,63.48,70.1,31339030,EQT
39,2016-05,69.62,73.72,66.66,73.25,48145408,EQT
40,2016-06,72.74,80.61,71.82,77.43,37385473,EQT
41,2016-07,77.25,79.635,72.18,72.86,28518539,EQT
42,2016-08,72.31,73.92,67.69,71.5,36310547,EQT
43,2016-09,71.05,75.51,68.13,72.62,35237169,EQT
44,2016-10,72.89,74.11,63.11,66.0,33931553,EQT
45,2016-11,66.63,74.6,63.23,70.08,29010253,EQT
46,2016-12,71.63,75.74,64.08,65.4,43677742,EQT
47,2017-01,64.41,66.408,60.2,60.63,38617071,EQT
48,2017-02,61.52,66.1499,59.5574,59.89,39754205,EQT
49,2017-03,60.73,61.718999999999994,56.33,61.1,51233173,EQT
50,2017-04,61.13,64.45,57.84,58.14,39754884,EQT
51,2017-05,57.94,60.23,54.73,55.27,43986089,EQT
52,2017-06,55.48,59.6525,49.63,58.59,120622910,EQT
53,2017-07,60.23,67.84,57.49100000000001,63.7,83557564,EQT
54,2017-08,63.36,64.27,59.575,62.34,53210764,EQT
55,2017-09,62.45,65.87,54.31,65.24,58204865,EQT
56,2017-10,64.51,65.7,58.2,62.54,79695548,EQT
57,2017-11,63.08,66.03,56.34,59.6,101637839,EQT
58,2017-12,59.99,60.35,53.43,56.92,68169751,EQT
59,2018-01,57.51,59.66,54.12,54.29,70985014,EQT
60,2018-02,54.17,54.67,47.13,47.65,24353277,EQT
