,date,open,high,low,close,volume,Name
0,2013-02,55.27,59.21,54.24,56.93,111338615,ESRX
1,2013-03,56.56,60.08,56.16,57.62,100985366,ESRX
2,2013-04,57.55,60.05,54.57,59.37,115603850,ESRX
3,2013-05,59.23,64.08,59.02,62.12,111940965,ESRX
4,2013-06,62.18,63.3399,60.6,61.74,87144826,ESRX
5,2013-07,62.73,67.66,61.52,65.55,87106842,ESRX
6,2013-08,66.2,66.74,63.5,63.88,81379480,ESRX
7,2013-09,64.48,66.51,60.8,61.8,113151310,ESRX
8,2013-10,62.01,65.23,59.2,62.52,113585479,ESRX
9,2013-11,62.93,67.95,61.89,67.35,100014384,ESRX
10,2013-12,67.32,70.79,66.15,70.24,79711223,ESRX
11,2014-01,70.0,75.28,69.61,74.69,98414127,ESRX
12,2014-02,75.21,78.17,72.68,75.31,109295719,ESRX
13,2014-03,74.77,79.37,74.32,75.09,113185335,ESRX
14,2014-04,75.5,76.21,64.64,66.58,125320052,ESRX
15,2014-05,66.62,71.49,65.83,71.47,114992349,ESRX
16,2014-06,70.87,71.81,67.635,69.33,101966794,ESRX
17,2014-07,69.92,71.73,65.08,69.65,120921234,ESRX
18,2014-08,69.62,75.74,69.38,73.93,81921692,ESRX
19,2014-09,74.2,75.95,70.36,70.63,76102773,ESRX
20,2014-10,70.75,77.41,68.78,76.82,92080620,ESRX
21,2014-11,76.82,83.37,76.31,83.15,62586984,ESRX
22,2014-12,82.99,86.26899999999999,78.89,84.67,85414367,ESRX
23,2015-01,84.91,86.64,80.6,80.71,82084755,ESRX
24,2015-02,81.33,88.83,79.01,84.79,74371519,ESRX
25,2015-03,84.39,88.55,80.94,86.77,76359155,ESRX
26,2015-04,86.99,89.59,83.76,86.4,78933293,ESRX
27,2015-05,86.95,91.21,83.41,87.14,96188481,ESRX
28,2015-06,86.15,92.46,84.94,88.94,92575589,ESRX
29,2015-07,89.55,94.61,87.16,90.07,78404826,ESRX
30,2015-08,90.06,91.37,68.06,83.6,105346094,ESRX
31,2015-09,81.91,85.91,79.23,80.96,96895833,ESRX
32,2015-10,81.34,88.1,79.66,86.38,90716814,ESRX
33,2015-11,86.72,89.2,82.86,85.48,86342386,ESRX
34,2015-12,85.9,89.0,84.13,87.41,78723944,ESRX
35,2016-01,85.84,87.87,69.04,71.87,146190348,ESRX
36,2016-02,71.12,72.72,65.55,70.38,94609080,ESRX
37,2016-03,70.69,72.91,65.97,68.69,116435859,ESRX
38,2016-04,69.17,76.35,66.89,73.73,98006668,ESRX
39,2016-05,73.87,75.64,71.41,75.55,68438537,ESRX
40,2016-06,75.52,77.26,72.81,75.8,83907560,ESRX
41,2016-07,75.8,80.02,75.0001,76.07,67794263,ESRX
42,2016-08,76.11,77.61,71.26,72.7,86817323,ESRX
43,2016-09,72.98,73.12,68.7,70.53,70013294,ESRX
44,2016-10,70.24,72.03,64.46,67.4,72567429,ESRX
45,2016-11,67.42,77.5,66.77,75.88,94649756,ESRX
46,2016-12,75.89,77.25,68.0,68.79,97324825,ESRX
47,2017-01,69.41,73.419,67.03,68.88,81032133,ESRX
48,2017-02,68.65,71.85,65.82,70.65,72478887,ESRX
49,2017-03,71.16,72.11,63.22,65.91,117210689,ESRX
50,2017-04,66.06,67.5055,57.8,61.34,120376483,ESRX
51,2017-05,61.42,63.13,59.14,59.75,91183475,ESRX
52,2017-06,59.92,66.56,59.6811,63.84,96254616,ESRX
53,2017-07,64.15,65.5,61.06,62.64,59789470,ESRX
54,2017-08,62.72,62.98,60.025,62.82,62771695,ESRX
55,2017-09,62.93,64.305,60.35,63.32,70074414,ESRX
56,2017-10,63.37,64.29,55.8,61.29,104064665,ESRX
57,2017-11,61.81,65.2,59.17,65.18,70448765,ESRX
58,2017-12,64.19,75.64,63.63,74.64,85183799,ESRX
59,2018-01,74.99,83.485,72.5701,79.18,88335794,ESRX
60,2018-02,77.03,78.43,72.95,74.95,23085839,ESRX
