,date,open,high,low,close,volume,Name
0,2013-02,58.95,62.56,58.81,61.97,46249279,ETN
1,2013-03,61.45,63.81,60.35,61.25,64324656,ETN
2,2013-04,61.25,62.88,55.41,61.41,83421734,ETN
3,2013-05,61.02,69.9183,59.18,66.06,69643118,ETN
4,2013-06,66.4,67.0125,61.23,65.81,68207322,ETN
5,2013-07,65.76,69.44,65.51,68.95,49075895,ETN
6,2013-08,69.53,70.07,63.19,63.32,59958573,ETN
7,2013-09,64.28,71.36,62.89,68.84,48693319,ETN
8,2013-10,68.72,72.54,65.2,70.56,78369117,ETN
9,2013-11,70.55,73.44,68.785,72.66,42743541,ETN
10,2013-12,72.66,77.0,70.09,76.12,48198177,ETN
11,2014-01,75.74,78.19,72.12,73.09,62462817,ETN
12,2014-02,73.44,76.16,66.89,74.71,74098712,ETN
13,2014-03,73.95,76.645,71.18,75.12,62034837,ETN
14,2014-04,74.77,77.71,70.26,72.64,61185997,ETN
15,2014-05,72.27,74.95,67.89,73.69,49246237,ETN
16,2014-06,73.75,79.65,72.95,77.18,54204140,ETN
17,2014-07,77.49,79.98,67.76,67.92,84592459,ETN
18,2014-08,67.58,70.69,66.54,69.81,57460528,ETN
19,2014-09,70.0,70.6,62.84,63.37,61626332,ETN
20,2014-10,63.03,68.88,57.11,68.39,89889469,ETN
21,2014-11,68.37,69.6,66.17,67.83,45895586,ETN
22,2014-12,67.57,70.51,64.0301,67.96,55482716,ETN
23,2015-01,68.39,68.57,62.8,63.09,61975913,ETN
24,2015-02,63.62,72.775,62.84,71.01,51164050,ETN
25,2015-03,71.01,71.49,66.04,67.94,50411838,ETN
26,2015-04,67.95,70.38,66.95,68.73,55276755,ETN
27,2015-05,69.27,73.82,68.95,71.59,53362858,ETN
28,2015-06,71.79,73.28,66.86,67.49,43868096,ETN
29,2015-07,67.98,68.23,59.5,60.58,63231460,ETN
30,2015-08,60.45,61.4,49.21,57.06,66409508,ETN
31,2015-09,55.75,57.63,49.93,51.3,81407930,ETN
32,2015-10,51.44,56.49,49.46,55.91,91897000,ETN
33,2015-11,55.49,58.59,53.99,58.16,77815119,ETN
34,2015-12,58.35,58.58,49.65,52.04,87535429,ETN
35,2016-01,51.21,52.34,46.19,50.51,73416708,ETN
36,2016-02,50.04,57.98,48.61,56.71,82399776,ETN
37,2016-03,57.69,63.99,56.97,62.56,68142243,ETN
38,2016-04,61.89,63.98,58.13,63.27,59207042,ETN
39,2016-05,63.48,63.62,58.86,61.63,44919080,ETN
40,2016-06,61.22,63.57,54.3001,59.73,53137619,ETN
41,2016-07,59.63,64.85,58.275,63.41,45333585,ETN
42,2016-08,63.43,68.2,62.63,66.54,54122554,ETN
43,2016-09,66.66,67.69,61.945,65.71,49864291,ETN
44,2016-10,65.48,66.25,61.965,63.77,52052554,ETN
45,2016-11,62.76,68.95,59.07,66.51,85500310,ETN
46,2016-12,66.86,70.0,66.73,67.09,45433597,ETN
47,2017-01,67.59,71.68,66.6,70.78,40578569,ETN
48,2017-02,70.97,72.92,69.41,71.98,47589129,ETN
49,2017-03,72.81,74.63,71.08,74.15,49625373,ETN
50,2017-04,74.32,77.39,73.42,75.64,45525873,ETN
51,2017-05,75.9,79.31,75.11,77.38,47757856,ETN
52,2017-06,77.9,78.615,74.26,77.83,47451886,ETN
53,2017-07,78.37,81.63,77.62,78.25,40161663,ETN
54,2017-08,73.4,74.57,69.82,71.76,65895189,ETN
55,2017-09,72.04,78.51,70.63,76.79,46615065,ETN
56,2017-10,76.95,81.5,76.39,80.02,51640182,ETN
57,2017-11,80.88,82.34,75.42,77.78,46242388,ETN
58,2017-12,77.99,79.65,74.9,79.01,46389670,ETN
59,2018-01,79.23,86.82,77.515,83.97,52065948,ETN
60,2018-02,86.93,89.85,79.5,81.62,26644927,ETN
