,date,open,high,low,close,volume,Name
0,2013-02,43.185,44.3698,42.55,42.965,26910716,EW
1,2013-03,42.88,45.155,39.05,41.08,43127928,EW
2,2013-04,41.105,43.055,31.495,31.895,73394478,EW
3,2013-05,31.76,36.2,31.17,33.23,70806306,EW
4,2013-06,33.31,36.32,32.18,33.6,44995936,EW
5,2013-07,33.66,36.655,32.515,35.69,53164502,EW
6,2013-08,36.1,36.865,34.695,35.19,34957178,EW
7,2013-09,35.55,36.305,33.77,34.815,59630860,EW
8,2013-10,34.995,39.445,32.44,32.595,81901600,EW
9,2013-11,32.72,32.965,31.085,32.765,47609774,EW
10,2013-12,32.835,33.255,30.31,32.88,56530412,EW
11,2014-01,32.84,36.74,32.04,32.56,67147346,EW
12,2014-02,32.645,35.415,31.52,34.88,48944564,EW
13,2014-03,34.685,37.81,34.38,37.085,52454042,EW
14,2014-04,37.385,42.2,36.395,40.735,64506612,EW
15,2014-05,40.635,43.515,39.43,40.6,44070594,EW
16,2014-06,40.56,44.095,39.06,42.92,42174906,EW
17,2014-07,43.045,47.25,42.025,45.125,54943988,EW
18,2014-08,46.0,49.675,45.805,49.63,34942686,EW
19,2014-09,49.68,52.345,48.4175,51.075,33362892,EW
20,2014-10,51.155,61.0,48.535,60.46,46866270,EW
21,2014-11,60.435,65.635,59.445,64.84,30362398,EW
22,2014-12,64.795,67.145,62.67,63.69,41054512,EW
23,2015-01,64.095,68.595,62.345,62.675,37257434,EW
24,2015-02,62.845,68.79,61.985,66.51,37721114,EW
25,2015-03,66.31,75.205,66.005,71.23,48169778,EW
26,2015-04,71.03,72.935,63.045,63.325,42258852,EW
27,2015-05,63.56,67.135,61.375,65.36,50530608,EW
28,2015-06,65.39,73.648,64.62,71.215,47283752,EW
29,2015-07,71.755,79.5,70.56,76.08,47600936,EW
30,2015-08,76.125,76.7,62.53,70.44,46458716,EW
31,2015-09,68.9,72.413,66.57,71.085,44529994,EW
32,2015-10,70.76,79.24,70.315,78.575,70462368,EW
33,2015-11,78.815,83.435,75.875,81.5,27897908,EW
34,2015-12,82.16,83.0,78.0,78.98,35192039,EW
35,2016-01,78.1,80.99,72.2,78.21,40420114,EW
36,2016-02,77.89,89.93,75.29,87.0,47730571,EW
37,2016-03,87.28,89.58,83.9,88.21,32463274,EW
38,2016-04,88.02,112.0,86.73,106.21,43757061,EW
39,2016-05,106.72,107.8,97.2,98.5,40883793,EW
40,2016-06,98.54,103.87,93.83,99.73,34657724,EW
41,2016-07,99.83,117.46,98.02,114.52,32396909,EW
42,2016-08,114.54,118.92,111.69,115.16,25767168,EW
43,2016-09,115.5,121.725,113.53,120.56,21348670,EW
44,2016-10,119.98,121.75,91.32,95.22,55398864,EW
45,2016-11,95.5,95.73,82.84,82.85,52672269,EW
46,2016-12,82.8,94.58,81.12,93.7,50256564,EW
47,2017-01,93.8,99.7,93.06,96.24,35952344,EW
48,2017-02,96.51,100.48,86.55,94.04,54744157,EW
49,2017-03,94.55,96.485,89.2,94.07,50795297,EW
50,2017-04,93.98,113.04,92.44,109.67,37007678,EW
51,2017-05,109.91,116.59,108.8,115.07,27242912,EW
52,2017-06,115.54,120.7388,111.78,118.24,23738158,EW
53,2017-07,118.6,121.45,113.36200000000001,115.18,27168970,EW
54,2017-08,116.82,117.29,111.53,113.66,25843215,EW
55,2017-09,113.79,115.61,107.35,109.31,26315556,EW
56,2017-10,109.38,114.94,100.2,102.23,39766836,EW
57,2017-11,102.37,119.04,100.85,117.2,28981256,EW
58,2017-12,117.25,118.98,111.79,112.71,29512460,EW
59,2018-01,111.68,128.61,110.68,126.58,23940995,EW
60,2018-02,126.49,138.48,123.37,129.7,12021595,EW
