,date,open,high,low,close,volume,Name
0,2013-02,31.34,32.0,30.13,30.99,140537251,EXC
1,2013-03,30.96,34.56,30.64,34.48,113503236,EXC
2,2013-04,34.42,37.8,34.29,37.51,125597308,EXC
3,2013-05,37.28,37.44,31.34,31.34,183992758,EXC
4,2013-06,31.38,32.0051,29.84,30.88,146801881,EXC
5,2013-07,30.95,32.42,29.44,30.59,105471944,EXC
6,2013-08,30.58,31.45,29.67,30.49,156981356,EXC
7,2013-09,30.66,31.19,29.4201,29.64,99969746,EXC
8,2013-10,29.67,30.59,27.58,28.54,177152188,EXC
9,2013-11,28.65,29.14,26.87,26.91,181991683,EXC
10,2013-12,26.95,28.5,26.64,27.39,155803432,EXC
11,2014-01,27.46,29.31,26.45,29.0,149438215,EXC
12,2014-02,29.12,30.95,28.57,30.41,154660353,EXC
13,2014-03,30.24,33.94,29.14,33.56,136388411,EXC
14,2014-04,33.6,36.6,33.11,35.03,155329056,EXC
15,2014-05,35.45,36.85,33.5,36.83,175582485,EXC
16,2014-06,36.62,37.73,34.81,36.48,212130411,EXC
17,2014-07,36.08,36.26,30.8,31.08,177393878,EXC
18,2014-08,31.52,33.42,30.66,33.42,117478103,EXC
19,2014-09,33.43,34.91,32.58,34.09,120430983,EXC
20,2014-10,34.19,36.89,33.07,36.59,160483042,EXC
21,2014-11,36.55,37.9,34.69,36.24,122994597,EXC
22,2014-12,35.94,38.93,35.09,37.08,138320566,EXC
23,2015-01,37.34,38.25,36.01,36.04,114263544,EXC
24,2015-02,36.0,36.985,32.61,33.92,153629445,EXC
25,2015-03,33.86,34.02,31.71,33.61,167582671,EXC
26,2015-04,32.62,34.35,32.3,34.02,135786837,EXC
27,2015-05,34.06,34.98,32.95,33.83,114372007,EXC
28,2015-06,34.01,34.525,31.28,31.42,143695029,EXC
29,2015-07,31.51,33.785,30.63,32.09,197710719,EXC
30,2015-08,32.07,34.4399,30.305,30.76,199974537,EXC
31,2015-09,30.41,31.94,28.41,29.7,176841172,EXC
32,2015-10,29.67,31.365,27.71,27.92,179589729,EXC
33,2015-11,27.97,29.21,27.28,27.31,161028740,EXC
34,2015-12,27.48,28.0,25.09,27.77,166786733,EXC
35,2016-01,27.48,29.67,26.26,29.57,151862835,EXC
36,2016-02,29.4,33.12,29.26,31.49,193316223,EXC
37,2016-03,31.77,35.95,30.87,35.86,152524308,EXC
38,2016-04,35.74,35.95,33.18,35.09,114606946,EXC
39,2016-05,35.26,35.945,33.27,34.27,104910443,EXC
40,2016-06,34.28,36.37,33.61,36.36,119242058,EXC
41,2016-07,36.45,37.55,35.3735,37.28,89121711,EXC
42,2016-08,37.2,37.7,33.61,34.0,115602511,EXC
43,2016-09,33.91,35.27,32.86,33.29,99293004,EXC
44,2016-10,33.25,34.13,31.68,34.07,98790019,EXC
45,2016-11,34.02,34.06,29.82,32.51,142232201,EXC
46,2016-12,32.32,36.36,31.77,35.49,150178199,EXC
47,2017-01,35.67,36.21,34.8,35.88,103426797,EXC
48,2017-02,35.66,37.19,34.47,36.71,102837911,EXC
49,2017-03,36.32,36.63,35.3,35.98,102764552,EXC
50,2017-04,35.95,36.47,34.53,34.63,87893208,EXC
51,2017-05,34.65,36.45,33.3,36.31,136054367,EXC
52,2017-06,36.25,37.44,35.8,36.07,93146512,EXC
53,2017-07,36.2,38.5,35.37,38.34,91112709,EXC
54,2017-08,38.22,38.62,37.25,37.87,89464298,EXC
55,2017-09,37.95,40.74,36.63,37.67,111542714,EXC
56,2017-10,37.81,40.38,37.55,40.21,101410841,EXC
57,2017-11,40.32,42.67,39.47,41.71,97667035,EXC
58,2017-12,41.89,42.09,38.76,39.41,113150687,EXC
59,2018-01,39.54,39.88,37.74,38.51,142038277,EXC
60,2018-02,38.53,38.71,35.57,36.15,38557391,EXC
