,date,open,high,low,close,volume,Name
0,2013-02,43.19,43.53,36.08,38.85,38132042,EXPD
1,2013-03,38.51,39.78,35.33,35.73,45587038,EXPD
2,2013-04,35.79,37.25,34.83,35.93,43229053,EXPD
3,2013-05,36.02,40.71,35.03,39.03,42378431,EXPD
4,2013-06,39.02,39.37,36.445,38.04,26922817,EXPD
5,2013-07,38.58,41.6,37.79,40.32,24612030,EXPD
6,2013-08,40.57,42.95,39.68,40.56,28203376,EXPD
7,2013-09,40.91,45.48,40.495,44.06,33553662,EXPD
8,2013-10,43.9,46.9,41.79,45.29,26142550,EXPD
9,2013-11,45.51,46.31,42.07,43.44,24020967,EXPD
10,2013-12,43.91,44.48,42.28,44.25,19725457,EXPD
11,2014-01,44.31,45.69,40.54,40.86,23715644,EXPD
12,2014-02,40.84,42.77,38.7,39.51,33622978,EXPD
13,2014-03,39.29,40.36,38.42,39.63,40015741,EXPD
14,2014-04,39.67,41.315,38.5354,41.24,28678795,EXPD
15,2014-05,41.3,46.8,40.61,45.51,38408710,EXPD
16,2014-06,45.58,46.17,43.68,44.16,28427928,EXPD
17,2014-07,44.16,45.78,43.16,43.18,22407367,EXPD
18,2014-08,43.25,43.91,39.97,41.3,32839163,EXPD
19,2014-09,41.34,43.18,40.5,40.58,27006491,EXPD
20,2014-10,40.5,42.73,38.14,42.66,33522989,EXPD
21,2014-11,42.69,47.235,42.1,46.82,24435209,EXPD
22,2014-12,46.75,46.8,41.97,44.61,31111437,EXPD
23,2015-01,44.99,45.5,42.17,43.68,26730250,EXPD
24,2015-02,43.9,49.02,43.38,48.3,21896587,EXPD
25,2015-03,48.13,49.505,47.07,48.18,23937872,EXPD
26,2015-04,48.0,48.22,45.27,45.83,21244771,EXPD
27,2015-05,45.95,49.11,45.72,45.84,25550619,EXPD
28,2015-06,45.95,48.67,45.84,46.105,27974569,EXPD
29,2015-07,46.56,47.24,43.92,46.87,28886966,EXPD
30,2015-08,46.77,50.08,44.58,48.97,44608834,EXPD
31,2015-09,47.92,50.07,45.36,47.05,38248548,EXPD
32,2015-10,47.2,51.8,46.86,49.79,33453019,EXPD
33,2015-11,50.06,50.86,47.59,48.54,28049704,EXPD
34,2015-12,48.67,49.18,44.73,45.1,43854487,EXPD
35,2016-01,44.35,45.25,40.41,45.12,43107458,EXPD
36,2016-02,44.94,47.46,43.61,45.78,32392647,EXPD
37,2016-03,46.09,49.56,45.64,48.81,32215886,EXPD
38,2016-04,48.48,50.49,46.82,49.61,25109354,EXPD
39,2016-05,49.53,50.63,46.74,48.55,42621490,EXPD
40,2016-06,48.56,50.19,46.478,49.04,29115039,EXPD
41,2016-07,49.05,50.58,48.41,49.43,19799686,EXPD
42,2016-08,49.49,52.58,49.29,50.65,24246667,EXPD
43,2016-09,50.94,51.9,49.87,51.52,19782670,EXPD
44,2016-10,51.38,52.34,48.52,51.47,24636958,EXPD
45,2016-11,51.67,53.11,47.23,52.74,39896968,EXPD
46,2016-12,52.95,56.37,52.4846,52.96,29166257,EXPD
47,2017-01,53.47,54.04,51.78,52.08,25977842,EXPD
48,2017-02,51.97,57.26,51.57,56.38,22524204,EXPD
49,2017-03,56.79,57.35,55.13,56.49,20911862,EXPD
50,2017-04,56.19,57.745,55.12,56.09,22160704,EXPD
51,2017-05,56.16,56.3,51.96,53.38,29162885,EXPD
52,2017-06,53.39,57.42,53.21,56.48,26923980,EXPD
53,2017-07,56.76,59.895,56.06,58.88,20859182,EXPD
54,2017-08,58.445,59.79,54.32,56.1,25611377,EXPD
55,2017-09,56.32,60.3,56.23,59.86,20575401,EXPD
56,2017-10,59.83,60.81,57.92,58.38,17601355,EXPD
57,2017-11,58.67,65.41,56.445,64.78,26789955,EXPD
58,2017-12,64.77,66.01,63.38,64.69,20271983,EXPD
59,2018-01,66.25,67.54,60.89,64.95,20063182,EXPD
60,2018-02,64.48,65.07,60.17,62.13,7513168,EXPD
