,date,open,high,low,close,volume,Name
0,2013-02,40.06,40.74,36.5,37.44,15269103,EXR
1,2013-03,37.39,39.61,36.89,39.27,15957215,EXR
2,2013-04,39.24,43.58,38.87,43.58,15581629,EXR
3,2013-05,43.48,45.29,41.8,41.89,12902560,EXR
4,2013-06,41.99,43.89,40.22,41.93,20491054,EXR
5,2013-07,42.18,44.79,41.6,42.05,16326194,EXR
6,2013-08,42.33,44.0,40.6,41.23,12314890,EXR
7,2013-09,41.49,47.11,39.98,45.75,16726346,EXR
8,2013-10,45.88,49.29,45.4,45.99,17710240,EXR
9,2013-11,46.25,46.8,40.67,41.92,23533700,EXR
10,2013-12,42.07,42.78,40.32,42.13,17266973,EXR
11,2014-01,42.09,45.89,41.48,45.66,16283494,EXR
12,2014-02,45.69,49.23,44.31,49.1,17572273,EXR
13,2014-03,48.76,50.1,47.12,48.51,15147083,EXR
14,2014-04,48.77,52.99,47.57,52.33,17996405,EXR
15,2014-05,52.44,52.8,50.68,52.35,11670116,EXR
16,2014-06,52.41,54.44,52.05,53.25,17896191,EXR
17,2014-07,53.43,54.03,51.35,51.73,12526301,EXR
18,2014-08,51.74,54.86600000000001,51.49,52.7,13080970,EXR
19,2014-09,52.72,54.5,50.11,51.57,15106280,EXR
20,2014-10,51.51,58.585,51.1,58.16,16498503,EXR
21,2014-11,57.95,60.56,56.76,59.27,11884335,EXR
22,2014-12,59.27,60.5264,56.85,58.64,16061767,EXR
23,2015-01,58.72,68.007,58.51,66.0,17810064,EXR
24,2015-02,66.0,68.08,63.46,65.78,15995790,EXR
25,2015-03,65.78,69.8,63.52,67.57,16795923,EXR
26,2015-04,67.57,68.48,64.81,65.93,16671195,EXR
27,2015-05,65.95,72.46,65.2,70.03,24784130,EXR
28,2015-06,70.05,70.79,64.7801,65.22,21963444,EXR
29,2015-07,66.08,74.27,65.38,73.52,16261473,EXR
30,2015-08,73.5,79.15,69.9601,73.48,23406435,EXR
31,2015-09,72.55,77.7,70.98,77.16,23074289,EXR
32,2015-10,77.43,82.54,75.59,79.24,21038322,EXR
33,2015-11,79.48,84.83,75.77,83.75,16668023,EXR
34,2015-12,83.93,90.58,83.75,88.21,21084944,EXR
35,2016-01,87.73,91.99,83.56,90.69,47168427,EXR
36,2016-02,90.4,91.74,76.09,82.15,27728574,EXR
37,2016-03,82.87,93.48,82.38,93.46,24754564,EXR
38,2016-04,93.25,94.22,84.1,84.95,18297725,EXR
39,2016-05,84.98,94.04,84.96,92.97,19238715,EXR
40,2016-06,92.49,94.81,84.59,92.54,23547085,EXR
41,2016-07,92.63,94.49,84.19,86.02,22478241,EXR
42,2016-08,86.0,87.15,79.13,80.55,25839688,EXR
43,2016-09,80.55,82.82,75.82,79.41,23330563,EXR
44,2016-10,79.24,79.24,70.3,73.15,19025249,EXR
45,2016-11,73.06,76.53,68.09,70.16,19476068,EXR
46,2016-12,69.85,77.3,68.61,77.24,22562578,EXR
47,2017-01,77.25,79.38,71.83,72.05,19171389,EXR
48,2017-02,71.72,80.25,71.47,79.19,15682943,EXR
49,2017-03,78.94,80.36,72.86,74.39,20612176,EXR
50,2017-04,75.01,81.21,74.51,75.53,19802865,EXR
51,2017-05,75.72,79.9,71.34,77.47,28379300,EXR
52,2017-06,77.36,79.38,74.24,78.0,18990314,EXR
53,2017-07,78.63,81.06,73.7,79.5,25544826,EXR
54,2017-08,77.16,82.53,74.44,77.63,22887855,EXR
55,2017-09,77.72,83.23,76.68,79.92,17645802,EXR
56,2017-10,80.22,83.0,76.55,81.59,21100732,EXR
57,2017-11,81.59,88.05,80.51,85.36,23727361,EXR
58,2017-12,85.58,88.56,84.39,87.45,17281492,EXR
59,2018-01,87.75,87.83,80.4801,83.48,24629292,EXR
60,2018-02,83.54,83.54,77.6,80.42,5958391,EXR
