,date,open,high,low,close,volume,Name
0,2013-02,50.05,53.38,49.88,51.63,20236366,FAST
1,2013-03,51.57,52.35,49.73,51.33,24469747,FAST
2,2013-04,51.54,51.54,47.01,49.05,39125085,FAST
3,2013-05,48.94,53.12,47.715,52.18,34835544,FAST
4,2013-06,52.46,52.48,44.39,45.79,38537807,FAST
5,2013-07,46.0,49.34,44.9,49.03,39390200,FAST
6,2013-08,49.45,50.255,43.75,43.99,30409506,FAST
7,2013-09,44.61,51.48,44.36,50.27,32081188,FAST
8,2013-10,50.12,51.6,45.85,49.83,46110072,FAST
9,2013-11,49.82,51.96,45.86,46.53,39710156,FAST
10,2013-12,46.71,48.23,44.01,47.51,42090664,FAST
11,2014-01,47.51,48.44,43.5052,43.93,62922397,FAST
12,2014-02,43.76,47.67,42.48,47.19,44928609,FAST
13,2014-03,47.05,50.81,45.795,49.3,43753878,FAST
14,2014-04,49.64,52.21,48.63,50.08,51627080,FAST
15,2014-05,49.94,50.3,47.36,48.75,28848008,FAST
16,2014-06,48.84,50.98,48.763999999999996,49.49,24429141,FAST
17,2014-07,49.57,50.22,44.15,44.355,59570508,FAST
18,2014-08,44.34,45.97,43.41,45.28,33590451,FAST
19,2014-09,45.39,47.419,44.72,44.9,28696380,FAST
20,2014-10,45.0,46.32,40.18,44.04,52785229,FAST
21,2014-11,43.99,45.61,43.82,45.2,30743282,FAST
22,2014-12,45.05,48.43,44.17,47.56,34514120,FAST
23,2015-01,47.85,48.34,43.72,44.4,44138264,FAST
24,2015-02,44.43,45.81,40.98,41.55,64182695,FAST
25,2015-03,41.5,43.5,39.46,41.435,91948952,FAST
26,2015-04,41.29,43.4,39.79,42.62,74210104,FAST
27,2015-05,42.71,43.42,41.25,41.51,36902774,FAST
28,2015-06,42.23,43.5,41.3,42.18,32395620,FAST
29,2015-07,42.38,42.88,39.73,41.86,56582816,FAST
30,2015-08,41.76,41.96,36.73,38.54,55420305,FAST
31,2015-09,37.84,39.24,35.87,36.61,51557141,FAST
32,2015-10,36.78,39.39,34.45,39.16,71208632,FAST
33,2015-11,39.18,41.64,38.46,40.58,47772738,FAST
34,2015-12,40.82,41.96,38.44,40.82,53864200,FAST
35,2016-01,40.24,40.56,35.1001,40.56,86661433,FAST
36,2016-02,42.2,45.7,38.48,45.29,75151072,FAST
37,2016-03,45.74,49.99,44.71,49.0,59690698,FAST
38,2016-04,48.3,48.96,45.0,46.79,65950950,FAST
39,2016-05,46.93,47.04,44.1,46.03,49422248,FAST
40,2016-06,46.0,46.6,42.18,44.39,53814754,FAST
41,2016-07,44.33,45.825,41.47,42.75,71566473,FAST
42,2016-08,42.78,44.57,41.65,43.11,38272784,FAST
43,2016-09,43.25,43.6,39.85,41.78,49969007,FAST
44,2016-10,41.58,42.79,37.7,38.98,58160581,FAST
45,2016-11,39.08,47.89,38.09,47.4,61096842,FAST
46,2016-12,47.51,49.305,46.66,46.98,51958278,FAST
47,2017-01,47.4,51.56,46.1,49.68,62334208,FAST
48,2017-02,49.85,51.24,48.69,50.03,32441140,FAST
49,2017-03,50.56,52.64,49.51,51.5,45310766,FAST
50,2017-04,51.18,52.74,44.23,44.68,73035096,FAST
51,2017-05,44.87,46.6,41.91,43.17,64251654,FAST
52,2017-06,43.27,45.83,41.87,43.53,69600023,FAST
53,2017-07,43.21,46.6,41.06,42.96,90981541,FAST
54,2017-08,43.09,43.9541,39.79,42.67,58149194,FAST
55,2017-09,42.89,46.1525,40.7599,45.58,47113670,FAST
56,2017-10,45.68,48.97,42.51,46.97,65194021,FAST
57,2017-11,47.23,52.89,46.4,52.39,37648634,FAST
58,2017-12,52.17,55.45,50.92,54.69,43138227,FAST
59,2018-01,55.13,57.815,51.5,54.96,68267839,FAST
60,2018-02,54.58,55.44,51.33,53.24,18809110,FAST
