,date,open,high,low,close,volume,Name
0,2013-02,28.89,29.17,26.34,27.25,657490925,FB
1,2013-03,27.05,28.675,24.72,25.58,725993821,FB
2,2013-04,25.63,28.1,25.15,27.769000000000002,737323352,FB
3,2013-05,27.85,29.07,23.26,24.348000000000003,979911931,FB
4,2013-06,24.265,25.19,22.67,24.88,787617035,FB
5,2013-07,24.9694,38.31,24.15,36.8,1433102095,FB
6,2013-08,37.3,42.26,36.0201,41.294,1342473748,FB
7,2013-09,41.84,51.6,41.44,50.23,1580557395,FB
8,2013-10,49.97,54.825,45.26,50.205,2031398295,FB
9,2013-11,50.85,52.09,43.55,47.01,1357313488,FB
10,2013-12,46.9,58.58,46.26,54.648999999999994,1517681331,FB
11,2014-01,54.83,63.37,51.85,62.57,1302177083,FB
12,2014-02,63.03,71.44,60.7,68.46,1116180547,FB
13,2014-03,66.96,72.59,57.98,60.24,1256388260,FB
14,2014-04,60.46,63.91,54.66,59.78,1884739206,FB
15,2014-05,60.43,64.3,56.26,63.3,1120185748,FB
16,2014-06,63.23,68.0,61.79,67.29,863488509,FB
17,2014-07,67.58,76.74,62.21,72.65,1028497203,FB
18,2014-08,72.22,75.99,71.55,74.82,590739622,FB
19,2014-09,75.01,79.7067,73.07,79.04,721093148,FB
20,2014-10,78.78,81.16,70.32,74.99,1083643275,FB
21,2014-11,75.47,78.27,72.51,77.7,491018048,FB
22,2014-12,77.26,82.17,74.4,78.02,534690249,FB
23,2015-01,78.58,79.2455,73.54,75.91,546210559,FB
24,2015-02,76.11,81.37,73.45,78.97,475148609,FB
25,2015-03,79.0,86.0699,77.26,82.215,575349997,FB
26,2015-04,82.5,85.59,78.32,78.77,542124478,FB
27,2015-05,79.24,81.845,76.79,79.19,421870709,FB
28,2015-06,79.3,89.4,78.66,85.765,537956820,FB
29,2015-07,86.77,99.24,85.23100000000001,94.01,790781334,FB
30,2015-08,93.53,98.74,72.0,89.43,709954512,FB
31,2015-09,86.99,96.49,85.72,89.9,635399810,FB
32,2015-10,90.05,105.12,88.36,101.97,571991600,FB
33,2015-11,102.46,110.65,100.47,104.24,547232906,FB
34,2015-12,104.83,107.92,101.46,104.66,440479804,FB
35,2016-01,101.95,112.84,89.37,112.21,792709100,FB
36,2016-02,112.27,117.59,96.82,106.92,874152635,FB
37,2016-03,107.83,116.99,104.4,114.1,521556260,FB
38,2016-04,113.75,120.79,106.31,117.58,741613866,FB
39,2016-05,117.83,121.08,114.8,118.81,460559986,FB
40,2016-06,118.5,119.44,108.23,114.28,451155442,FB
41,2016-07,114.2,128.33,112.97,123.94,470108473,FB
42,2016-08,123.85,126.73,122.07,126.12,365670913,FB
43,2016-09,126.38,131.98,125.6,128.27,376582063,FB
44,2016-10,128.38,133.5,126.75,130.99,313284563,FB
45,2016-11,131.41,131.94,113.5535,118.42,654602125,FB
46,2016-12,118.38,122.5,114.0,115.05,408728358,FB
47,2017-01,116.03,133.14,115.51,130.32,379004804,FB
48,2017-02,132.25,137.1846,130.3,135.54,384700625,FB
49,2017-03,136.47,142.95,136.08,142.05,342098632,FB
50,2017-04,141.93,151.53,138.81,150.25,275579269,FB
51,2017-05,151.74,153.6,144.4216,151.46,403664937,FB
52,2017-06,151.75,156.5,144.56,150.98,414756797,FB
53,2017-07,151.72,175.49,147.8,169.25,419907787,FB
54,2017-08,169.82,173.05,165.0,171.97,303622863,FB
55,2017-09,172.4,174.0,161.56,170.87,304828762,FB
56,2017-10,171.39,180.8,168.29,180.06,318146400,FB
57,2017-11,182.36,184.25,174.0,177.18,350946011,FB
58,2017-12,176.03,182.28,169.01,176.46,317095666,FB
59,2018-01,177.68,190.66,175.8,186.89,495655736,FB
60,2018-02,188.22,195.32,177.74,180.18,179377374,FB
