,date,open,high,low,close,volume,Name
0,2013-02,35.75,35.93,31.35,31.92,204184209,FCX
1,2013-03,31.67,34.12,30.72,33.1,268090922,FCX
2,2013-04,32.99,34.0,27.24,30.43,472664035,FCX
3,2013-05,30.24,33.25,29.77,31.05,414234893,FCX
4,2013-06,31.04,31.49,26.3735,27.61,407052893,FCX
5,2013-07,28.62,30.14,26.95,28.28,286897006,FCX
6,2013-08,28.94,32.2,28.75,30.22,298160031,FCX
7,2013-09,31.07,34.99,30.63,33.08,254803680,FCX
8,2013-10,32.48,38.0,32.34,36.76,289160665,FCX
9,2013-11,36.87,37.51,34.4,34.69,192184033,FCX
10,2013-12,34.68,38.0,33.81,37.74,182252378,FCX
11,2014-01,37.69,38.09,31.93,32.41,271672150,FCX
12,2014-02,32.42,34.1,30.51,32.62,207173518,FCX
13,2014-03,32.71,34.21,30.38,33.07,263298147,FCX
14,2014-04,33.01,34.48,32.353,34.37,186700856,FCX
15,2014-05,34.22,35.88,33.43,34.05,170558513,FCX
16,2014-06,34.32,36.51,33.39,36.5,160395617,FCX
17,2014-07,36.88,39.32,36.83,37.22,230687814,FCX
18,2014-08,37.12,37.53,35.63,36.37,144240522,FCX
19,2014-09,36.04,36.22,32.29,32.65,176465012,FCX
20,2014-10,32.8,32.91,27.72,28.5,330254005,FCX
21,2014-11,28.7,29.92,26.638,26.85,236041988,FCX
22,2014-12,26.71,26.89,20.94,23.36,374258589,FCX
23,2015-01,23.35,23.72,16.43,16.81,456617247,FCX
24,2015-02,16.98,21.9,16.81,21.63,370228752,FCX
25,2015-03,21.45,21.63,17.02,18.95,445081544,FCX
26,2015-04,19.1,23.66,18.11,23.27,421356076,FCX
27,2015-05,23.38,23.97,19.65,19.65,307319592,FCX
28,2015-06,19.75,21.17,18.51,18.62,324089372,FCX
29,2015-07,18.58,18.835,11.16,11.75,629486913,FCX
30,2015-08,11.64,11.87,7.76,10.64,904775948,FCX
31,2015-09,10.11,12.59,8.62,9.69,952140814,FCX
32,2015-10,9.91,14.2,9.51,11.77,752896158,FCX
33,2015-11,11.79,12.75,7.938,8.18,666121445,FCX
34,2015-12,8.25,8.41,6.08,6.77,1067010549,FCX
35,2016-01,6.6,6.76,3.52,4.6,1379036378,FCX
36,2016-02,4.5,7.97,4.26,7.63,1142944095,FCX
37,2016-03,7.84,11.445,7.26,10.34,1159877912,FCX
38,2016-04,9.92,14.06,8.76,14.0,1036278112,FCX
39,2016-05,14.03,14.04,10.22,11.08,941685907,FCX
40,2016-06,10.8,11.93,9.82,11.14,837754213,FCX
41,2016-07,11.04,13.59,10.27,12.96,715362607,FCX
42,2016-08,13.01,13.04,10.18,10.29,583415213,FCX
43,2016-09,10.32,11.14,9.43,10.86,651381747,FCX
44,2016-10,10.98,11.2,9.24,11.18,587835625,FCX
45,2016-11,11.31,16.42,10.5,15.35,878492902,FCX
46,2016-12,15.5,16.08,13.13,13.19,564509222,FCX
47,2017-01,13.49,17.06,13.405,16.65,625037544,FCX
48,2017-02,16.63,16.89,13.16,13.4,610530669,FCX
49,2017-03,13.78,14.0,11.91,13.36,521222780,FCX
50,2017-04,13.5,13.83,12.03,12.75,407469654,FCX
51,2017-05,12.78,12.89,11.06,11.49,421125196,FCX
52,2017-06,11.47,12.61,11.05,12.01,397534059,FCX
53,2017-07,12.08,15.27,11.71,14.62,420379821,FCX
54,2017-08,14.6,15.75,13.815,14.78,445535945,FCX
55,2017-09,14.93,15.38,13.65,14.04,354255682,FCX
56,2017-10,13.98,15.59,13.84,13.98,380806907,FCX
57,2017-11,14.4,14.98,13.22,13.92,289052824,FCX
58,2017-12,13.94,19.4458,13.81,18.96,398760401,FCX
59,2018-01,19.05,20.25,18.85,19.5,443937906,FCX
60,2018-02,19.45,19.69,17.07,17.86,135684460,FCX
