,date,open,high,low,close,volume,Name
0,2013-02,40.05,41.225,39.64,41.12,21672522,FISV
1,2013-03,41.04,43.955,40.59,43.93,21112718,FISV
2,2013-04,43.98,45.58,42.19,45.555,20563758,FISV
3,2013-05,43.415,45.365,43.125,43.58,31445632,FISV
4,2013-06,43.835,44.67,42.3,43.705,24511892,FISV
5,2013-07,43.85,49.94,43.14,48.12,25995712,FISV
6,2013-08,48.29,51.115,47.405,48.135,23335206,FISV
7,2013-09,48.93,51.605,46.345,50.525,20591502,FISV
8,2013-10,50.685,54.0,48.95,52.365,21094008,FISV
9,2013-11,52.415,58.185,51.82,54.945,17785334,FISV
10,2013-12,55.235,59.28,54.095,59.05,20411024,FISV
11,2014-01,59.05,59.22,53.68,56.05,26321435,FISV
12,2014-02,56.39,58.34,54.04,58.05,29570270,FISV
13,2014-03,57.69,59.285,55.37,56.69,22115696,FISV
14,2014-04,57.05,60.81,54.91,60.78,31596611,FISV
15,2014-05,60.79,62.27,58.76,60.11,24843305,FISV
16,2014-06,60.09,61.5,59.19,60.32,17446881,FISV
17,2014-07,60.62,63.1,59.68,61.67,19301373,FISV
18,2014-08,61.56,64.81,60.54,64.47,20547414,FISV
19,2014-09,64.57,66.11,63.46,64.635,17123898,FISV
20,2014-10,64.58,70.07,60.55,69.48,29426691,FISV
21,2014-11,69.62,71.92,69.13,71.49,21627608,FISV
22,2014-12,71.22,73.27,68.05,70.97,28824746,FISV
23,2015-01,71.49,74.61,69.13,72.53,23046905,FISV
24,2015-02,73.11,79.55,71.78,78.07,24125345,FISV
25,2015-03,78.32,80.97,76.34,79.4,22406870,FISV
26,2015-04,79.37,80.44,76.92,77.6,17617287,FISV
27,2015-05,78.07,81.66,77.07,80.15,20287484,FISV
28,2015-06,80.6,86.39,79.02,82.83,27988046,FISV
29,2015-07,83.46,88.77,83.16,86.86,25121947,FISV
30,2015-08,86.85,90.5399,77.96,85.27,25995516,FISV
31,2015-09,83.43,89.225,82.4,86.61,27298760,FISV
32,2015-10,86.91,97.42,85.41,96.51,25731584,FISV
33,2015-11,96.85,97.52,94.22,96.24,22894464,FISV
34,2015-12,96.54,97.76,91.17,91.46,28204394,FISV
35,2016-01,90.09,94.64,85.63,94.56,25517208,FISV
36,2016-02,93.55,99.71,90.49,95.63,31173778,FISV
37,2016-03,96.72,102.88,95.66,102.58,24792570,FISV
38,2016-04,102.36,103.53,96.34,97.72,20446948,FISV
39,2016-05,97.6,106.13,97.51,105.33,21772607,FISV
40,2016-06,105.26,108.85,101.6,108.73,22239579,FISV
41,2016-07,108.51,111.51,107.97,110.36,16739015,FISV
42,2016-08,110.15,111.0,101.0,103.05,23484084,FISV
43,2016-09,103.09,104.67,97.7301,99.47,21730948,FISV
44,2016-10,99.1,101.0,92.81,98.48,25807677,FISV
45,2016-11,98.74,107.9,97.06,104.62,28642792,FISV
46,2016-12,104.55,109.11,102.6,106.28,18852003,FISV
47,2017-01,106.82,111.5,106.49,107.43,17324484,FISV
48,2017-02,107.13,116.7,104.5111,115.4,23201269,FISV
49,2017-03,116.18,118.3,113.29,115.31,20071474,FISV
50,2017-04,115.5,122.91,114.95,119.14,14934926,FISV
51,2017-05,119.5,125.33,117.33,125.28,17281434,FISV
52,2017-06,125.39,127.0972,120.3722,122.34,19687667,FISV
53,2017-07,122.76,128.57,120.73,128.5,13515256,FISV
54,2017-08,128.57,129.35,119.7,123.71,17948783,FISV
55,2017-09,124.19,129.61,121.17,128.96,15985022,FISV
56,2017-10,129.22,130.2,126.31,129.43,17341811,FISV
57,2017-11,124.0,131.85,120.38,131.45,22876648,FISV
58,2017-12,130.5,133.36,128.19,131.13,15189615,FISV
59,2018-01,131.96,144.2,129.82,140.84,19233613,FISV
60,2018-02,140.68,141.87,125.52,129.17,9661743,FISV
