,date,open,high,low,close,volume,Name
0,2013-02,37.21,37.87,35.21,37.65,31337518,FIS
1,2013-03,37.46,39.66,36.87,39.62,50790482,FIS
2,2013-04,39.71,42.3,38.85,42.05,51882580,FIS
3,2013-05,41.93,45.95,41.84,44.9,37406138,FIS
4,2013-06,44.89,45.23,42.09,42.84,34641047,FIS
5,2013-07,43.14,45.43,42.61,43.16,26286338,FIS
6,2013-08,43.35,47.73,43.26,44.46,31669386,FIS
7,2013-09,44.91,47.33,44.18,46.44,20271963,FIS
8,2013-10,46.47,49.63,44.46,48.75,27516966,FIS
9,2013-11,48.95,51.49,47.4,50.68,22747799,FIS
10,2013-12,50.8,53.73,49.74,53.68,21955502,FIS
11,2014-01,53.4,53.611000000000004,50.2,50.7,32977750,FIS
12,2014-02,50.73,56.2,48.17,55.61,29234089,FIS
13,2014-03,55.0,56.68,52.0,53.45,26684888,FIS
14,2014-04,53.57,54.59,50.99,53.43,29112461,FIS
15,2014-05,53.51,54.97,52.13,54.15,27036793,FIS
16,2014-06,54.11,55.428999999999995,53.42,54.74,21793797,FIS
17,2014-07,54.89,57.07,54.66,56.4,25470041,FIS
18,2014-08,56.22,57.65,54.7851,56.75,24206142,FIS
19,2014-09,56.91,58.86,55.73,56.3,26043194,FIS
20,2014-10,56.11,59.24,51.38,58.39,31030593,FIS
21,2014-11,58.62,61.66,57.19,61.19,19719121,FIS
22,2014-12,60.83,64.3,59.71,62.2,21092819,FIS
23,2015-01,62.33,64.42,60.36,62.43,17145409,FIS
24,2015-02,62.86,68.98,61.65,67.59,22010729,FIS
25,2015-03,67.48,68.89,64.5,68.06,20933722,FIS
26,2015-04,67.94,68.55,60.79,62.49,40263601,FIS
27,2015-05,62.7,65.7,62.18,62.7,24491287,FIS
28,2015-06,62.75,64.93,61.54,61.8,26171928,FIS
29,2015-07,62.15,66.65,61.57,65.43,31558297,FIS
30,2015-08,65.5,72.295,64.31,69.06,38323497,FIS
31,2015-09,67.73,70.48,65.75,67.08,28955932,FIS
32,2015-10,67.75,73.01,66.16,72.92,25879016,FIS
33,2015-11,72.28,73.6,63.58,63.67,49770343,FIS
34,2015-12,63.97,65.96,58.49,60.6,51222452,FIS
35,2016-01,59.52,61.09,56.8,59.73,40319526,FIS
36,2016-02,59.38,61.035,55.105,58.25,44279038,FIS
37,2016-03,58.81,63.74,58.7,63.31,51924789,FIS
38,2016-04,63.64,66.79,63.3,65.8,36073880,FIS
39,2016-05,66.0,74.59,65.72,74.27,69449751,FIS
40,2016-06,74.19,75.8,68.03,73.68,46500409,FIS
41,2016-07,73.8,81.41,73.78,79.53,41031218,FIS
42,2016-08,79.73,80.72,77.73,79.33,27843706,FIS
43,2016-09,79.41,81.67,74.87,77.03,48041207,FIS
44,2016-10,76.8,78.69,73.25,73.92,30695651,FIS
45,2016-11,73.91,79.23,73.89,77.19,36459208,FIS
46,2016-12,77.17,77.78,73.97,75.64,42776493,FIS
47,2017-01,76.28,80.345,75.88,79.42,32278063,FIS
48,2017-02,79.68,83.86,75.52,82.27,38043179,FIS
49,2017-03,82.68,83.37,79.0,79.62,33500597,FIS
50,2017-04,79.87,84.58,78.885,84.19,29079804,FIS
51,2017-05,84.26,85.96,81.72,85.87,37213137,FIS
52,2017-06,85.87,87.32,83.36,85.4,32932014,FIS
53,2017-07,85.71,91.56,85.23,91.22,29272337,FIS
54,2017-08,90.62,93.055,88.97,92.92,33696076,FIS
55,2017-09,93.15,95.54,91.7,93.39,22892055,FIS
56,2017-10,93.46,96.67,90.8,92.76,24128539,FIS
57,2017-11,94.12,94.89,89.31,94.33,38951823,FIS
58,2017-12,94.13,96.44,92.85,94.09,29447814,FIS
59,2018-01,94.31,103.65,93.25,102.36,29576577,FIS
60,2018-02,102.3,102.88,92.4466,96.77,14825445,FIS
