,date,open,high,low,close,volume,Name
0,2013-02,64.7,66.28,59.61,61.9,24678853,FLR
1,2013-03,61.29,66.46,58.56,66.33,29665565,FLR
2,2013-04,66.3,66.8295,53.5,56.98,57917727,FLR
3,2013-05,56.5,66.9,55.63,63.21,41533836,FLR
4,2013-06,63.26,63.61,57.84,59.31,31731735,FLR
5,2013-07,59.84,63.4,57.5,62.56,30984489,FLR
6,2013-08,63.19,67.065,61.68,63.43,34075827,FLR
7,2013-09,64.08,74.72,63.21,70.96,27095033,FLR
8,2013-10,70.77,78.23,68.9301,74.22,30169073,FLR
9,2013-11,73.89,79.95,73.15,77.81,29204275,FLR
10,2013-12,77.9,80.45,74.59,80.29,23338862,FLR
11,2014-01,79.82,83.93,74.93,75.96,30877907,FLR
12,2014-02,75.87,83.1,73.32,77.69,32584147,FLR
13,2014-03,76.7,80.77,73.89,77.73,29679126,FLR
14,2014-04,77.73,79.9,74.03,75.7,23202057,FLR
15,2014-05,75.57,77.81,72.7,75.08,26534305,FLR
16,2014-06,75.09,79.93,74.58,76.9,23025570,FLR
17,2014-07,77.25,79.2,72.77,72.87,22078288,FLR
18,2014-08,73.92,75.55,70.8197,73.89,21095062,FLR
19,2014-09,73.74,74.8,66.52,66.79,32740059,FLR
20,2014-10,67.04,67.38,59.32,66.34,42320979,FLR
21,2014-11,66.52,69.69,61.79,61.99,36894019,FLR
22,2014-12,61.1,63.69,55.6,60.63,56597212,FLR
23,2015-01,60.78,61.06,51.8,53.59,43966615,FLR
24,2015-02,53.97,60.19,53.84,58.0,39973937,FLR
25,2015-03,57.96,58.77,56.1101,57.16,26649525,FLR
26,2015-04,56.43,62.26,56.22,60.14,27187283,FLR
27,2015-05,58.24,60.62,55.89,56.22,26068626,FLR
28,2015-06,56.35,57.97,52.72,53.01,24381163,FLR
29,2015-07,53.36,53.48,45.14,46.75,36784355,FLR
30,2015-08,46.51,48.945,41.88,45.62,37051493,FLR
31,2015-09,44.5,45.8,40.7,42.35,31887635,FLR
32,2015-10,42.61,48.48,40.61,47.81,35418227,FLR
33,2015-11,47.6,50.91,46.47,48.6,31320278,FLR
34,2015-12,48.66,49.41,44.03,47.22,35462369,FLR
35,2016-01,46.53,48.11,39.48,44.89,38472131,FLR
36,2016-02,44.52,47.6,41.06,46.04,35791675,FLR
37,2016-03,46.56,55.48,46.32,53.7,36740769,FLR
38,2016-04,53.0,55.69,50.79,54.66,27196390,FLR
39,2016-05,54.68,55.29,48.96,52.78,31489005,FLR
40,2016-06,49.16,54.11,45.8,49.28,27260055,FLR
41,2016-07,49.33,54.45,47.91,53.52,18954656,FLR
42,2016-08,53.52,53.75,50.089,51.9,24193252,FLR
43,2016-09,51.9,52.43,48.49,51.32,21012108,FLR
44,2016-10,51.15,52.63,48.57,51.99,24662221,FLR
45,2016-11,52.21,54.92,44.05,53.51,56152383,FLR
46,2016-12,54.17,57.775,52.35,52.52,30713182,FLR
47,2017-01,53.09,57.27,52.02,55.5,23717290,FLR
48,2017-02,55.83,58.37,54.19,55.39,23065576,FLR
49,2017-03,56.21,57.25,49.85,52.62,28597979,FLR
50,2017-04,52.73,53.03,49.93,51.32,21287311,FLR
51,2017-05,51.52,51.83,44.02,44.86,34598698,FLR
52,2017-06,45.26,47.46,43.65,45.78,26704635,FLR
53,2017-07,46.11,46.78,41.78,43.43,29260732,FLR
54,2017-08,43.79,44.16,37.0351,38.57,50586467,FLR
55,2017-09,38.7,51.44,38.04,42.1,26388700,FLR
56,2017-10,42.01,43.54,42.0,43.09,29326707,FLR
57,2017-11,43.43,48.77,43.14,48.41,34915432,FLR
58,2017-12,48.46,52.03,47.52,51.65,21689990,FLR
59,2018-01,51.8,62.09,51.78,60.7,31711685,FLR
60,2018-02,60.43,61.03,55.3,57.04,9618599,FLR
