,date,open,high,low,close,volume,Name
0,2013-02,59.71,60.665,57.0,60.26,16073202,FMC
1,2013-03,59.97,61.6699,56.26,57.03,18784953,FMC
2,2013-04,57.23,61.01,55.18,60.7,20012016,FMC
3,2013-05,56.56,64.95,55.71,62.71,20364823,FMC
4,2013-06,62.83,64.9599,60.66,61.06,16082399,FMC
5,2013-07,61.56,66.7181,60.57,66.16,19235700,FMC
6,2013-08,66.58,67.46,64.44,66.61,17231565,FMC
7,2013-09,67.45,72.35,66.4,71.72,11438985,FMC
8,2013-10,71.63,74.57,70.01,72.76,14906471,FMC
9,2013-11,72.79,75.33,71.792,72.86,11616817,FMC
10,2013-12,72.89,75.675,71.715,75.46,18431489,FMC
11,2014-01,75.27,76.63,70.56,70.63,14818408,FMC
12,2014-02,70.58,78.33,67.31,77.18,21705234,FMC
13,2014-03,76.36,83.94,75.805,76.56,29186344,FMC
14,2014-04,77.19,79.14,74.23,77.0,15215014,FMC
15,2014-05,76.74,77.17,70.92,76.56,22592758,FMC
16,2014-06,76.63,78.5,69.5,71.19,25774796,FMC
17,2014-07,71.22,71.53,65.0,65.22,22304736,FMC
18,2014-08,65.5,66.87,64.05,66.14,24452761,FMC
19,2014-09,66.27,66.65,56.98,57.19,32899364,FMC
20,2014-10,56.69,59.67,51.04,57.35,43093618,FMC
21,2014-11,57.48,57.71,54.29,54.4,20706055,FMC
22,2014-12,54.29,58.0,53.52,57.03,28932295,FMC
23,2015-01,57.08,60.09,55.41,57.5,20158083,FMC
24,2015-02,57.92,64.62,55.75,63.41,22084989,FMC
25,2015-03,63.5,64.72,56.9,57.25,20755308,FMC
26,2015-04,57.31,60.175,56.41,59.31,22803092,FMC
27,2015-05,59.59,61.11,56.79,57.17,21195435,FMC
28,2015-06,57.3,57.6,51.18,52.55,19700497,FMC
29,2015-07,52.74,52.74,47.07,48.54,17697907,FMC
30,2015-08,48.55,50.28,39.45,42.31,27175471,FMC
31,2015-09,41.26,42.98,32.58,33.91,41655813,FMC
32,2015-10,34.0,41.485,33.29,40.71,49475209,FMC
33,2015-11,40.79,43.3697,39.06,42.97,24399829,FMC
34,2015-12,43.17,43.17,36.43,39.13,27532455,FMC
35,2016-01,37.81,38.55,33.45,35.72,26966784,FMC
36,2016-02,35.25,39.24,32.24,37.64,27126592,FMC
37,2016-03,38.11,42.03,37.56,40.37,25282515,FMC
38,2016-04,39.91,44.34,36.72,43.26,28451060,FMC
39,2016-05,43.25,48.81,42.74,47.49,40237545,FMC
40,2016-06,47.29,50.57,41.8,46.31,33482797,FMC
41,2016-07,46.21,49.19,43.26,47.54,21908995,FMC
42,2016-08,47.49,48.88,45.64,46.94,20384103,FMC
43,2016-09,47.0,49.13,44.4,48.34,22587803,FMC
44,2016-10,48.21,48.69,45.77,46.89,14091179,FMC
45,2016-11,47.24,56.225,45.91,56.12,28544911,FMC
46,2016-12,56.6,60.0,55.79,56.56,15215436,FMC
47,2017-01,57.23,62.84,56.42,60.16,18916183,FMC
48,2017-02,60.38,60.9151,56.53,57.62,28303778,FMC
49,2017-03,58.39,72.04,58.27,69.59,39777724,FMC
50,2017-04,71.0,75.93,69.81,73.23,39257667,FMC
51,2017-05,73.35,76.02,69.93,75.37,31045563,FMC
52,2017-06,75.45,77.38,71.43,73.05,24145761,FMC
53,2017-07,73.62,78.3,72.65,76.38,15401870,FMC
54,2017-08,76.66,88.19,75.76,86.22,27246630,FMC
55,2017-09,86.68,93.44,85.41,89.31,25687826,FMC
56,2017-10,89.31,95.08,88.03,92.86,20279100,FMC
57,2017-11,93.84,95.25,87.62,94.4,24330200,FMC
58,2017-12,94.5,96.02,87.56,94.66,20365194,FMC
59,2018-01,95.38,98.7,87.1,91.33,29016061,FMC
60,2018-02,90.97,91.63,80.68,83.97,7338556,FMC
