,date,open,high,low,close,volume,Name
0,2013-06,28.15,29.9,26.99,28.99,56763883,FOXA
1,2013-07,28.77,31.48,28.77,29.88,255959350,FOXA
2,2013-08,30.1,33.84,30.07,31.33,267026966,FOXA
3,2013-09,32.32,33.58,31.43,33.51,176415106,FOXA
4,2013-10,33.62,35.33,32.01,34.080999999999996,241029168,FOXA
5,2013-11,34.5,35.439,31.71,33.49,196592828,FOXA
6,2013-12,33.52,35.23,32.25,35.17,200421762,FOXA
7,2014-01,35.47,35.75,30.67,31.82,320922355,FOXA
8,2014-02,31.8,33.62,30.69,33.54,239593465,FOXA
9,2014-03,33.36,34.7,31.33,31.97,251029080,FOXA
10,2014-04,32.17,34.15,31.19,32.02,313892322,FOXA
11,2014-05,32.08,35.64,31.8275,35.41,246943481,FOXA
12,2014-06,35.38,36.43,33.99,35.15,248536213,FOXA
13,2014-07,34.26,36.21,31.67,31.67,427445468,FOXA
14,2014-08,31.71,36.24,31.27,35.42,336396378,FOXA
15,2014-09,35.39,36.56,33.62,34.29,246282524,FOXA
16,2014-10,34.25,36.02,31.01,34.48,346199806,FOXA
17,2014-11,34.41,36.87,32.49,36.8,218845403,FOXA
18,2014-12,36.75,39.27,36.2,38.405,232672151,FOXA
19,2015-01,38.7,38.7,33.08,33.16,221412358,FOXA
20,2015-02,33.24,35.57,32.54,35.0,307509121,FOXA
21,2015-03,35.0,35.85,33.58,33.84,284233374,FOXA
22,2015-04,33.83,35.15,33.19,34.08,215080326,FOXA
23,2015-05,34.15,34.830999999999996,32.34,33.6,308305227,FOXA
24,2015-06,33.79,33.86,32.14,32.545,312494420,FOXA
25,2015-07,32.77,34.64,32.0114,34.49,231043634,FOXA
26,2015-08,34.62,34.7,22.81,27.39,552791285,FOXA
27,2015-09,26.79,27.4831,25.15,26.98,416172567,FOXA
28,2015-10,27.08,30.77,26.71,30.69,266341109,FOXA
29,2015-11,30.7,31.395,28.035,29.51,235717002,FOXA
30,2015-12,29.28,29.89,26.8,27.16,229316407,FOXA
31,2016-01,26.72,27.31,24.94,26.97,269277488,FOXA
32,2016-02,26.84,27.62,22.66,27.02,284738024,FOXA
33,2016-03,27.19,28.54,27.13,27.88,185399661,FOXA
34,2016-04,27.83,31.25,27.67,30.26,202499680,FOXA
35,2016-05,30.32,30.43,27.68,28.88,190086229,FOXA
36,2016-06,28.96,29.605,26.23,27.05,191790339,FOXA
37,2016-07,27.06,28.335,26.21,26.64,189657163,FOXA
38,2016-08,26.64,27.16,24.41,24.54,263961971,FOXA
39,2016-09,24.61,24.82,23.33,24.22,271318415,FOXA
40,2016-10,24.09,26.55,24.04,26.27,230349949,FOXA
41,2016-11,26.26,28.54,25.725,28.11,224308478,FOXA
42,2016-12,28.07,30.42,26.12,28.04,253781907,FOXA
43,2017-01,28.42,31.61,28.27,31.38,147632197,FOXA
44,2017-02,31.32,31.75,29.51,29.92,142293847,FOXA
45,2017-03,30.2,32.6,30.03,32.39,170465398,FOXA
46,2017-04,32.48,32.54,30.16,30.54,130025212,FOXA
47,2017-05,30.67,30.67,26.61,27.12,315179682,FOXA
48,2017-06,27.26,29.03,26.765,28.34,218013519,FOXA
49,2017-07,28.47,29.63,26.84,29.1,176102536,FOXA
50,2017-08,29.22,29.6,27.015,27.59,147155026,FOXA
51,2017-09,27.65,27.8,25.135,26.38,142720829,FOXA
52,2017-10,26.51,27.635,25.56,26.15,160141073,FOXA
53,2017-11,26.29,32.31,24.81,31.94,265153723,FOXA
54,2017-12,31.49,35.8599,31.37,34.53,342033293,FOXA
55,2018-01,34.77,39.135,34.72,36.9,222802356,FOXA
56,2018-02,36.91,37.62,35.15,36.06,50785940,FOXA
