,date,open,high,low,close,volume,Name
0,2013-06,28.35,29.64,27.19,29.02,6921664,FOX
1,2013-07,29.1,31.23,28.5,29.99,34070658,FOX
2,2013-08,30.34,33.88,30.21,31.39,33851676,FOX
3,2013-09,32.38,33.53,31.48,33.4,24522592,FOX
4,2013-10,33.38,35.04,31.98,34.015,40147245,FOX
5,2013-11,34.0,35.1923,32.47,33.03,28839212,FOX
6,2013-12,32.95,34.66,31.18,34.6,52496120,FOX
7,2014-01,34.58,35.18,30.02,31.24,111962936,FOX
8,2014-02,31.23,32.74,30.23,32.55,79716917,FOX
9,2014-03,32.46,33.76,30.5,31.12,76851237,FOX
10,2014-04,31.25,33.24,30.28,31.32,125632449,FOX
11,2014-05,31.25,34.82,31.09,34.46,92215029,FOX
12,2014-06,34.55,35.65,32.58,34.23,73945062,FOX
13,2014-07,34.2,35.17,31.66,31.66,177924473,FOX
14,2014-08,31.7,35.08,31.0,34.44,75118482,FOX
15,2014-09,34.4,35.54,32.68,33.31,54745963,FOX
16,2014-10,33.15,34.32,30.11,33.17,93943421,FOX
17,2014-11,33.05,35.39,31.41,35.36,67838404,FOX
18,2014-12,35.3,37.83,34.81,36.89,100857373,FOX
19,2015-01,36.98,37.16,31.76,31.85,64503168,FOX
20,2015-02,31.89,34.57,31.5,34.04,65084120,FOX
21,2015-03,33.73,34.81,32.61,32.88,54531693,FOX
22,2015-04,32.9,34.31,32.31,33.35,51337576,FOX
23,2015-05,33.32,34.56,31.81,33.44,91686414,FOX
24,2015-06,33.62,33.7,31.77,32.22,101478840,FOX
25,2015-07,32.48,33.66,31.67,33.52,60722674,FOX
26,2015-08,33.4,33.65,22.85,27.66,139239642,FOX
27,2015-09,27.05,27.97,25.37,27.07,185543059,FOX
28,2015-10,27.18,30.945,26.84,30.88,85888173,FOX
29,2015-11,31.09,31.58,28.46,29.95,81552620,FOX
30,2015-12,29.93,30.28,27.07,27.23,91675113,FOX
31,2016-01,26.59,27.29,25.025,27.1,99342881,FOX
32,2016-02,26.82,27.62,22.65,27.16,80340405,FOX
33,2016-03,27.43,28.63,27.31,28.2,69777610,FOX
34,2016-04,28.06,31.16,27.97,30.12,70218546,FOX
35,2016-05,30.12,30.3085,28.03,29.24,55798585,FOX
36,2016-06,29.26,29.89,26.15,27.25,57766299,FOX
37,2016-07,27.24,28.88,26.42,27.03,45676296,FOX
38,2016-08,27.06,27.47,24.77,24.85,68135942,FOX
39,2016-09,24.8,25.08,23.88,24.74,102923528,FOX
40,2016-10,24.69,26.61,24.405,26.39,66582079,FOX
41,2016-11,26.41,28.44,25.7,28.06,95149725,FOX
42,2016-12,28.01,29.63,25.935,27.25,94608568,FOX
43,2017-01,27.74,31.0799,27.5423,31.01,48562184,FOX
44,2017-02,31.03,31.3,29.26,29.35,53810284,FOX
45,2017-03,29.51,31.92,29.49,31.78,55649869,FOX
46,2017-04,31.77,31.94,29.64,29.86,45318438,FOX
47,2017-05,29.95,29.95,26.47,26.9,72533834,FOX
48,2017-06,26.89,28.56,26.42,27.87,59466880,FOX
49,2017-07,28.1,29.27,26.72,28.69,40013060,FOX
50,2017-08,28.81,29.21,26.56,27.1,48554286,FOX
51,2017-09,27.16,27.31,24.78,25.79,62855251,FOX
52,2017-10,25.85,26.94,24.91,25.45,52814261,FOX
53,2017-11,25.61,31.59,24.3,31.15,80046832,FOX
54,2017-12,30.64,35.34,30.515,34.12,111765928,FOX
55,2018-01,34.38,38.56,34.27,36.49,72635285,FOX
56,2018-02,36.49,37.15,34.76,35.7,22325559,FOX
