,date,open,high,low,close,volume,Name
0,2013-02,106.95,110.25,105.56,106.21,5754641,FRT
1,2013-03,106.35,108.45,104.13,108.04,7934361,FRT
2,2013-04,108.1,117.18,107.455,117.01,6845271,FRT
3,2013-05,116.22,118.52,107.7,107.75,7745501,FRT
4,2013-06,107.89,108.94,94.35,103.68,9857517,FRT
5,2013-07,104.12,107.67,99.66,105.33,8905443,FRT
6,2013-08,106.1,107.4,97.1,97.31,9393984,FRT
7,2013-09,97.97,105.55,95.84,101.45,7829263,FRT
8,2013-10,101.73,107.49,101.01,103.6,8726486,FRT
9,2013-11,108.82,111.99,102.55,103.52,8188452,FRT
10,2013-12,103.25,104.58,99.83,101.41,8301821,FRT
11,2014-01,101.38,111.45,100.366,109.0,11709686,FRT
12,2014-02,108.53,113.81,105.8,111.31,10698240,FRT
13,2014-03,110.85,114.96,108.92,114.72,9138266,FRT
14,2014-04,114.94,118.07,111.6,117.54,9707887,FRT
15,2014-05,117.88,120.615,116.25,119.52,7885905,FRT
16,2014-06,119.93,123.37,118.06,120.92,6902780,FRT
17,2014-07,121.21,124.96,120.31,122.1,6500072,FRT
18,2014-08,122.22,126.395,120.58,124.78,5542084,FRT
19,2014-09,124.68,126.06,116.5,118.46,7902442,FRT
20,2014-10,118.44,136.54,117.57,131.8,9050368,FRT
21,2014-11,132.57,136.54,129.57,132.66,7650378,FRT
22,2014-12,132.25,137.8,128.0975,133.46,6792809,FRT
23,2015-01,134.42,148.46,133.37,143.77,6999612,FRT
24,2015-02,144.23,147.14,139.71,142.03,5766508,FRT
25,2015-03,142.04,151.11,136.6,147.21,8557404,FRT
26,2015-04,147.2,150.49,132.65,133.67,6949222,FRT
27,2015-05,134.2,137.41,130.13,134.47,6900482,FRT
28,2015-06,134.5,136.9,127.48,128.09,8943077,FRT
29,2015-07,128.48,138.86,127.74,136.79,6805935,FRT
30,2015-08,136.82,139.4,124.87,129.08,8550423,FRT
31,2015-09,127.12,137.03,125.09,136.45,8730962,FRT
32,2015-10,136.79,145.58,133.98,143.49,10228997,FRT
33,2015-11,143.47,148.97,140.89,146.52,6582701,FRT
34,2015-12,147.26,150.54,140.11,146.1,6793771,FRT
35,2016-01,145.17,151.99,141.814,150.83,23534181,FRT
36,2016-02,151.0,153.32,143.66,148.06,12688402,FRT
37,2016-03,149.19,159.79,148.51,156.05,9796177,FRT
38,2016-04,155.39,158.09,149.25,152.08,6657110,FRT
39,2016-05,152.72,160.47,148.4,153.19,7061931,FRT
40,2016-06,153.25,165.62,152.535,165.55,7886215,FRT
41,2016-07,166.38,171.08,164.36,169.7,6951381,FRT
42,2016-08,169.95,170.62,156.21,159.0,8591401,FRT
43,2016-09,158.87,161.0,152.16,153.93,8602409,FRT
44,2016-10,152.26,153.41,142.18,145.23,9866959,FRT
45,2016-11,144.86,144.86,134.39,140.42,10308114,FRT
46,2016-12,139.57,143.47,136.76,142.11,8319480,FRT
47,2017-01,142.92,145.8,138.35,140.43,8285138,FRT
48,2017-02,139.73,143.79,137.04,140.73,7012957,FRT
49,2017-03,139.89,140.0,126.02,133.5,13073618,FRT
50,2017-04,133.5,138.12,130.09,130.89,7627709,FRT
51,2017-05,131.23,135.52,121.7301,122.74,14186217,FRT
52,2017-06,122.55,129.14,120.495,126.39,13127168,FRT
53,2017-07,127.09,135.59,122.9701,132.63,8511527,FRT
54,2017-08,134.08,134.87,123.92,126.93,10499082,FRT
55,2017-09,127.13,131.5,122.6,124.21,8262536,FRT
56,2017-10,124.5,130.72,119.37,120.52,8152272,FRT
57,2017-11,120.63,133.89,119.855,132.21,8807897,FRT
58,2017-12,132.92,134.52,129.0,132.81,8371448,FRT
59,2018-01,133.08,134.2,119.31,120.8,10141656,FRT
60,2018-02,120.79,121.635,109.74,111.34,3952167,FRT
