,date,open,high,low,close,volume,Name
0,2013-02,48.07,53.18,47.975,51.91,37398612,FTI
1,2013-03,51.74,54.518,50.25,54.39,31477896,FTI
2,2013-04,54.59,55.49,47.92,54.3,48462180,FTI
3,2013-05,53.74,59.269,53.18,55.66,27339536,FTI
4,2013-06,55.93,58.34,53.17,55.68,29216704,FTI
5,2013-07,56.17,59.13,53.09,53.3,36068448,FTI
6,2013-08,54.0,55.64,52.21,53.63,24652558,FTI
7,2013-09,54.35,57.92,53.74,55.42,24089970,FTI
8,2013-10,55.3,59.79,50.55,50.55,53079093,FTI
9,2013-11,50.53,50.9,47.58,48.1,35068559,FTI
10,2013-12,48.21,53.48,47.65,52.21,39852038,FTI
11,2014-01,51.94,52.35,48.33,49.44,39006464,FTI
12,2014-02,49.46,51.96,47.6,50.24,47476661,FTI
13,2014-03,49.96,53.89,49.573,52.29,32417806,FTI
14,2014-04,52.36,59.28,51.548,56.7,38467197,FTI
15,2014-05,56.65,58.16,54.38,58.06,27533856,FTI
16,2014-06,58.1,62.43,57.28,61.07,28833949,FTI
17,2014-07,61.39,63.92,52.99,60.8,36587320,FTI
18,2014-08,60.43,62.1,59.31,61.84,24936870,FTI
19,2014-09,61.84,62.0,53.42,54.31,41582684,FTI
20,2014-10,54.19,56.78,47.79,56.04,62538079,FTI
21,2014-11,56.14,57.87,47.38,47.77,45136910,FTI
22,2014-12,46.83,48.75,42.41,46.84,63111046,FTI
23,2015-01,46.44,46.79,34.85,37.48,75106788,FTI
24,2015-02,37.95,43.17,37.76,39.93,82190532,FTI
25,2015-03,39.78,40.1053,35.37,37.01,86854363,FTI
26,2015-04,37.19,44.43,36.65,44.1,78167882,FTI
27,2015-05,43.99,44.28,40.73,41.79,54621610,FTI
28,2015-06,41.66,43.675,40.595,41.49,52888159,FTI
29,2015-07,41.58,41.72,31.83,32.76,90060591,FTI
30,2015-08,32.49,35.21,27.94,34.78,68356371,FTI
31,2015-09,33.2,35.66,30.49,31.0,67648772,FTI
32,2015-10,31.54,35.04,29.0,33.83,88203587,FTI
33,2015-11,33.44,35.93,32.08,34.02,36535017,FTI
34,2015-12,33.92,34.3,28.08,29.01,68685358,FTI
35,2016-01,28.88,29.27,22.85,25.15,85411757,FTI
36,2016-02,25.05,26.83,22.3,24.53,117049028,FTI
37,2016-03,24.82,27.94,23.68,27.36,83380059,FTI
38,2016-04,26.77,31.295,26.5,30.49,68054921,FTI
39,2016-05,30.47,30.7,26.47,27.23,74676212,FTI
40,2016-06,26.91,29.38,24.31,26.67,73769715,FTI
41,2016-07,26.97,28.26,24.98,25.38,59798407,FTI
42,2016-08,25.2,29.05,24.0,28.2,80961333,FTI
43,2016-09,28.25,30.19,27.12,29.67,78370103,FTI
44,2016-10,29.7,33.43,29.48,32.27,83981632,FTI
45,2016-11,32.53,35.74,31.53,34.26,77520138,FTI
46,2016-12,34.82,36.51,34.42,35.53,61445353,FTI
47,2017-01,36.08,37.09,32.835,33.62,186867841,FTI
48,2017-02,33.69,33.91,30.61,32.32,79605128,FTI
49,2017-03,32.53,33.72,30.73,32.5,101578091,FTI
50,2017-04,32.83,34.07,29.86,30.13,63721992,FTI
51,2017-05,30.05,32.46,28.42,28.95,78042853,FTI
52,2017-06,28.7,29.45,26.245,27.2,88176002,FTI
53,2017-07,27.46,29.18,26.33,28.54,68963312,FTI
54,2017-08,27.75,28.15,25.17,25.83,51478430,FTI
55,2017-09,26.04,28.5,25.455,27.92,74591246,FTI
56,2017-10,27.58,28.05,24.53,27.39,75949007,FTI
57,2017-11,27.81,30.16,26.19,28.64,77296617,FTI
58,2017-12,28.92,31.6,26.95,31.31,60615809,FTI
59,2018-01,31.23,35.0,31.12,32.46,67841083,FTI
60,2018-02,32.44,33.39,30.41,30.48,26912382,FTI
