,date,open,high,low,close,volume,Name
0,2013-02,22.5,23.75,22.35,23.22,573724964,GE
1,2013-03,23.02,23.9,22.85,23.12,685439385,GE
2,2013-04,23.03,23.72,21.11,22.29,965835470,GE
3,2013-05,22.1,24.13,22.1,23.32,843228300,GE
4,2013-06,23.37,24.45,22.76,23.19,875377949,GE
5,2013-07,23.21,24.95,22.76,24.37,793320535,GE
6,2013-08,24.6,24.866999999999997,23.04,23.14,650465912,GE
7,2013-09,23.31,24.91,22.92,23.89,738918726,GE
8,2013-10,23.94,26.48,23.5,26.14,895446190,GE
9,2013-11,26.05,27.5,26.03,26.66,714981068,GE
10,2013-12,26.65,28.09,26.2,28.03,742594544,GE
11,2014-01,27.86,27.94,24.9,25.13,924463709,GE
12,2014-02,25.13,26.04,24.32,25.47,675652091,GE
13,2014-03,25.21,26.35,24.92,25.89,682336378,GE
14,2014-04,25.83,26.9,25.43,26.89,658204820,GE
15,2014-05,26.73,26.9569,26.15,26.79,441089267,GE
16,2014-06,26.71,27.53,26.2,26.28,561772554,GE
17,2014-07,26.27,27.145,25.15,25.15,729415212,GE
18,2014-08,25.07,26.45,24.75,25.98,545083555,GE
19,2014-09,25.89,26.4,25.3,25.62,552889727,GE
20,2014-10,25.43,25.93,23.69,25.81,815220969,GE
21,2014-11,25.49,27.1,25.48,26.49,516565543,GE
22,2014-12,26.16,26.47,24.06,25.27,867222177,GE
23,2015-01,25.34,25.46,23.41,23.89,899307655,GE
24,2015-02,24.0,26.27,23.9,25.99,673185523,GE
25,2015-03,25.88,26.12,24.67,24.81,746913458,GE
26,2015-04,24.72,28.68,24.57,27.08,1380578522,GE
27,2015-05,27.09,27.79,26.61,27.27,639317224,GE
28,2015-06,27.26,27.68,26.53,26.57,698710238,GE
29,2015-07,26.67,27.33,25.52,26.1,616874765,GE
30,2015-08,26.12,26.33,19.37,24.82,779117010,GE
31,2015-09,24.24,26.03,23.68,25.22,928804806,GE
32,2015-10,25.15,29.83,24.79,28.92,1481461763,GE
33,2015-11,28.94,30.99,28.88,29.94,3283531216,GE
34,2015-12,29.99,31.49,29.77,31.15,1113101515,GE
35,2016-01,30.55,30.84,27.48,29.1,1152970300,GE
36,2016-02,29.01,29.61,27.1,29.14,856157618,GE
37,2016-03,29.41,32.05,29.31,31.79,733354005,GE
38,2016-04,31.5,32.02,30.31,30.75,646419636,GE
39,2016-05,30.64,30.99,29.06,30.23,609149263,GE
40,2016-06,30.04,31.5,29.17,31.48,866651452,GE
41,2016-07,31.33,33.0,31.08,31.14,768190037,GE
42,2016-08,31.12,31.57,31.0,31.24,537464469,GE
43,2016-09,31.15,31.45,29.4,29.62,737432838,GE
44,2016-10,29.46,29.75,28.33,29.1,693953947,GE
45,2016-11,29.0,31.49,28.19,30.76,713325113,GE
46,2016-12,30.64,32.38,30.62,31.6,640659785,GE
47,2017-01,31.67,31.835,29.5,29.7,660034832,GE
48,2017-02,29.73,30.59,29.26,29.81,527257354,GE
49,2017-03,29.98,30.43,29.25,29.8,693779342,GE
50,2017-04,29.76,30.54,28.93,28.99,575251841,GE
51,2017-05,29.01,29.31,27.1,27.38,755326295,GE
52,2017-06,27.51,29.47,26.79,27.01,968674817,GE
53,2017-07,27.16,27.59,25.26,25.61,813963677,GE
54,2017-08,25.63,25.89,24.15,24.55,688686111,GE
55,2017-09,24.6,25.3,23.58,24.18,964688767,GE
56,2017-10,24.22,24.89,20.05,20.16,1801711427,GE
57,2017-11,20.07,20.75,17.46,18.29,1882387944,GE
58,2017-12,18.28,18.28,17.25,17.45,1235739550,GE
59,2018-01,17.58,19.385,15.8,16.17,2349074032,GE
60,2018-02,16.06,16.11,14.71,15.25,461187494,GE
