,date,open,high,low,close,volume,Name
0,2013-02,20.04,20.27,19.07,19.14,51453825,GGP
1,2013-03,19.14,20.23,19.08,19.88,95691113,GGP
2,2013-04,19.89,22.8,19.79,22.72,85925048,GGP
3,2013-05,22.7,23.33,18.63,20.53,93613610,GGP
4,2013-06,20.54,21.22,18.84,19.87,69340055,GGP
5,2013-07,19.99,21.94,19.66,20.74,65892116,GGP
6,2013-08,20.82,20.95,18.95,19.18,65219312,GGP
7,2013-09,19.4,20.38,18.67,19.29,81624466,GGP
8,2013-10,19.27,22.25,19.26,21.23,79469342,GGP
9,2013-11,21.85,21.85,19.91,20.75,74431944,GGP
10,2013-12,20.61,21.52,19.77,20.07,260177043,GGP
11,2014-01,20.08,20.79,19.38,20.14,96156598,GGP
12,2014-02,20.14,22.71,19.62,22.02,109844279,GGP
13,2014-03,21.89,22.47,21.31,22.0,100901978,GGP
14,2014-04,22.04,22.99,21.73,22.97,97410508,GGP
15,2014-05,22.95,23.87,22.75,23.83,65021987,GGP
16,2014-06,23.79,24.35,23.17,23.56,64743402,GGP
17,2014-07,23.62,24.38,23.33,23.37,59067760,GGP
18,2014-08,23.16,24.6,22.92,24.57,56765421,GGP
19,2014-09,24.61,25.14,23.24,23.55,94812141,GGP
20,2014-10,23.5,25.92,23.19,25.91,77918081,GGP
21,2014-11,25.91,27.11,25.36,26.76,71013127,GGP
22,2014-12,26.78,28.88,26.68,28.13,78440853,GGP
23,2015-01,28.3,31.7,28.115,30.18,76848225,GGP
24,2015-02,30.17,30.76,28.595,29.01,97807337,GGP
25,2015-03,29.0,31.32,28.135,29.55,118158147,GGP
26,2015-04,29.59,30.53,27.18,27.4,76704118,GGP
27,2015-05,27.47,28.79,26.63,28.33,88214672,GGP
28,2015-06,28.36,28.6,25.59,25.66,79601959,GGP
29,2015-07,25.73,28.44,25.61,27.14,83007241,GGP
30,2015-08,27.12,28.15,24.88,25.38,89251108,GGP
31,2015-09,24.77,26.25,24.22,25.97,99425090,GGP
32,2015-10,26.11,29.11,25.6,28.95,91856960,GGP
33,2015-11,28.91,29.56,24.515,25.47,104862931,GGP
34,2015-12,25.62,27.58,25.11,27.21,102282673,GGP
35,2016-01,26.75,29.0,25.1,28.04,140258722,GGP
36,2016-02,27.77,29.0,24.43,27.52,106342057,GGP
37,2016-03,27.92,30.3,27.77,29.73,82997746,GGP
38,2016-04,29.66,29.81,27.955,28.03,64428708,GGP
39,2016-05,28.18,29.91,26.02,26.87,92117883,GGP
40,2016-06,26.72,29.92,26.5,29.82,96414152,GGP
41,2016-07,29.88,32.06,29.815,31.95,66067883,GGP
42,2016-08,31.93,32.1,28.92,29.14,87679283,GGP
43,2016-09,29.12,29.65,27.285,27.6,84916921,GGP
44,2016-10,27.43,27.43,24.54,24.95,89309462,GGP
45,2016-11,25.07,27.1,23.89,25.34,96784443,GGP
46,2016-12,25.18,26.63,24.23,24.98,88420428,GGP
47,2017-01,25.19,26.205,23.77,24.84,93479546,GGP
48,2017-02,24.94,25.72,24.39,24.86,71866824,GGP
49,2017-03,24.86,24.87,22.34,23.18,142291608,GGP
50,2017-04,23.2,23.8,21.515,21.61,110566391,GGP
51,2017-05,21.37,23.85,21.05,22.28,200882237,GGP
52,2017-06,22.24,24.37,22.02,23.56,136662490,GGP
53,2017-07,23.73,24.115,22.09,22.61,88599189,GGP
54,2017-08,22.91,23.249000000000002,20.31,20.75,144938381,GGP
55,2017-09,20.83,21.99,20.45,20.77,122138700,GGP
56,2017-10,20.78,21.835,18.86,19.46,116480127,GGP
57,2017-11,19.5,24.23,18.83,23.5,263971385,GGP
58,2017-12,23.57,23.89,22.995,23.39,124582935,GGP
59,2018-01,23.47,23.86,22.34,23.03,98297744,GGP
60,2018-02,23.08,23.215,20.93,21.97,26811611,GGP
