,date,open,high,low,close,volume,Name
0,2013-02,42.45,46.47,42.4101,46.25,63950017,GIS
1,2013-03,46.22,49.37,45.51,49.31,90147419,GIS
2,2013-04,48.25,50.9,48.13,50.42,77902418,GIS
3,2013-05,50.45,50.97,47.08,47.08,81331146,GIS
4,2013-06,47.14,50.02,46.18,48.53,77584247,GIS
5,2013-07,48.54,52.38,48.53,52.0,59380197,GIS
6,2013-08,53.03,53.07,48.25,49.32,66863486,GIS
7,2013-09,49.67,50.36,47.5,47.92,80040258,GIS
8,2013-10,47.73,51.12,47.31,50.42,63142698,GIS
9,2013-11,50.55,51.66,49.2,50.43,53463685,GIS
10,2013-12,50.22,51.96,48.24,49.91,66416405,GIS
11,2014-01,49.6,49.94,47.72,48.02,76196563,GIS
12,2014-02,48.07,50.32,46.7,50.03,53834183,GIS
13,2014-03,49.52,52.0,49.44,51.82,71884896,GIS
14,2014-04,51.65,53.39,50.97,53.02,67336830,GIS
15,2014-05,53.22,54.98,52.45,54.93,46830771,GIS
16,2014-06,54.87,55.64,51.5,52.54,65053605,GIS
17,2014-07,52.18,53.65,50.14,50.15,59329643,GIS
18,2014-08,51.09,53.645,50.71,53.38,46577732,GIS
19,2014-09,53.4,53.84,49.86,50.45,74378846,GIS
20,2014-10,49.71,52.0,48.32,51.96,66104107,GIS
21,2014-11,52.0,53.44,50.43,52.75,52784615,GIS
22,2014-12,52.53,54.61,51.08,53.33,66519663,GIS
23,2015-01,53.1,55.59,51.9,52.48,71629909,GIS
24,2015-02,52.65,53.839,51.9,53.79,51270679,GIS
25,2015-03,53.61,57.25,51.43,56.6,77305838,GIS
26,2015-04,56.39,57.73,55.105,55.34,53220430,GIS
27,2015-05,55.51,57.25,54.94,56.15,38875627,GIS
28,2015-06,56.32,57.06,54.14,55.72,58566727,GIS
29,2015-07,55.12,58.53,54.13,58.21,79170594,GIS
30,2015-08,58.29,59.87,47.43,56.76,65628857,GIS
31,2015-09,55.85,58.44,55.14,56.13,94743265,GIS
32,2015-10,55.89,59.355,55.29,58.11,65560778,GIS
33,2015-11,58.18,58.61,55.73,57.76,55882893,GIS
34,2015-12,58.2,59.33,56.23,57.66,78427525,GIS
35,2016-01,56.84,57.91,53.53,56.51,78474695,GIS
36,2016-02,56.56,60.18,54.84,58.85,65427021,GIS
37,2016-03,59.25,63.73,58.7,63.35,86059762,GIS
38,2016-04,62.9,65.49,60.04,61.34,73121170,GIS
39,2016-05,61.59,65.11,61.21,62.78,58253108,GIS
40,2016-06,62.77,71.78,62.65,71.32,74206285,GIS
41,2016-07,71.19,72.95,70.4,71.89,70383120,GIS
42,2016-08,71.98,72.15,69.23,70.82,67591343,GIS
43,2016-09,70.67,71.33,63.15,63.88,78531300,GIS
44,2016-10,63.76,64.02,60.44,61.98,67712769,GIS
45,2016-11,62.16,63.93,60.55,60.94,69359244,GIS
46,2016-12,60.92,64.06,60.37,61.77,56226588,GIS
47,2017-01,62.09,63.11,60.27,62.48,51755056,GIS
48,2017-02,62.32,63.73,58.7,60.37,66715488,GIS
49,2017-03,60.78,61.34,58.59,59.01,79357891,GIS
50,2017-04,59.05,59.22,57.14,57.51,52895194,GIS
51,2017-05,57.56,60.21,55.57,56.74,91892777,GIS
52,2017-06,56.89,59.58,54.89,55.4,91036057,GIS
53,2017-07,55.29,55.87,53.24,55.66,78836863,GIS
54,2017-08,56.3,57.84,52.76,53.26,92349388,GIS
55,2017-09,53.26,56.54,50.4,51.76,93831201,GIS
56,2017-10,51.57,52.82,50.125,51.92,81085009,GIS
57,2017-11,51.98,56.96,49.65,56.56,79096474,GIS
58,2017-12,56.51,60.59,55.29,59.29,88337210,GIS
59,2018-01,59.43,60.69,57.7292,58.49,68074596,GIS
60,2018-02,58.9,59.01,52.96,54.65,21259712,GIS
