,date,open,high,low,close,volume,Name
0,2013-02,12.35,12.99,12.11,12.61,183889113,GLW
1,2013-03,12.47,13.35,12.29,13.33,242796254,GLW
2,2013-04,13.35,14.55,12.64,14.5,334454864,GLW
3,2013-05,14.45,16.43,14.25,15.37,278408399,GLW
4,2013-06,15.42,15.79,13.86,14.23,242477927,GLW
5,2013-07,14.36,15.45,14.1,15.19,225048680,GLW
6,2013-08,15.32,15.51,13.94,14.04,203168227,GLW
7,2013-09,14.06,15.11,13.835,14.59,229907693,GLW
8,2013-10,14.6,18.07,13.82,17.09,414277803,GLW
9,2013-11,17.09,17.34,16.22,17.08,222131855,GLW
10,2013-12,17.08,17.89,16.63,17.82,199695037,GLW
11,2014-01,17.74,19.12,16.55,17.21,274248275,GLW
12,2014-02,17.29,19.44,16.9,19.27,236313853,GLW
13,2014-03,18.99,20.99,18.8,20.82,262559044,GLW
14,2014-04,20.9,21.77,20.17,20.91,244119195,GLW
15,2014-05,20.91,21.68,20.6,21.3,201196027,GLW
16,2014-06,21.29,22.2,20.91,21.95,154981289,GLW
17,2014-07,22.06,22.37,19.57,19.65,177823745,GLW
18,2014-08,19.62,21.04,19.56,20.86,141937987,GLW
19,2014-09,20.88,21.42,19.23,19.34,142848528,GLW
20,2014-10,19.27,20.51,17.03,20.43,224639065,GLW
21,2014-11,20.41,21.11,20.18,20.91,139151667,GLW
22,2014-12,20.9,23.52,20.375,22.93,185010624,GLW
23,2015-01,23.03,25.16,21.89,23.77,177549401,GLW
24,2015-02,23.87,25.05,23.23,24.4,139668202,GLW
25,2015-03,24.32,24.89,22.25,22.68,177692674,GLW
26,2015-04,22.62,22.98,20.7,20.93,210844559,GLW
27,2015-05,21.02,22.05,20.59,20.92,179423648,GLW
28,2015-06,20.98,21.2868,19.57,19.73,230392562,GLW
29,2015-07,19.87,20.025,18.05,18.68,243621752,GLW
30,2015-08,18.6,18.64,15.42,17.21,224225384,GLW
31,2015-09,16.77,18.48,16.23,17.12,230190004,GLW
32,2015-10,17.15,19.0,16.36,18.6,308587953,GLW
33,2015-11,18.59,19.29,17.82,18.73,186883398,GLW
34,2015-12,18.88,19.01,17.59,18.28,262584822,GLW
35,2016-01,17.95,18.61,16.13,18.61,266780702,GLW
36,2016-02,18.4,19.12,17.61,18.3,257438713,GLW
37,2016-03,18.42,21.07,18.245,20.89,189771431,GLW
38,2016-04,20.68,21.13,18.52,18.67,207624035,GLW
39,2016-05,18.74,20.95,18.2101,20.89,203324363,GLW
40,2016-06,20.69,21.3,18.88,20.48,182750969,GLW
41,2016-07,20.34,22.62,19.78,22.22,152072957,GLW
42,2016-08,22.25,23.13,22.07,22.69,225002903,GLW
43,2016-09,22.67,23.81,22.14,23.65,197984608,GLW
44,2016-10,23.59,24.14,22.53,22.71,185535649,GLW
45,2016-11,22.82,24.46,22.23,24.03,169068815,GLW
46,2016-12,24.03,25.345,23.48,24.27,155756256,GLW
47,2017-01,24.4,26.99,24.12,26.49,162948750,GLW
48,2017-02,26.29,27.89,25.97,27.61,127304370,GLW
49,2017-03,27.86,28.36,26.79,27.0,131275323,GLW
50,2017-04,27.07,29.08,26.32,28.85,129301721,GLW
51,2017-05,28.93,29.72,28.33,29.1,127381572,GLW
52,2017-06,29.24,30.595,28.37,30.05,137565304,GLW
53,2017-07,30.25,32.17,29.02,29.14,147315046,GLW
54,2017-08,29.26,30.12,27.71,28.76,136849715,GLW
55,2017-09,28.82,30.37,28.28,29.92,96571289,GLW
56,2017-10,29.94,32.31,29.52,31.31,134099370,GLW
57,2017-11,31.55,32.775,31.08,32.39,97508097,GLW
58,2017-12,32.39,32.815,31.2,31.99,93360116,GLW
59,2018-01,32.32,35.1,31.08,31.22,141238989,GLW
60,2018-02,31.04,31.945,28.95,29.82,55939049,GLW
