,date,open,high,low,close,volume,Name
0,2013-02,28.54,29.36,26.19,27.15,145884514,GM
1,2013-03,26.83,29.3,26.75,27.82,213915476,GM
2,2013-04,27.65,30.97,27.11,30.84,258834882,GM
3,2013-05,30.77,34.91,30.11,33.89,272371557,GM
4,2013-06,34.57,35.49,31.13,33.31,394800124,GM
5,2013-07,33.52,37.71,33.41,35.87,262162539,GM
6,2013-08,36.39,37.18,33.5,34.08,250341084,GM
7,2013-09,34.68,37.97,33.96,35.97,351260842,GM
8,2013-10,36.04,37.99,33.92,36.95,414405022,GM
9,2013-11,37.17,39.18,35.91,38.73,433506966,GM
10,2013-12,39.1,41.85,37.68,40.87,547920512,GM
11,2014-01,40.68,41.0599,35.88,36.08,541049740,GM
12,2014-02,36.27,37.13,34.36,36.2,580597971,GM
13,2014-03,35.7,38.05,33.573,34.42,510969620,GM
14,2014-04,34.5,35.7,31.7,34.48,494235627,GM
15,2014-05,34.67,35.43,32.61,34.58,271124207,GM
16,2014-06,34.54,37.18,34.29,36.3,325885349,GM
17,2014-07,36.25,38.15,33.78,33.82,305523210,GM
18,2014-08,33.79,35.0,32.8,34.8,203280598,GM
19,2014-09,34.88,35.14,31.67,31.94,262561318,GM
20,2014-10,31.97,34.24,28.82,31.4,445360739,GM
21,2014-11,31.35,33.54,30.56,33.43,188585555,GM
22,2014-12,33.31,35.45,30.3,34.91,297206973,GM
23,2015-01,35.27,36.45,32.36,32.62,322806335,GM
24,2015-02,32.67,38.18,32.44,37.31,325791553,GM
25,2015-03,37.41,38.995,36.73,37.5,290617685,GM
26,2015-04,37.27,37.45,34.93,35.06,397268603,GM
27,2015-05,35.17,36.575,34.51,35.97,248024240,GM
28,2015-06,36.06,36.5399,33.06,33.33,301986589,GM
29,2015-07,33.61,33.61,29.885,31.51,421909150,GM
30,2015-08,31.79,32.25,24.62,29.44,388231953,GM
31,2015-09,29.18,31.81,28.38,30.02,356603391,GM
32,2015-10,30.29,36.055,29.98,34.91,324329887,GM
33,2015-11,34.88,36.88,34.185,36.2,212070125,GM
34,2015-12,35.95,36.52,33.54,34.01,238745017,GM
35,2016-01,33.45,33.54,28.32,29.64,376867610,GM
36,2016-02,29.46,30.25,26.69,29.44,327575010,GM
37,2016-03,30.02,32.38,28.92,31.43,269349519,GM
38,2016-04,31.18,33.41,29.18,31.8,249350028,GM
39,2016-05,32.05,32.12,30.17,31.28,210050087,GM
40,2016-06,31.15,31.15,27.34,28.3,303570620,GM
41,2016-07,28.69,32.87,27.52,31.54,296060571,GM
42,2016-08,31.54,32.09,29.82,31.92,262311415,GM
43,2016-09,31.86,32.55,30.13,31.77,299365047,GM
44,2016-10,31.64,33.08,30.88,31.6,244473654,GM
45,2016-11,31.7,34.98,30.21,34.53,314371738,GM
46,2016-12,34.81,37.74,34.67,34.84,310508913,GM
47,2017-01,34.98,38.375,34.84,36.61,287500046,GM
48,2017-02,36.68,38.105,34.72,36.84,287888795,GM
49,2017-03,37.2,38.55,33.7901,35.36,397997179,GM
50,2017-04,35.33,35.4,33.37,34.64,249484685,GM
51,2017-05,34.63,34.65,31.92,33.93,322119690,GM
52,2017-06,34.06,35.05,33.05,34.93,260039002,GM
53,2017-07,34.52,36.63,34.45,35.98,204851975,GM
54,2017-08,35.16,36.74,34.61,36.54,179901582,GM
55,2017-09,36.73,40.69,36.62,40.38,275374182,GM
56,2017-10,41.01,46.76,40.8,42.98,357781909,GM
57,2017-11,42.72,45.35,41.35,43.09,270728273,GM
58,2017-12,43.19,43.42,40.7,40.99,233306530,GM
59,2018-01,41.24,45.52,41.15,42.41,278088570,GM
60,2018-02,42.12,43.56,39.51,42.39,89663722,GM
