,date,open,high,low,close,volume,Name
0,2014-03,568.0,568.0,552.92,556.97,64827,GOOG
1,2014-04,558.71,604.83,502.8,526.66,67237955,GOOG
2,2014-05,527.11,567.84,503.3,559.89,36547661,GOOG
3,2014-06,560.7,582.45,538.75,575.28,37926991,GOOG
4,2014-07,578.32,599.65,565.01,571.6,34551545,GOOG
5,2014-08,570.4,587.34,560.0,571.6,27625858,GOOG
6,2014-09,571.85,596.48,568.21,577.36,33466544,GOOG
7,2014-10,576.01,581.0,508.1,559.08,52083039,GOOG
8,2014-11,555.5,557.9,530.08,541.83,28445740,GOOG
9,2014-12,538.9,541.41,489.0,526.4,45796626,GOOG
10,2015-01,529.01,542.17,487.56,534.52,50098414,GOOG
11,2015-02,531.73,564.71,518.55,558.4,32508126,GOOG
12,2015-03,560.53,577.91,544.22,548.0,38542782,GOOG
13,2015-04,548.6,571.14,521.01,537.34,42283442,GOOG
14,2015-05,538.43,544.19,521.085,532.11,31866779,GOOG
15,2015-06,536.79,543.74,520.5,520.51,34342523,GOOG
16,2015-07,524.73,678.64,515.18,625.61,63319457,GOOG
17,2015-08,625.34,674.9,565.05,618.25,53721447,GOOG
18,2015-09,602.36,650.9,589.38,608.42,47956224,GOOG
19,2015-10,608.37,730.0,599.85,710.81,49513250,GOOG
20,2015-11,711.06,762.7075,705.85,742.6,33939108,GOOG
21,2015-12,747.11,779.98,724.17,758.88,43110708,GOOG
22,2016-01,743.0,752.0,673.26,742.95,46561234,GOOG
23,2016-02,750.46,789.8699,663.06,697.77,64367114,GOOG
24,2016-03,703.62,757.88,685.34,744.95,41745367,GOOG
25,2016-04,738.6,769.9,689.0,693.01,42154738,GOOG
26,2016-05,697.63,739.73,689.01,735.72,35000414,GOOG
27,2016-06,734.53,737.21,663.284,692.1,39375913,GOOG
28,2016-07,692.2,778.55,688.215,768.79,29914808,GOOG
29,2016-08,761.09,789.75,761.09,767.05,26385341,GOOG
30,2016-09,769.25,789.85,754.0001,777.29,27600794,GOOG
31,2016-10,774.25,816.68,769.5,784.54,33956196,GOOG
32,2016-11,782.89,795.633,727.54,758.04,42688236,GOOG
33,2016-12,757.44,804.3799,737.0245,771.82,32097980,GOOG
34,2017-01,778.81,841.95,775.8,796.79,33332821,GOOG
35,2017-02,799.68,833.45,791.19,823.21,25689522,GOOG
36,2017-03,828.85,853.5,803.37,829.56,33840342,GOOG
37,2017-04,829.22,916.85,817.0201,905.96,25218230,GOOG
38,2017-05,901.94,979.27,901.45,964.86,32190283,GOOG
39,2017-06,968.95,988.25,908.31,908.73,43588130,GOOG
40,2017-07,912.18,986.2,894.79,930.5,36679738,GOOG
41,2017-08,932.38,941.98,903.4,939.33,27958106,GOOG
42,2017-09,941.13,959.7864,909.7,959.11,28075770,GOOG
43,2017-10,959.98,1048.39,947.84,1016.64,31780665,GOOG
44,2017-11,1017.21,1062.38,1013.01,1021.41,24263957,GOOG
45,2017-12,1015.8,1078.49,988.28,1046.4,28164680,GOOG
46,2018-01,1048.34,1186.89,1045.23,1169.94,28738485,GOOG
47,2018-02,1162.61,1174.0,1023.14,1048.58,16885546,GOOG
