,date,open,high,low,close,volume,Name
0,2013-02,69.57,71.47,68.29,71.03,12462301,GPC
1,2013-03,70.8,78.12,70.43,78.0,18783008,GPC
2,2013-04,77.37,78.27,71.87,76.33,21005870,GPC
3,2013-05,76.19,84.27,74.52,77.74,13936063,GPC
4,2013-06,78.13,79.78,75.12,78.07,12306670,GPC
5,2013-07,78.11,85.41,77.62,81.99,25508597,GPC
6,2013-08,82.66,84.675,76.55,77.01,15550797,GPC
7,2013-09,77.8,82.46,76.4,80.89,11317487,GPC
8,2013-10,80.74,81.43,76.26,78.83,17791213,GPC
9,2013-11,79.02,83.29,78.34,82.84,15416460,GPC
10,2013-12,82.91,84.89,80.18,83.19,14819792,GPC
11,2014-01,83.1,84.8099,81.02,82.25,17302334,GPC
12,2014-02,81.96,90.0,76.5,88.09,17737182,GPC
13,2014-03,86.8,88.311,83.51,86.85,13517703,GPC
14,2014-04,86.77,89.04799999999999,83.715,87.12,15518416,GPC
15,2014-05,87.08,87.5,83.425,86.33,11272058,GPC
16,2014-06,86.37,87.94,84.81,87.8,10558753,GPC
17,2014-07,87.0,89.9,82.82,82.82,14090031,GPC
18,2014-08,82.74,88.41,82.15,87.74,10733876,GPC
19,2014-09,87.95,90.2,86.477,87.71,9747393,GPC
20,2014-10,86.0,97.13,84.99,97.08,16359322,GPC
21,2014-11,96.96,103.54,96.35,102.78,10870705,GPC
22,2014-12,102.62,109.0,101.38,106.57,12286005,GPC
23,2015-01,107.4,108.065,92.83,92.94,25273025,GPC
24,2015-02,93.34,98.48,91.84,96.08,21519914,GPC
25,2015-03,96.15,97.29,91.74,93.19,14282601,GPC
26,2015-04,92.82,94.41,89.47,89.85,14451045,GPC
27,2015-05,90.59,94.74,90.11,90.47,13215642,GPC
28,2015-06,90.54,92.95,89.17,89.53,11589284,GPC
29,2015-07,89.46,91.02,85.8,88.95,15927761,GPC
30,2015-08,88.77,89.46,78.76,83.49,12228597,GPC
31,2015-09,82.06,86.25,80.49,82.89,13756257,GPC
32,2015-10,82.56,91.38,79.77,90.76,21293297,GPC
33,2015-11,90.76,92.32,85.71,90.63,14862083,GPC
34,2015-12,91.03,91.42,83.1,85.89,13000901,GPC
35,2016-01,84.81,86.26,76.5,86.17,18805748,GPC
36,2016-02,83.39,93.14,82.03,90.15,21269392,GPC
37,2016-03,90.97,99.59,90.78,99.36,15320054,GPC
38,2016-04,98.63,100.0,95.58,95.97,16400421,GPC
39,2016-05,96.16,98.07,92.25,96.92,12756540,GPC
40,2016-06,96.06,101.28,94.1,101.25,12441598,GPC
41,2016-07,100.99,105.97,98.33,102.24,15523481,GPC
42,2016-08,102.11,105.18,99.03,102.82,12086850,GPC
43,2016-09,103.0,104.04,95.96,100.45,14027887,GPC
44,2016-10,99.57,100.34,88.51,90.59,15836583,GPC
45,2016-11,90.87,98.05,86.61,96.23,16595979,GPC
46,2016-12,96.16,99.92,94.88,95.54,11682913,GPC
47,2017-01,96.42,100.4,94.42,96.81,13191740,GPC
48,2017-02,96.89,100.9,94.6,95.71,12819584,GPC
49,2017-03,96.54,97.26,91.93,92.41,14899697,GPC
50,2017-04,92.5,94.99,88.88,92.02,16783645,GPC
51,2017-05,92.2,93.89,89.55,92.62,18733820,GPC
52,2017-06,93.04,95.87,89.01,92.76,18021222,GPC
53,2017-07,92.8,93.97,80.86,84.93,29370958,GPC
54,2017-08,84.32,85.22,79.86,82.83,16142354,GPC
55,2017-09,83.23,97.645,83.1,95.65,20393539,GPC
56,2017-10,95.49,98.63,87.33,88.23,18728764,GPC
57,2017-11,88.8,93.175,84.71,92.97,16656394,GPC
58,2017-12,93.09,95.96,90.97,95.01,15399646,GPC
59,2018-01,95.54,107.75,95.54,104.07,17158130,GPC
60,2018-02,103.38,104.31,96.91,99.27,5736479,GPC
