,date,open,high,low,close,volume,Name
0,2013-02,32.3,33.8,31.19,32.92,79078133,GPS
1,2013-03,33.7,36.87,32.91,35.4,91873612,GPS
2,2013-04,35.33,38.23,35.1,37.99,79631351,GPS
3,2013-05,37.94,41.86,37.56,40.55,86528671,GPS
4,2013-06,40.55,42.45,39.96,41.73,68529602,GPS
5,2013-07,41.94,46.42,41.94,45.9,54677928,GPS
6,2013-08,46.38,46.56,40.33,40.44,80913357,GPS
7,2013-09,40.75,42.66,39.9,40.28,70526297,GPS
8,2013-10,40.27,40.99,36.13,36.99,125392670,GPS
9,2013-11,37.0,42.45,36.39,40.97,93173361,GPS
10,2013-12,41.27,42.33,38.01,39.08,90164656,GPS
11,2014-01,39.09,40.08,36.57,38.08,131693297,GPS
12,2014-02,38.02,44.59,37.1,43.75,111104972,GPS
13,2014-03,43.27,43.7,39.66,40.06,91400915,GPS
14,2014-04,40.49,42.71,37.0,39.3,117704111,GPS
15,2014-05,39.43,41.68,38.38,41.23,83761840,GPS
16,2014-06,41.35,42.37,40.54,41.57,50943411,GPS
17,2014-07,41.55,42.11,38.98,40.11,74155620,GPS
18,2014-08,40.09,46.61,39.545,46.15,79482859,GPS
19,2014-09,46.31,46.845,41.5344,41.69,72718638,GPS
20,2014-10,41.63,42.41,35.46,37.89,156956593,GPS
21,2014-11,38.03,40.6223,37.1,39.6,91579739,GPS
22,2014-12,39.29,42.52,38.94,42.11,73130394,GPS
23,2015-01,42.37,43.85,39.28,41.19,76349441,GPS
24,2015-02,41.18,42.5,39.7,41.6,90060739,GPS
25,2015-03,41.28,43.9,40.32,43.33,82700536,GPS
26,2015-04,43.17,43.29,39.37,39.64,65166602,GPS
27,2015-05,39.8,40.64,37.71,38.33,93518845,GPS
28,2015-06,38.32,39.59,37.5,38.17,82569763,GPS
29,2015-07,38.37,39.0,35.58,36.48,84596419,GPS
30,2015-08,36.48,36.5,30.750999999999998,32.81,106233410,GPS
31,2015-09,32.25,33.28,27.63,28.5,112327621,GPS
32,2015-10,28.45,29.195,25.97,27.22,123631302,GPS
33,2015-11,27.15,28.65,24.7,26.73,124289333,GPS
34,2015-12,26.73,27.305,24.55,24.7,117769616,GPS
35,2016-01,24.12,26.8,21.57,24.72,141945285,GPS
36,2016-02,24.49,27.94,22.03,27.65,134636099,GPS
37,2016-03,27.71,30.49,27.7,29.4,122038111,GPS
38,2016-04,29.24,30.1,23.0,23.18,135785295,GPS
39,2016-05,23.1,23.21,17.0,17.99,211031969,GPS
40,2016-06,17.94,21.24,17.73,21.22,148070465,GPS
41,2016-07,20.97,25.95,20.73,25.79,138139492,GPS
42,2016-08,25.59,27.19,22.95,24.87,157979541,GPS
43,2016-09,25.0,25.02,21.7,22.24,109134682,GPS
44,2016-10,21.89,27.61,21.57,27.59,119857124,GPS
45,2016-11,27.06,30.74,24.8,24.97,162134636,GPS
46,2016-12,24.86,26.75,22.25,22.44,112484927,GPS
47,2017-01,22.72,24.93,22.03,23.03,137441123,GPS
48,2017-02,23.12,25.34,22.14,24.82,111472332,GPS
49,2017-03,24.94,25.4354,22.25,24.29,119502549,GPS
50,2017-04,24.04,26.72,22.875,26.2,96414239,GPS
51,2017-05,26.26,26.88,21.855,22.5,149004400,GPS
52,2017-06,22.54,23.5,21.77,21.99,134310216,GPS
53,2017-07,22.16,24.315,21.02,23.83,130642799,GPS
54,2017-08,23.76,24.87,21.84,23.62,125874124,GPS
55,2017-09,23.91,29.77,23.85,29.53,122845826,GPS
56,2017-10,29.32,29.7,25.75,25.99,122009940,GPS
57,2017-11,26.11,32.8312,25.36,32.31,130205134,GPS
58,2017-12,32.08,35.24,31.15,34.06,90504117,GPS
59,2018-01,34.15,35.68,31.53,33.24,84668940,GPS
60,2018-02,32.82,33.5,29.28,32.62,30481208,GPS
