,date,open,high,low,close,volume,Name
0,2013-02,150.78,159.0,146.71,149.76,70184094,GS
1,2013-03,148.12,157.19,144.68,147.15,82799254,GS
2,2013-04,146.67,151.45,137.29,146.07,81784374,GS
3,2013-05,145.83,165.828,140.39,162.08,89468704,GS
4,2013-06,161.56,168.2,148.71,151.25,76011973,GS
5,2013-07,152.78,167.41,149.28,164.03,65312590,GS
6,2013-08,165.74,169.69,151.33,152.13,52140422,GS
7,2013-09,154.48,170.0,153.42,158.21,78778743,GS
8,2013-10,158.86,163.35,152.83,160.86,75118196,GS
9,2013-11,161.03,170.69,159.61,168.94,57418434,GS
10,2013-12,169.88,177.44,164.77,177.26,55754759,GS
11,2014-01,176.95,181.13,163.3,164.12,67803639,GS
12,2014-02,165.15,167.82,159.77,166.45,71836601,GS
13,2014-03,164.22,175.59,160.77,163.85,69525175,GS
14,2014-04,164.76,167.67,151.65,159.82,78706587,GS
15,2014-05,159.8,163.43,153.71,159.81,51127864,GS
16,2014-06,159.78,171.08,157.91,167.44,48320731,GS
17,2014-07,166.35,182.07,161.53,172.87,60228378,GS
18,2014-08,172.38,179.86,168.02,179.11,46054824,GS
19,2014-09,179.26,188.58,176.62,183.57,52445485,GS
20,2014-10,183.19,190.89,171.26,189.99,82477329,GS
21,2014-11,190.35,192.68,187.5505,188.41,40127790,GS
22,2014-12,188.0,198.06,182.4,193.83,70273400,GS
23,2015-01,195.3,195.73,172.32,172.41,64122621,GS
24,2015-02,172.99,193.28,172.26,189.79,50150221,GS
25,2015-03,190.0,194.25,182.71,187.97,50310718,GS
26,2015-04,187.94,202.87,186.96,196.42,55748192,GS
27,2015-05,198.45,209.68,194.01,206.19,46697057,GS
28,2015-06,207.32,218.77,205.65400000000002,208.79,57901759,GS
29,2015-07,211.63,214.61,203.2,205.07,51974351,GS
30,2015-08,205.75,207.78,172.1,188.6,65697395,GS
31,2015-09,184.24,191.75,167.49,173.76,75964059,GS
32,2015-10,174.4,191.96,169.87,187.5,68721234,GS
33,2015-11,188.32,199.9,186.56,190.02,50699168,GS
34,2015-12,191.22,193.84,172.9,180.23,65471492,GS
35,2016-01,175.79,177.5,151.12,161.56,100189651,GS
36,2016-02,160.41,161.0,139.05,149.53,123725006,GS
37,2016-03,150.95,158.9,148.75,156.98,88703932,GS
38,2016-04,156.46,168.9,149.37,164.11,71372739,GS
39,2016-05,165.08,167.19,153.7401,159.48,58435370,GS
40,2016-06,157.9,160.55,138.2,148.58,84310664,GS
41,2016-07,148.49,164.09,142.6241,158.81,65795544,GS
42,2016-08,158.81,170.24,155.37,169.46,50549406,GS
43,2016-09,170.0,172.42,157.77,161.27,55356918,GS
44,2016-10,160.5,178.85,160.25,178.24,58812737,GS
45,2016-11,179.0,220.77,174.73,219.29,90434698,GS
46,2016-12,220.93,245.57,220.35,239.45,96096626,GS
47,2017-01,242.7,247.77,228.16,229.32,83813958,GS
48,2017-02,230.51,252.65,227.05,248.06,65168186,GS
49,2017-03,253.71,255.15,220.85,229.72,90321490,GS
50,2017-04,230.0,232.89,213.18,223.8,81430833,GS
51,2017-05,224.9,228.89,209.62,211.26,71770890,GS
52,2017-06,212.61,228.79,210.79,221.9,74347460,GS
53,2017-07,224.46,230.64,218.0,225.33,63163524,GS
54,2017-08,227.09,235.83,215.75,223.74,60429884,GS
55,2017-09,224.55,237.6,214.64,237.19,55578356,GS
56,2017-10,237.2,247.075,235.19,242.48,58765128,GS
57,2017-11,243.89,250.79,233.55,247.64,54376242,GS
58,2017-12,249.78,262.1363,244.01,254.76,53592734,GS
59,2018-01,257.77,273.79,248.8364,267.89,80616800,GS
60,2018-02,266.15,272.59,241.5,257.1,26695569,GS
