,date,open,high,low,close,volume,Name
0,2013-02,40.87,43.96,39.485,41.51,171418416,HAL
1,2013-03,41.17,42.64,38.83,40.41,219294761,HAL
2,2013-04,40.35,42.82,36.77,42.77,283396468,HAL
3,2013-05,42.0,45.75,41.69,41.85,226115986,HAL
4,2013-06,41.93,44.47,40.12,41.72,171333092,HAL
5,2013-07,42.03,46.66,41.86,45.19,209369117,HAL
6,2013-08,45.72,49.37,45.34,48.0,242426966,HAL
7,2013-09,48.35,50.5,47.46,48.15,159279257,HAL
8,2013-10,48.11,53.9447,47.99,53.03,176423044,HAL
9,2013-11,53.17,56.52,52.04,52.68,164269471,HAL
10,2013-12,52.83,52.98,48.71,50.75,208892170,HAL
11,2014-01,50.47,51.5,47.6,49.01,188028452,HAL
12,2014-02,49.07,57.42,47.95,57.0,180104516,HAL
13,2014-03,56.29,59.99,54.57,58.89,157938887,HAL
14,2014-04,58.69,65.11,57.13,63.07,186116371,HAL
15,2014-05,63.13,64.935,61.2,64.64,117391776,HAL
16,2014-06,64.69,71.255,64.37,71.01,124066242,HAL
17,2014-07,71.27,74.33,68.51,68.99,137120295,HAL
18,2014-08,68.57,70.495,66.77,67.61,141545500,HAL
19,2014-09,68.17,68.18,63.06,64.51,160822893,HAL
20,2014-10,64.63,64.88,48.17,55.14,393416648,HAL
21,2014-11,55.5,58.0,41.87,42.2,477350454,HAL
22,2014-12,42.02,42.13,37.21,39.33,565636906,HAL
23,2015-01,39.17,42.05,37.27,39.99,387271026,HAL
24,2015-02,40.92,44.92,40.28,42.94,309079574,HAL
25,2015-03,42.56,44.43,39.27,43.88,287158522,HAL
26,2015-04,44.29,49.7,43.49,48.95,331822549,HAL
27,2015-05,48.89,50.2,44.72,45.4,241334288,HAL
28,2015-06,45.35,46.69,42.46,43.07,242643351,HAL
29,2015-07,43.23,43.71,39.315,41.79,342760421,HAL
30,2015-08,41.3,43.02,30.9301,39.35,318727963,HAL
31,2015-09,38.1,39.52,34.36,35.35,255699699,HAL
32,2015-10,35.87,41.28,34.41,38.38,266270655,HAL
33,2015-11,38.21,40.31,36.77,39.85,204010739,HAL
34,2015-12,39.5,40.52,32.13,34.04,298679494,HAL
35,2016-01,33.86,34.73,27.64,31.79,278956814,HAL
36,2016-02,31.29,33.485,27.96,32.28,224042323,HAL
37,2016-03,32.57,36.74,32.24,35.72,231521292,HAL
38,2016-04,35.07,41.93,33.26,41.31,244506589,HAL
39,2016-05,41.53,43.2,38.24,42.18,228033720,HAL
40,2016-06,41.8,46.69,41.46,45.29,219069326,HAL
41,2016-07,45.2,46.48,42.17,43.66,176324854,HAL
42,2016-08,43.42,46.9,41.4839,43.01,158241772,HAL
43,2016-09,43.01,45.08,40.12,44.88,175024883,HAL
44,2016-10,45.11,50.23,44.23,46.0,174610596,HAL
45,2016-11,46.37,54.92,45.08,53.09,188192065,HAL
46,2016-12,54.08,56.08,52.89,54.09,160394332,HAL
47,2017-01,54.96,58.78,53.92,56.57,181312688,HAL
48,2017-02,57.18,57.38,52.35,53.46,143183892,HAL
49,2017-03,53.97,55.21,47.52,49.21,204306009,HAL
50,2017-04,49.46,51.2599,45.1,45.88,151038348,HAL
51,2017-05,45.94,48.3223,43.7,45.19,219413176,HAL
52,2017-06,45.3,46.22,41.3636,42.71,233073280,HAL
53,2017-07,42.94,46.06,41.03,42.44,193153925,HAL
54,2017-08,42.5,42.95,38.181,38.97,166618166,HAL
55,2017-09,38.99,46.67,38.81,46.03,189692560,HAL
56,2017-10,45.23,45.87,40.96,42.74,174496571,HAL
57,2017-11,43.15,45.9299,40.72,41.78,155191434,HAL
58,2017-12,41.87,49.29,41.85,48.87,171626156,HAL
59,2018-01,48.92,57.86,48.72,53.7,207405316,HAL
60,2018-02,53.63,54.695,48.57,49.69,54784450,HAL
