,date,open,high,low,close,volume,Name
0,2013-02,7.15,7.24,6.75,7.03,170050872,HBAN
1,2013-03,7.0,7.55,6.94,7.37,201205295,HBAN
2,2013-04,7.4,7.51,6.82,7.17,210762433,HBAN
3,2013-05,7.15,7.95,7.05,7.75,192520588,HBAN
4,2013-06,7.75,7.96,7.38,7.87,207244718,HBAN
5,2013-07,7.95,8.66,7.9,8.55,251529040,HBAN
6,2013-08,8.6,8.78,8.14,8.24,171217922,HBAN
7,2013-09,8.33,8.74,8.1,8.26,211993354,HBAN
8,2013-10,8.3,9.06,8.04,8.8,236152071,HBAN
9,2013-11,8.88,9.25,8.635,9.17,173553296,HBAN
10,2013-12,9.17,9.73,8.92,9.65,179493446,HBAN
11,2014-01,9.6,9.91,9.07,9.07,227013684,HBAN
12,2014-02,9.02,9.59,8.66,9.53,209580144,HBAN
13,2014-03,9.5,10.11,9.44,9.97,196289584,HBAN
14,2014-04,10.02,10.29,8.99,9.16,271152269,HBAN
15,2014-05,9.18,9.47,8.89,9.27,182057059,HBAN
16,2014-06,9.28,9.72,9.21,9.54,154672055,HBAN
17,2014-07,9.56,10.01,9.29,9.82,183115608,HBAN
18,2014-08,9.78,9.95,9.41,9.84,135591931,HBAN
19,2014-09,9.89,10.3,9.66,9.73,156785084,HBAN
20,2014-10,9.73,9.91,8.8,9.91,226076429,HBAN
21,2014-11,9.95,10.34,9.78,10.11,177889608,HBAN
22,2014-12,10.11,10.74,9.91,10.52,179153366,HBAN
23,2015-01,10.6,10.6,9.63,10.02,223782128,HBAN
24,2015-02,10.09,11.02,9.98,10.94,173526006,HBAN
25,2015-03,10.91,11.3,10.68,11.05,187782362,HBAN
26,2015-04,11.03,11.32,10.67,10.86,194812449,HBAN
27,2015-05,10.96,11.49,10.805,11.13,158799679,HBAN
28,2015-06,11.15,11.72,10.94,11.31,208220791,HBAN
29,2015-07,11.44,11.9,11.01,11.67,181523946,HBAN
30,2015-08,11.7,11.88,10.0,10.91,201704498,HBAN
31,2015-09,10.7,11.05,10.16,10.6,184934587,HBAN
32,2015-10,10.62,11.44,10.21,10.97,196753734,HBAN
33,2015-11,11.04,11.79,11.0,11.69,147780489,HBAN
34,2015-12,11.75,11.87,10.68,11.06,222048402,HBAN
35,2016-01,10.76,10.81,7.83,8.58,436939860,HBAN
36,2016-02,8.56,8.99,7.945,8.75,321555602,HBAN
37,2016-03,8.85,9.86,8.8,9.54,259450226,HBAN
38,2016-04,9.51,10.36,9.22,10.06,238208422,HBAN
39,2016-05,10.14,10.65,9.62,10.45,196999495,HBAN
40,2016-06,10.33,10.6,8.045,8.94,301312486,HBAN
41,2016-07,8.89,9.535,8.23,9.5,184582336,HBAN
42,2016-08,9.54,10.01,9.205,10.01,394288547,HBAN
43,2016-09,10.05,10.11,9.52,9.86,252551631,HBAN
44,2016-10,9.83,10.86,9.57,10.6,229899914,HBAN
45,2016-11,10.65,12.675,10.07,12.46,347196836,HBAN
46,2016-12,12.6,13.64,12.545,13.22,316612951,HBAN
47,2017-01,13.46,14.17,12.86,13.53,242792703,HBAN
48,2017-02,13.7,14.34,13.16,14.14,170613106,HBAN
49,2017-03,14.48,14.74,12.37,13.39,277845049,HBAN
50,2017-04,13.52,13.52,12.52,12.86,209540431,HBAN
51,2017-05,12.94,13.33,12.225,12.54,182658980,HBAN
52,2017-06,12.6,13.785,12.32,13.52,204649906,HBAN
53,2017-07,13.64,13.92,12.9,13.25,203410684,HBAN
54,2017-08,13.34,13.56,12.47,12.59,164312473,HBAN
55,2017-09,12.63,14.05,12.14,13.96,189770411,HBAN
56,2017-10,14.01,14.265,13.6,13.8,167062135,HBAN
57,2017-11,13.94,14.77,13.04,14.4,173675830,HBAN
58,2017-12,14.45,14.93,13.92,14.56,181737407,HBAN
59,2018-01,14.71,16.325,14.49,16.18,230424487,HBAN
60,2018-02,16.14,16.53,15.09,15.64,90184577,HBAN
