,date,open,high,low,close,volume,Name
0,2013-02,37.3,37.67,34.9,37.09,86862805,HCA
1,2013-03,37.0,40.92,36.28,40.63,76537694,HCA
2,2013-04,40.5,41.827,35.55,39.89,104807328,HCA
3,2013-05,39.75,41.799,36.67,39.06,69731996,HCA
4,2013-06,39.13,40.48,35.4,36.06,88838115,HCA
5,2013-07,36.41,40.13,35.2,39.0,77230434,HCA
6,2013-08,39.0,39.96,37.7537,38.19,50611495,HCA
7,2013-09,38.31,43.11,38.305,42.75,61078607,HCA
8,2013-10,42.81,49.5198,42.598,47.14,96712105,HCA
9,2013-11,47.36,47.74,43.2,46.42,70250612,HCA
10,2013-12,46.28,47.98,45.07,47.71,46781382,HCA
11,2014-01,47.39,51.76,47.26,50.27,62708538,HCA
12,2014-02,50.45,52.23,46.02,51.2,47785690,HCA
13,2014-03,50.71,52.68,47.165,52.5,56007702,HCA
14,2014-04,52.54,53.81,47.785,52.0,67591240,HCA
15,2014-05,52.0,54.0,50.69,52.99,55113785,HCA
16,2014-06,53.1,58.55,52.37,56.38,60894276,HCA
17,2014-07,56.73,66.71,53.61,65.31,83816497,HCA
18,2014-08,65.09,70.07,64.77,69.82,58272112,HCA
19,2014-09,70.0,73.94,67.42,70.52,53995146,HCA
20,2014-10,70.52,72.85,62.5,70.05,99910060,HCA
21,2014-11,70.34,72.54,62.75,69.69,97974844,HCA
22,2014-12,69.91,75.82,68.01,73.39,68034781,HCA
23,2015-01,73.94,76.18,67.05,70.8,156019314,HCA
24,2015-02,71.04,72.57,66.63,71.54,78060252,HCA
25,2015-03,71.79,78.44,70.07,75.23,80609657,HCA
26,2015-04,75.7,80.2,73.65,74.01,66899588,HCA
27,2015-05,74.31,83.875,73.02,81.83,66047665,HCA
28,2015-06,82.39,93.09,80.25,90.72,86247991,HCA
29,2015-07,91.2,95.48899999999999,90.01,93.01,62039421,HCA
30,2015-08,92.88,94.41,43.91,86.62,61469518,HCA
31,2015-09,84.89,88.46,71.34,77.36,76955406,HCA
32,2015-10,77.32,81.39,64.04,68.79,122303820,HCA
33,2015-11,68.96,70.72,64.67,68.06,80229494,HCA
34,2015-12,68.77,72.3,63.32,67.63,75737461,HCA
35,2016-01,65.69,71.27,60.07,69.58,92314451,HCA
36,2016-02,69.45,72.71,63.87,69.21,71627084,HCA
37,2016-03,69.67,79.0,69.48,78.05,61371479,HCA
38,2016-04,77.82,83.69,77.11,80.62,66656092,HCA
39,2016-05,80.6,82.0,75.69,78.02,59749694,HCA
40,2016-06,77.65,81.28,73.82,77.01,47871583,HCA
41,2016-07,76.92,81.79,74.1,77.13,50493563,HCA
42,2016-08,77.0,77.8,73.24,75.55,56981200,HCA
43,2016-09,75.59,79.28,74.05,75.63,52935903,HCA
44,2016-10,75.17,82.37,73.86,76.53,61015114,HCA
45,2016-11,76.8,81.27,67.0,70.89,102424317,HCA
46,2016-12,70.93,75.58,70.0,74.02,47407198,HCA
47,2017-01,74.36,82.2,73.52,80.28,50032179,HCA
48,2017-02,80.84,87.97,80.73,87.24,39254954,HCA
49,2017-03,87.95,91.03,81.36,88.99,65805996,HCA
50,2017-04,88.97,89.8,82.72,84.21,40355823,HCA
51,2017-05,84.21,85.925,81.1,81.91,39816069,HCA
52,2017-06,82.03,87.88,81.65,87.2,40586027,HCA
53,2017-07,87.48,87.9851,79.53,80.34,41295381,HCA
54,2017-08,80.46,80.9,76.85,78.66,43065489,HCA
55,2017-09,78.86,80.38,75.56,79.59,45121472,HCA
56,2017-10,79.79,81.77,71.18,75.65,69469398,HCA
57,2017-11,75.73,86.04,74.26,85.0,52136231,HCA
58,2017-12,84.68,90.29,82.08,87.84,47267460,HCA
59,2018-01,88.0,106.84,84.92,101.16,52973901,HCA
60,2018-02,100.75,103.57,94.11,98.4,13530770,HCA
