,date,open,high,low,close,volume,Name
0,2013-02,62.08,64.87,61.86,64.14,28893126,HCN
1,2013-03,63.7,67.92,63.41,67.91,33485575,HCN
2,2013-04,67.6,74.98,67.6,74.97,35463817,HCN
3,2013-05,74.82,80.07,67.99,68.03,70216180,HCN
4,2013-06,67.38,68.94,61.62,67.03,48573193,HCN
5,2013-07,67.56,68.795,63.25,64.49,36263356,HCN
6,2013-08,64.67,64.85,58.16,61.44,46730244,HCN
7,2013-09,61.8,66.08,59.88,62.38,32296585,HCN
8,2013-10,62.38,66.76,61.28,64.85,37202235,HCN
9,2013-11,64.9,65.4,55.9,55.99,35392522,HCN
10,2013-12,56.16,56.24,52.425,53.57,43559556,HCN
11,2014-01,53.15,58.11,52.9,57.92,50728974,HCN
12,2014-02,57.82,59.08,55.87,58.74,34014249,HCN
13,2014-03,58.47,59.93,56.45,59.6,35606337,HCN
14,2014-04,59.66,63.36,58.91,63.09,33197258,HCN
15,2014-05,63.02,65.25,62.1,63.23,48434176,HCN
16,2014-06,63.25,64.94,61.51,62.67,55365659,HCN
17,2014-07,62.27,64.86,61.42,63.63,36382295,HCN
18,2014-08,64.55,67.72,62.8156,67.58,37690433,HCN
19,2014-09,67.83,68.36,62.23,62.37,59019756,HCN
20,2014-10,62.53,71.43,62.05,71.11,54533235,HCN
21,2014-11,71.31,74.38,69.98,73.66,37448515,HCN
22,2014-12,73.53,78.17,73.22,75.67,46475282,HCN
23,2015-01,76.05,84.88,75.31,81.95,48282459,HCN
24,2015-02,81.82,82.05,75.65,77.11,62459628,HCN
25,2015-03,77.44,80.35,73.2,77.36,58570564,HCN
26,2015-04,77.46,79.6,71.5301,72.02,35326112,HCN
27,2015-05,72.25,73.16,69.77,70.26,41140355,HCN
28,2015-06,70.42,71.47,65.48,65.63,51435665,HCN
29,2015-07,66.0,70.19,65.37,69.37,45671844,HCN
30,2015-08,69.31,70.22,62.99,63.35,58868036,HCN
31,2015-09,62.58,68.48,61.0,67.72,47190281,HCN
32,2015-10,68.0,71.25,64.05,64.87,45770997,HCN
33,2015-11,64.74,66.14,58.185,63.19,58887343,HCN
34,2015-12,63.65,68.76,62.275,68.03,49823750,HCN
35,2016-01,67.77,70.45,60.33,62.22,61652091,HCN
36,2016-02,61.9,64.4,52.8,63.78,70761749,HCN
37,2016-03,64.15,69.94,64.0,69.34,51053111,HCN
38,2016-04,68.38,71.33,66.55,69.42,37134243,HCN
39,2016-05,69.68,74.96,67.52,68.91,57059253,HCN
40,2016-06,68.75,76.24,68.6,76.17,58142896,HCN
41,2016-07,76.15,79.99,74.28,79.33,32743645,HCN
42,2016-08,79.32,80.19,75.14,76.75,39745225,HCN
43,2016-09,76.75,78.19,72.34,74.77,46947184,HCN
44,2016-10,74.46,74.85,67.62,68.53,38014410,HCN
45,2016-11,68.28,68.54,59.39,62.78,63158596,HCN
46,2016-12,62.54,67.2,61.08,66.93,45511611,HCN
47,2017-01,67.11,68.857,65.6757,66.3,38206775,HCN
48,2017-02,66.15,70.73,64.63,70.38,35130264,HCN
49,2017-03,69.75,71.14,65.26,70.82,47880405,HCN
50,2017-04,70.82,74.5,70.44,71.44,36470260,HCN
51,2017-05,71.53,73.93,68.66,72.54,39581602,HCN
52,2017-06,72.38,78.17,71.79,74.85,37837444,HCN
53,2017-07,75.14,75.91,72.08,73.39,26134740,HCN
54,2017-08,72.2,73.41,69.85,73.22,33896006,HCN
55,2017-09,73.23,75.58,69.77,70.28,36601275,HCN
56,2017-10,70.87,70.87,65.4,66.96,37447631,HCN
57,2017-11,67.0,69.8,66.64,67.46,35867939,HCN
58,2017-12,67.71,68.22,63.06,63.77,44931432,HCN
59,2018-01,63.91,64.68,58.24,59.97,55088723,HCN
60,2018-02,60.0,60.29,55.29,56.55,16144934,HCN
