,date,open,high,low,close,volume,Name
0,2013-02,66.69,68.96,63.4,66.5,53546034,HES
1,2013-03,66.04,72.63,65.18,71.61,74053846,HES
2,2013-04,71.57,74.48,65.67,72.18,66499100,HES
3,2013-05,71.62,73.91,66.33,67.41,83758649,HES
4,2013-06,67.58,69.38,61.32,66.49,59298729,HES
5,2013-07,66.82,75.8,66.23,74.46,55476386,HES
6,2013-08,75.38,77.0499,72.38,74.85,55469388,HES
7,2013-09,75.92,80.41,75.35,77.34,48888938,HES
8,2013-10,76.97,85.15,76.83,81.2,71918841,HES
9,2013-11,81.22,84.3308,78.68,81.13,47021757,HES
10,2013-12,81.01,83.54,77.52,83.0,48180302,HES
11,2014-01,82.95,83.0,74.88,75.49,56459868,HES
12,2014-02,75.45,82.48,73.36,80.03,59718451,HES
13,2014-03,79.48,83.56,79.3,82.88,43430431,HES
14,2014-04,82.93,90.29,82.52,89.16,55906112,HES
15,2014-05,89.01,91.92,86.96,91.3,47943894,HES
16,2014-06,91.69,99.095,90.81,98.89,45888315,HES
17,2014-07,99.3,104.5,97.4,98.98,52265758,HES
18,2014-08,97.95,101.23,96.93,101.1,39789744,HES
19,2014-09,101.0,101.96,93.57,94.32,44711731,HES
20,2014-10,93.94,94.58,72.86,84.81,94067275,HES
21,2014-11,85.14,86.25,72.8,72.93,69973755,HES
22,2014-12,72.28,77.46,63.8,73.82,97956206,HES
23,2015-01,73.19,74.82,63.81,67.49,70342983,HES
24,2015-02,68.84,77.63,68.47800000000001,75.08,62689179,HES
25,2015-03,74.8,75.14,67.15,67.87,63195063,HES
26,2015-04,68.48,79.0,68.27199999999999,76.9,56236438,HES
27,2015-05,77.04,77.28,66.42,67.52,53155388,HES
28,2015-06,67.18,70.67,64.84,66.88,62172641,HES
29,2015-07,66.91,67.18,57.18,59.01,68082414,HES
30,2015-08,58.21,60.0,49.86,59.45,71881052,HES
31,2015-09,57.27,59.28,47.84,50.06,65111614,HES
32,2015-10,50.81,63.21,49.64,56.21,73861849,HES
33,2015-11,55.74,64.08,55.69,59.0,57183552,HES
34,2015-12,59.32,59.64,47.04,48.48,80480756,HES
35,2016-01,48.4,49.85,32.405,42.5,137119808,HES
36,2016-02,41.38,45.16,36.95,43.6,189917324,HES
37,2016-03,43.79,54.83,42.56,52.65,112763424,HES
38,2016-04,51.41,63.76,49.5201,59.62,102878715,HES
39,2016-05,59.56,62.0,53.93,59.93,74387881,HES
40,2016-06,58.8,63.0,51.82,60.1,78267077,HES
41,2016-07,60.01,61.54,50.55,53.65,74794268,HES
42,2016-08,52.67,57.89,50.31,54.3,82607332,HES
43,2016-09,53.75,54.35,45.37,53.62,122200003,HES
44,2016-10,53.57,54.665,47.81,47.97,78895117,HES
45,2016-11,48.52,56.93,46.06,55.96,90027200,HES
46,2016-12,57.79,65.5596,55.72,62.29,83085584,HES
47,2017-01,63.38,64.4,53.0,54.18,98044371,HES
48,2017-02,54.63,54.96,50.43,51.44,69813359,HES
49,2017-03,51.9,52.3,45.12,48.21,87662016,HES
50,2017-04,48.37,52.1,46.35,48.83,87208028,HES
51,2017-05,48.64,51.26,45.13,45.89,82040282,HES
52,2017-06,46.08,47.26,39.89,43.87,110277529,HES
53,2017-07,44.19,46.59,41.01,44.54,79528073,HES
54,2017-08,42.72,44.55,37.25,38.9,81622312,HES
55,2017-09,38.98,47.68,38.505,46.89,82409991,HES
56,2017-10,46.07,46.79,40.26,44.16,94964980,HES
57,2017-11,44.7,48.73,42.72,45.88,83623843,HES
58,2017-12,46.25,48.75,42.35,47.47,82468824,HES
59,2018-01,47.97,55.48,47.023999999999994,50.51,91395985,HES
60,2018-02,50.57,51.32,43.48,44.11,28012965,HES
