,date,open,high,low,close,volume,Name
0,2013-02,44.81,48.52,44.27,48.04,3942449,HII
1,2013-03,47.78,54.22,47.18,53.33,5085037,HII
2,2013-04,53.52,54.16,49.73,52.9,4673197,HII
3,2013-05,52.73,56.72,51.4273,55.22,4031536,HII
4,2013-06,55.33,57.7,52.41,56.48,4469269,HII
5,2013-07,56.82,63.79,56.14,62.18,4360332,HII
6,2013-08,62.96,66.41,62.13,63.32,4526025,HII
7,2013-09,64.27,69.81,63.29,67.4,6006330,HII
8,2013-10,67.25,73.23,66.7,71.55,7868898,HII
9,2013-11,71.69,83.08,71.06,82.23,6758955,HII
10,2013-12,82.56,93.04,79.24,90.01,8877921,HII
11,2014-01,89.63,97.95,87.42,95.02,9628785,HII
12,2014-02,95.07,102.58,88.94,101.33,7952810,HII
13,2014-03,100.17,106.59,97.86,102.26,8942343,HII
14,2014-04,102.34,105.34,97.14,103.0,6457887,HII
15,2014-05,102.97,105.0,94.87,99.83,8360509,HII
16,2014-06,99.54,103.93,93.0,94.59,7360006,HII
17,2014-07,95.01,95.99,90.43,90.92,7232557,HII
18,2014-08,90.53,105.12,88.62,102.11,5507737,HII
19,2014-09,102.26,108.225,100.54,104.21,5258505,HII
20,2014-10,103.8,108.57,90.455,105.82,7670775,HII
21,2014-11,105.35,110.45,100.0,108.97,4733059,HII
22,2014-12,108.2,116.29,102.52,112.46,4879199,HII
23,2015-01,112.49,120.79,109.42,116.6,5885078,HII
24,2015-02,116.72,143.86,114.61,141.33,7870816,HII
25,2015-03,140.31,144.0,136.15,140.15,7100334,HII
26,2015-04,139.93,142.9895,131.32,131.59,4719379,HII
27,2015-05,132.06,136.24,116.9,123.99,8653902,HII
28,2015-06,124.92,124.92,111.38,112.59,7367456,HII
29,2015-07,113.57,118.305,110.5,117.41,5736042,HII
30,2015-08,117.03,128.22,102.76,112.58,8264143,HII
31,2015-09,110.9,117.26,103.43,107.15,6211284,HII
32,2015-10,106.85,121.01,103.58,119.94,5917086,HII
33,2015-11,120.3,136.55,117.9,130.92,7052918,HII
34,2015-12,131.19,133.8697,124.9,126.85,5365694,HII
35,2016-01,124.97,130.28,118.2,127.88,7867423,HII
36,2016-02,126.65,135.72,122.91,131.06,8230687,HII
37,2016-03,132.45,140.7,129.526,136.94,6124572,HII
38,2016-04,136.0,146.9,135.505,144.77,6100219,HII
39,2016-05,144.93,157.39,143.34,153.41,6965146,HII
40,2016-06,152.82,168.03,152.82,168.03,7309829,HII
41,2016-07,169.34,176.26,167.11,172.58,5445774,HII
42,2016-08,172.25,177.1023,162.54,165.17,6679574,HII
43,2016-09,165.17,167.475,149.07,153.42,6468173,HII
44,2016-10,153.25,161.97,151.67,161.36,5178423,HII
45,2016-11,161.67,182.74,146.52,178.76,13267946,HII
46,2016-12,178.91,189.17,174.07,184.19,9369417,HII
47,2017-01,185.0,197.28,184.805,193.96,8308283,HII
48,2017-02,194.97,219.8,189.81,218.5,7895370,HII
49,2017-03,218.51,220.6799,200.23,200.24,9763103,HII
50,2017-04,200.08,207.76,197.5,200.89,6133489,HII
51,2017-05,200.85,201.86,183.61,195.81,7908496,HII
52,2017-06,196.84,198.4327,183.42,186.16,7906469,HII
53,2017-07,186.36,207.1,185.92,206.11,6082804,HII
54,2017-08,206.26,218.49,203.26,213.96,5917821,HII
55,2017-09,214.39,227.03,207.54,226.44,5180562,HII
56,2017-10,227.49,236.94,226.65,232.83,5370798,HII
57,2017-11,233.18,253.44,232.17,241.67,5743124,HII
58,2017-12,241.67,241.7499,232.59,235.7,6126828,HII
59,2018-01,235.46,249.38,225.77,237.54,19982889,HII
60,2018-02,237.63,245.38,221.71,234.82,2735676,HII
