,date,open,high,low,close,volume,Name
0,2017-01,57.3,59.755,55.0,57.58,61341901,HLT
1,2017-02,57.93,60.49,57.05,57.2,41797370,HLT
2,2017-03,57.89,59.44,55.79,58.46,46296925,HLT
3,2017-04,57.87,61.02,55.91,58.97,44980790,HLT
4,2017-05,59.4,66.585,58.9,66.47,54855029,HLT
5,2017-06,66.71,67.79,61.66,61.85,119400307,HLT
6,2017-07,61.98,64.66,60.62,62.53,58505449,HLT
7,2017-08,62.31,64.8,60.54,64.33,50644321,HLT
8,2017-09,64.7,69.74,62.9,69.45,43784404,HLT
9,2017-10,69.25,72.93,68.6,72.28,50269802,HLT
10,2017-11,72.93,77.79,71.63,77.56,39043505,HLT
11,2017-12,77.27,80.94,76.01,79.86,36088135,HLT
12,2018-01,80.28,88.11,78.91,85.65,37636774,HLT
13,2018-02,85.33,86.285,77.78,82.02,15405861,HLT
