,date,open,high,low,close,volume,Name
0,2015-10,10.51,12.6,10.51,12.13,7705160,HPQ
1,2015-11,12.47,14.82,12.26,12.54,484700267,HPQ
2,2015-12,12.63,12.77,11.3,11.84,452842061,HPQ
3,2016-01,11.58,11.78,9.24,9.71,397379163,HPQ
4,2016-02,9.65,10.99,8.91,10.69,338586913,HPQ
5,2016-03,10.84,12.39,10.67,12.32,315014663,HPQ
6,2016-04,12.21,12.96,11.78,12.27,296480936,HPQ
7,2016-05,12.26,13.38,11.31,13.38,261339144,HPQ
8,2016-06,13.32,13.9,11.48,12.55,281040893,HPQ
9,2016-07,12.55,14.27,12.04,14.01,240444605,HPQ
10,2016-08,14.06,14.73,13.55,14.37,293288543,HPQ
11,2016-09,14.39,15.73,13.78,15.53,225813631,HPQ
12,2016-10,15.46,15.88,13.77,14.49,255445484,HPQ
13,2016-11,14.51,16.19,14.12,15.4,295346040,HPQ
14,2016-12,15.41,16.25,14.77,14.84,203159900,HPQ
15,2017-01,14.95,15.35,14.4,15.05,261720266,HPQ
16,2017-02,15.12,17.81,14.84,17.37,285657908,HPQ
17,2017-03,17.65,17.96,17.03,17.88,231774993,HPQ
18,2017-04,17.93,18.83,17.28,18.82,193840777,HPQ
19,2017-05,18.85,19.58,18.21,18.76,227719792,HPQ
20,2017-06,18.74,19.16,17.14,17.48,255540931,HPQ
21,2017-07,17.59,19.58,17.1,19.1,192674090,HPQ
22,2017-08,19.19,19.78,18.36,19.08,253962433,HPQ
23,2017-09,19.08,20.125,19.07,19.96,173808872,HPQ
24,2017-10,19.94,22.3059,19.94,21.55,226196289,HPQ
25,2017-11,21.6,22.68,20.59,21.45,237704604,HPQ
26,2017-12,21.38,21.73,20.66,21.01,178802810,HPQ
27,2018-01,21.18,24.1,21.0,23.32,178235826,HPQ
28,2018-02,23.22,23.475,20.01,21.21,62073794,HPQ
