,date,open,high,low,close,volume,Name
0,2013-02,24.07,25.225,23.96,24.86,54317038,HRB
1,2013-03,24.83,29.43,24.57,29.42,99341326,HRB
2,2013-04,29.46,29.68,26.58,27.74,70169630,HRB
3,2013-05,27.62,30.23,27.28,29.27,59614647,HRB
4,2013-06,29.33,30.05,27.24,27.75,50950044,HRB
5,2013-07,27.87,31.75,27.51,31.43,47822115,HRB
6,2013-08,31.66,32.09,27.82,27.91,27075772,HRB
7,2013-09,28.27,28.49,25.98,26.66,58802515,HRB
8,2013-10,27.2399,29.48,26.6,28.44,58448350,HRB
9,2013-11,28.54,29.73,27.13,27.89,31448203,HRB
10,2013-12,27.92,29.7,27.19,29.04,48277773,HRB
11,2014-01,28.99,30.53,27.93,30.4,67708860,HRB
12,2014-02,30.35,32.42,29.08,31.64,54739547,HRB
13,2014-03,31.32,32.25,28.51,30.19,69076793,HRB
14,2014-04,30.4,31.2199,26.92,28.42,74518928,HRB
15,2014-05,28.44,29.8,27.23,29.78,47678077,HRB
16,2014-06,29.77,33.6504,29.19,33.52,56523913,HRB
17,2014-07,32.9,33.44,31.93,32.13,44612031,HRB
18,2014-08,32.17,33.92,31.64,33.53,30145577,HRB
19,2014-09,33.72,33.84,30.73,31.01,45431428,HRB
20,2014-10,30.9,33.09,27.42,32.31,71164550,HRB
21,2014-11,32.41,33.68,31.77,33.64,25120272,HRB
22,2014-12,33.62,35.09,31.4144,33.68,56677927,HRB
23,2015-01,33.79,35.0,31.96,34.28,39692815,HRB
24,2015-02,34.34,35.8,33.85,34.15,39930283,HRB
25,2015-03,34.2,34.46,31.48,32.07,58876008,HRB
26,2015-04,32.0,32.85,30.1,30.24,44628836,HRB
27,2015-05,30.37,32.41,30.07,31.73,44613357,HRB
28,2015-06,31.77,32.86,29.42,29.65,63286147,HRB
29,2015-07,29.9,34.62,29.15,33.29,59460843,HRB
30,2015-08,33.27,36.29,31.03,34.02,65752159,HRB
31,2015-09,34.54,36.31,32.695,36.2,89272459,HRB
32,2015-10,36.25,37.5,34.4,37.26,81933389,HRB
33,2015-11,37.3,37.53,35.55,36.69,45649669,HRB
34,2015-12,36.97,37.35,32.05,33.31,80900932,HRB
35,2016-01,32.73,34.07,31.0,34.05,48167797,HRB
36,2016-02,33.8,35.14,32.73,32.88,49356287,HRB
37,2016-03,33.17,33.25,26.17,26.42,106578721,HRB
38,2016-04,26.38,26.59,19.75,20.24,102672648,HRB
39,2016-05,20.38,21.4,19.18,21.36,71090044,HRB
40,2016-06,21.35,24.345,20.78,23.0,116500344,HRB
41,2016-07,23.0,24.53,22.84,23.79,50568273,HRB
42,2016-08,23.75,24.95,20.58,21.66,61675470,HRB
43,2016-09,21.7,23.24,20.965,23.15,59425367,HRB
44,2016-10,23.06,23.72,22.525,22.97,36183448,HRB
45,2016-11,23.06,24.06,20.905,22.16,59082629,HRB
46,2016-12,21.99,23.86,21.45,22.99,71672807,HRB
47,2017-01,23.09,24.02,21.23,21.46,34863096,HRB
48,2017-02,21.55,21.705,19.85,20.56,64786651,HRB
49,2017-03,20.78,24.59,20.41,23.25,108030589,HRB
50,2017-04,23.25,24.815,22.815,24.79,69257690,HRB
51,2017-05,24.79,26.92,24.55,26.54,50309624,HRB
52,2017-06,26.56,31.61,26.01,30.91,88245896,HRB
53,2017-07,31.06,31.7,29.6704,30.5,53073766,HRB
54,2017-08,30.57,31.8,26.54,26.74,63641039,HRB
55,2017-09,26.85,27.26,25.45,26.48,57079981,HRB
56,2017-10,26.39,26.93,24.585,24.74,54563727,HRB
57,2017-11,24.81,26.37,23.5946,26.18,56318516,HRB
58,2017-12,26.02,29.159000000000002,24.98,26.22,67175073,HRB
59,2018-01,26.45,28.355,25.6,26.54,58090131,HRB
60,2018-02,26.52,26.61,23.8,25.74,17525381,HRB
