,date,open,high,low,close,volume,Name
0,2013-02,46.69,48.49,46.27,48.07,11809565,HRS
1,2013-03,47.85,48.17,43.7,46.34,20014749,HRS
2,2013-04,46.29,46.66,41.08,46.2,24682506,HRS
3,2013-05,45.92,51.4599,45.2,50.13,18436751,HRS
4,2013-06,50.23,50.7,47.69,49.25,13107338,HRS
5,2013-07,49.68,57.7,48.75,57.07,15338632,HRS
6,2013-08,57.36,58.5,55.46,56.63,14269077,HRS
7,2013-09,57.32,59.75,56.5,59.3,13243528,HRS
8,2013-10,59.04,62.81,57.205,61.96,14907696,HRS
9,2013-11,62.0,65.87,61.28,64.51,11205359,HRS
10,2013-12,64.62,70.73,63.65,69.81,12703348,HRS
11,2014-01,69.63,72.33,67.014,69.34,16813790,HRS
12,2014-02,69.34,74.23,66.34,73.82,14469403,HRS
13,2014-03,73.03,75.3299,71.78,73.16,11859653,HRS
14,2014-04,73.25,75.26,68.63,73.52,11136038,HRS
15,2014-05,73.34,79.32,72.74,77.25,11730565,HRS
16,2014-06,77.25,77.9,74.55,75.75,10842728,HRS
17,2014-07,76.0,76.5,66.85,68.27,15345130,HRS
18,2014-08,68.47,71.9,68.1,71.39,10234934,HRS
19,2014-09,71.26,71.58,66.4,66.4,9978017,HRS
20,2014-10,66.34,71.53,60.78,69.6,14323305,HRS
21,2014-11,69.7,72.1299,69.55,71.67,9630796,HRS
22,2014-12,71.6,74.27,68.31,71.82,16364319,HRS
23,2015-01,72.35,72.57,66.57,67.13,11930542,HRS
24,2015-02,67.54,78.91,66.15,77.68,24932419,HRS
25,2015-03,77.71,79.35,69.84,78.76,30683109,HRS
26,2015-04,78.5,82.79,77.77,80.24,22998397,HRS
27,2015-05,80.77,81.43,77.17,79.22,23586783,HRS
28,2015-06,79.92,80.67,76.35,76.91,18373927,HRS
29,2015-07,77.53,83.33,75.66,82.94,17859397,HRS
30,2015-08,82.75,84.777,72.49,76.82,20225171,HRS
31,2015-09,75.42,77.64,70.1,73.15,20958506,HRS
32,2015-10,72.99,80.1,71.89,79.13,18559092,HRS
33,2015-11,79.3,83.95,77.0,83.13,17912643,HRS
34,2015-12,83.41,89.78,81.64,86.9,20845965,HRS
35,2016-01,86.4,89.35,81.57,86.97,28131454,HRS
36,2016-02,86.08,87.14,70.97,78.02,30517908,HRS
37,2016-03,78.77,81.89,76.73,77.86,22757933,HRS
38,2016-04,77.39,80.87,74.65,80.01,20620155,HRS
39,2016-05,80.13,80.95,73.32,78.77,21214571,HRS
40,2016-06,78.35,84.75,78.255,83.44,22113738,HRS
41,2016-07,83.5,86.77,80.78,86.62,11499910,HRS
42,2016-08,86.48,93.06,85.41,92.98,17242795,HRS
43,2016-09,93.22,94.09,88.90700000000001,91.61,14981332,HRS
44,2016-10,91.31,93.39,88.89,89.21,11579261,HRS
45,2016-11,92.28,105.93,90.95,103.56,19859836,HRS
46,2016-12,104.06,107.54,102.09,102.47,13453040,HRS
47,2017-01,103.38,104.71,99.13,102.71,10993672,HRS
48,2017-02,102.82,111.67,100.7907,109.9,19282384,HRS
49,2017-03,110.8,112.995,109.2,111.27,17174898,HRS
50,2017-04,111.38,113.58,109.01,111.89,15981337,HRS
51,2017-05,111.56,112.23,106.18,112.16,20869580,HRS
52,2017-06,112.26,114.32,107.78,109.08,19751575,HRS
53,2017-07,109.8,116.09,109.08,114.47,14584575,HRS
54,2017-08,117.26,123.26,115.95100000000001,122.9,14852890,HRS
55,2017-09,123.52,132.0,121.38,131.68,13824914,HRS
56,2017-10,131.82,139.53,131.52,139.32,10185804,HRS
57,2017-11,140.86,144.94,135.95,144.5,14884885,HRS
58,2017-12,144.2,144.7,138.08,141.65,12333806,HRS
59,2018-01,142.04,160.23,140.84,159.38,15408801,HRS
60,2018-02,158.87,160.67,143.03,152.79,5432029,HRS
