,date,open,high,low,close,volume,Name
0,2013-02,81.87,81.87,67.82,68.26,50035534,HUM
1,2013-03,68.05,71.37,65.88,69.11,47864661,HUM
2,2013-04,69.34,82.47,69.065,74.11,65781188,HUM
3,2013-05,76.18,83.4,73.63,80.78,43488940,HUM
4,2013-06,81.17,85.9,78.55,84.38,24221899,HUM
5,2013-07,84.85,92.74,82.14,91.26,24891695,HUM
6,2013-08,90.39,94.67,89.0,92.08,20823290,HUM
7,2013-09,92.81,99.85,91.48,93.33,22261308,HUM
8,2013-10,93.66,96.85,90.19,92.15,27330957,HUM
9,2013-11,92.31,104.69,91.34,103.99,27661439,HUM
10,2013-12,104.01,105.8,98.62,103.22,21030449,HUM
11,2014-01,102.76,103.88,94.2,97.3,36530124,HUM
12,2014-02,97.19,114.76,91.0,112.46,46668272,HUM
13,2014-03,114.2,119.93,109.21,112.72,30183870,HUM
14,2014-04,112.77,115.01,103.89,109.75,32150860,HUM
15,2014-05,110.52,126.44,107.99,124.46,31139218,HUM
16,2014-06,124.96,129.36,122.36,127.72,18633937,HUM
17,2014-07,128.22,134.93,116.38,117.65,26630880,HUM
18,2014-08,118.7,129.59,115.51,128.74,20622213,HUM
19,2014-09,129.15,135.86,126.51,130.29,23756874,HUM
20,2014-10,130.28,139.8715,121.04,138.85,25647819,HUM
21,2014-11,139.0,140.92,129.31,137.97,28132626,HUM
22,2014-12,137.65,151.52,137.178,143.63,24832896,HUM
23,2015-01,144.95,155.3,137.45,146.44,21436090,HUM
24,2015-02,146.88,166.2,143.44,164.38,22877664,HUM
25,2015-03,164.1,183.05,158.16,178.02,34022419,HUM
26,2015-04,177.83,182.96,164.94099999999997,165.6,24409547,HUM
27,2015-05,167.0,219.79,162.35,214.65,34189605,HUM
28,2015-06,213.15,219.48,184.23,191.28,84951590,HUM
29,2015-07,191.87,195.0,180.29,182.09,57097262,HUM
30,2015-08,182.5,192.49,169.4,182.79,21976892,HUM
31,2015-09,179.88,190.2,172.71,179.0,18362816,HUM
32,2015-10,178.77,187.45,162.21,178.63,28710866,HUM
33,2015-11,179.95,181.87,163.4,168.66,19794327,HUM
34,2015-12,168.92,180.31,168.24,178.51,18249296,HUM
35,2016-01,177.67,181.46,157.45,162.79,22433766,HUM
36,2016-02,162.71,181.65,155.24,176.97,21669553,HUM
37,2016-03,178.35,187.5,176.61,182.95,15640636,HUM
38,2016-04,182.77,187.8,166.7,177.07,19503773,HUM
39,2016-05,178.0,178.79,160.65,172.51,22354332,HUM
40,2016-06,172.27,191.65,171.53,179.88,30360894,HUM
41,2016-07,180.47,181.49,150.0,172.55,73549121,HUM
42,2016-08,173.0,183.49,167.52,178.71,21028115,HUM
43,2016-09,179.23,179.23,173.53099999999998,176.89,14750326,HUM
44,2016-10,176.89,180.0,163.5,171.53,25431480,HUM
45,2016-11,172.0,212.94,165.03,212.64,36405301,HUM
46,2016-12,211.93,217.8,197.61,204.03,30250778,HUM
47,2017-01,202.87,208.69,186.25,198.5,40638631,HUM
48,2017-02,198.58,212.24,189.01,211.25,31384282,HUM
49,2017-03,212.0,220.49,203.48,206.14,33570769,HUM
50,2017-04,206.68,222.48,206.68,221.98,23631674,HUM
51,2017-05,222.19,234.875,220.8,232.26,35330294,HUM
52,2017-06,232.16,241.96,223.4,240.62,34530786,HUM
53,2017-07,241.87,243.74,230.87,231.2,21215219,HUM
54,2017-08,249.59,257.74,237.1,257.62,26552615,HUM
55,2017-09,257.98,259.76,235.15,243.63,22147429,HUM
56,2017-10,244.41,264.56,235.7,255.35,21804510,HUM
57,2017-11,256.25,261.34,231.9,260.86,29088107,HUM
58,2017-12,260.81,262.5,242.0,248.07,23864990,HUM
59,2018-01,249.36,293.35,248.01,281.83,25053258,HUM
60,2018-02,281.79,283.14,260.0,264.9,6066263,HUM
