,date,open,high,low,close,volume,Name
0,2013-02,46.95,47.07,45.375,46.06,10095594,IDXX
1,2013-03,45.915,47.135,45.095,46.195,11544030,IDXX
2,2013-04,46.03,46.2,41.525,43.98,26180882,IDXX
3,2013-05,43.76,44.52,40.785,41.22,17867086,IDXX
4,2013-06,41.39,46.3,41.11,44.845,20791474,IDXX
5,2013-07,45.22,49.45,43.995,48.995,19027954,IDXX
6,2013-08,49.145,50.185,46.85,46.91,9288010,IDXX
7,2013-09,47.13,50.175,46.045,49.825,9409830,IDXX
8,2013-10,49.835,54.39,49.5662,53.93,15221454,IDXX
9,2013-11,54.0,56.555,51.89,52.08,12400026,IDXX
10,2013-12,51.98,53.59,50.665,53.185,18860470,IDXX
11,2014-01,52.995,57.5,52.3176,57.13,13265850,IDXX
12,2014-02,56.845,63.495,54.29,62.95,13534670,IDXX
13,2014-03,62.345,64.635,60.025,60.7,12771750,IDXX
14,2014-04,61.0,63.415,57.92,63.22,12817426,IDXX
15,2014-05,63.225,66.7,62.835,64.24,11375724,IDXX
16,2014-06,64.25,68.065,63.76,66.785,8922538,IDXX
17,2014-07,66.785,70.0,62.22,62.24,16649220,IDXX
18,2014-08,62.215,64.5455,60.77,61.985,16866208,IDXX
19,2014-09,62.15,63.88,56.745,58.915,23012494,IDXX
20,2014-10,58.695,72.255,57.56,70.835,28463834,IDXX
21,2014-11,71.045,76.945,69.99,74.675,18646898,IDXX
22,2014-12,74.56,75.495,71.315,74.135,14566424,IDXX
23,2015-01,74.315,84.255,72.38,79.21,18306598,IDXX
24,2015-02,79.535,80.46,76.16,78.415,12998216,IDXX
25,2015-03,78.265,79.93,74.02,77.24,13474970,IDXX
26,2015-04,76.885,82.2375,61.37,62.685,19864086,IDXX
27,2015-05,62.5,69.815,62.5,67.8,19114036,IDXX
28,2015-06,67.89,68.515,63.37,64.14,17919446,IDXX
29,2015-07,64.97,73.77,61.58,72.73,22004261,IDXX
30,2015-08,73.19,79.62,69.77,71.47,15024694,IDXX
31,2015-09,69.94,79.11,69.46,74.25,11570761,IDXX
32,2015-10,74.08,77.27,65.03,68.62,20207393,IDXX
33,2015-11,68.66,71.44,66.08,70.82,10604394,IDXX
34,2015-12,70.25,74.99,68.0001,72.92,10175323,IDXX
35,2016-01,72.35,72.8199,63.48,70.14,17595171,IDXX
36,2016-02,69.85,74.4,66.82,73.16,15572769,IDXX
37,2016-03,73.42,79.0299,72.29,78.32,12975962,IDXX
38,2016-04,77.53,84.5,76.55,84.35,17458886,IDXX
39,2016-05,85.0,91.9448,83.65,87.57,21893264,IDXX
40,2016-06,87.56,92.87,85.98,92.86,14232960,IDXX
41,2016-07,93.16,95.55,92.52,93.79,8383242,IDXX
42,2016-08,93.43,113.48,93.14,112.68,14057692,IDXX
43,2016-09,113.01,115.06,107.71,112.73,8643642,IDXX
44,2016-10,112.37,117.84,103.765,107.14,10290006,IDXX
45,2016-11,110.05,121.06,102.45,117.65,12144944,IDXX
46,2016-12,118.19,121.7699,113.47,117.27,10673129,IDXX
47,2017-01,118.29,122.47,113.92,122.33,34767793,IDXX
48,2017-02,122.4,146.17,121.1901,144.94,16551998,IDXX
49,2017-03,145.84,155.65,145.24,154.61,16147770,IDXX
50,2017-04,155.07,172.0,153.24,167.73,11221442,IDXX
51,2017-05,168.3,169.23,158.83,168.39,12213210,IDXX
52,2017-06,166.88,173.01,156.02,161.42,15628916,IDXX
53,2017-07,162.39,171.37,157.77,166.46,10520949,IDXX
54,2017-08,163.84,165.41,148.8,155.43,14750586,IDXX
55,2017-09,155.72,162.4889,152.96,155.49,8826256,IDXX
56,2017-10,156.13,168.66,153.45,166.17,8891860,IDXX
57,2017-11,167.79,167.79,146.09,156.41,12691419,IDXX
58,2017-12,156.14,165.77,151.7359,156.38,9378571,IDXX
59,2018-01,157.59,188.55,157.53,187.04,10508345,IDXX
60,2018-02,189.53,198.73,173.4,176.83,4933054,IDXX
